epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,2.1037,26.30,2.3893,17.36,20.99,2.85,0.00,3.3
2,1.2634,57.33,2.7631,27.27,34.09,0.00,0.00,2.1
3,1.0955,61.95,2.4153,29.46,36.49,1.35,0.00,2.2
4,1.0141,64.78,2.5620,30.92,38.65,0.00,0.00,2.4
5,0.9533,67.27,2.7066,29.19,36.49,0.00,0.00,2.3
6,0.9121,69.12,2.6479,29.32,36.65,0.00,0.00,2.4
7,0.8555,70.81,2.2466,33.49,41.86,0.00,0.00,1.9
8,0.8117,72.56,2.4473,33.10,41.38,0.00,0.00,2.0
9,0.7682,73.74,2.2362,37.21,46.51,0.00,0.00,2.3
10,0.7294,75.58,2.1093,37.03,46.29,0.00,0.00,1.8
11,0.7030,76.25,2.0344,39.04,48.66,0.55,0.00,2.2
12,0.6668,77.62,2.1179,40.57,50.71,0.00,0.00,2.1
13,0.6385,78.45,2.0032,45.33,56.66,0.00,0.00,2.2
14,0.6207,78.88,1.8471,45.83,57.21,0.30,0.00,2.3
15,0.6002,79.78,1.8817,44.84,55.90,0.60,0.00,2.4
16,0.5826,80.11,1.9449,45.14,56.38,0.20,0.00,2.4
17,0.5536,81.27,2.0700,42.57,53.17,0.15,0.00,2.4
18,0.5490,81.50,1.7290,48.08,59.92,0.70,0.00,2.1
19,0.5262,82.39,1.7778,49.32,59.91,6.95,0.00,2.0
20,0.5106,82.65,1.7881,49.14,59.99,5.75,0.00,2.0
21,0.5073,82.82,1.7345,49.78,61.29,3.75,0.00,2.0
22,0.5010,82.95,2.0119,46.79,58.00,1.95,0.00,2.4
23,0.4850,83.77,2.0074,45.06,52.51,15.25,0.00,2.1
24,0.4720,84.19,1.7780,50.23,61.31,5.90,0.00,2.5
25,0.4555,84.52,1.5620,52.46,63.60,7.90,0.00,2.3
26,0.4486,84.91,1.7276,52.35,62.88,10.25,0.00,2.5
27,0.4335,85.36,1.8988,48.09,58.40,6.85,0.00,2.5
28,0.4271,85.36,1.8200,52.24,63.51,7.15,0.00,2.3
29,0.4104,86.35,1.5994,53.71,62.98,16.65,0.00,2.4
30,0.4061,86.18,1.7890,52.85,64.00,8.25,0.00,2.4
31,0.3983,86.54,1.6780,53.71,64.58,10.25,0.00,2.4
32,0.3925,86.59,1.7506,50.66,61.11,8.85,0.00,2.0
33,0.3836,86.75,1.6073,54.79,63.81,18.70,0.00,2.1
34,0.3726,87.10,1.8884,52.62,62.10,14.70,0.00,2.1
35,0.3578,87.88,1.6358,56.90,67.17,15.80,0.00,1.9
36,0.3469,88.22,1.5212,56.88,64.89,24.85,0.00,2.0
37,0.3388,88.87,1.6495,55.00,65.54,12.85,0.00,2.1
38,0.3434,88.19,1.8921,51.37,59.83,17.55,0.00,2.3
39,0.3412,88.38,1.5309,57.40,67.20,18.20,0.00,2.5
40,0.3177,89.01,1.6758,55.47,64.19,20.60,0.00,2.2
41,0.3214,89.71,1.7591,54.77,65.42,12.15,0.00,2.3
42,0.3064,89.66,1.5846,57.85,65.97,25.35,0.00,2.4
