epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,2.2543,18.87,2.3279,17.00,18.77,9.90,0.00,2.8
2,1.3727,56.36,2.3940,28.22,35.27,0.00,0.00,2.7
3,1.0586,63.67,2.5615,27.77,34.71,0.00,0.00,3.2
4,0.9624,66.76,2.5294,30.56,38.20,0.00,0.00,2.9
5,0.9054,68.90,2.3548,33.91,42.25,0.55,0.00,2.3
6,0.8669,70.84,2.4614,37.28,46.60,0.00,0.00,2.3
7,0.7999,73.02,2.0776,40.25,50.31,0.00,0.00,2.9
8,0.7678,74.00,2.5563,35.70,44.61,0.05,0.00,2.2
9,0.7072,76.21,2.1035,42.03,52.51,0.10,0.00,2.8
10,0.6795,77.04,2.0202,39.86,49.61,0.85,0.00,2.8
11,0.6565,77.94,1.7653,47.00,57.08,6.70,0.00,2.8
12,0.6089,79.70,1.7871,48.70,60.80,0.30,0.00,2.5
13,0.5779,80.17,2.1161,44.49,55.45,0.65,0.00,2.8
14,0.5734,80.74,1.9977,47.12,58.81,0.35,0.00,2.9
15,0.5425,81.40,1.8770,48.75,59.52,5.65,0.00,3.1
16,0.5241,82.26,1.7923,48.88,59.39,6.85,0.00,3.1
17,0.5123,82.56,1.8157,49.29,60.27,5.35,0.00,3.1
18,0.4877,83.35,1.8935,50.66,62.36,3.85,0.00,3.1
19,0.4771,84.06,1.6718,53.74,64.62,10.20,0.00,3.1
20,0.4571,84.57,1.7863,51.78,62.15,10.30,0.00,2.8
21,0.4458,84.57,1.6568,54.60,65.66,10.35,0.00,2.8
22,0.4356,85.18,1.6736,54.75,65.03,13.65,0.00,2.8
23,0.4265,85.10,1.7484,54.88,65.47,12.50,0.00,2.8
24,0.4020,86.22,1.8128,54.26,65.50,9.30,0.00,2.9
25,0.3940,86.24,1.9082,53.35,62.89,15.20,0.00,2.7
26,0.3722,87.18,1.8274,54.20,63.10,18.60,0.00,2.5
27,0.3685,87.22,1.7722,55.95,66.15,15.15,0.00,2.8
28,0.3586,87.53,1.4903,60.03,69.17,23.45,0.00,2.7
29,0.3536,87.97,1.8456,55.00,64.83,15.70,0.00,2.6
30,0.3263,88.49,1.7671,55.72,64.42,20.90,0.00,2.8
31,0.3195,88.79,1.8188,56.56,64.97,22.90,0.00,2.8
32,0.3121,88.94,1.9147,55.23,65.78,13.05,0.00,2.6
33,0.3032,89.59,1.7953,58.02,66.21,25.25,0.00,2.8
34,0.2922,89.85,1.8953,56.64,66.44,17.45,0.00,2.8
35,0.2848,90.09,1.9628,56.99,66.03,20.85,0.00,2.5
36,0.2753,90.44,1.8242,59.52,67.25,28.60,0.00,2.9
37,0.2716,90.48,1.8659,57.67,67.49,18.40,0.00,2.8
38,0.2633,90.94,2.0232,54.76,64.10,17.40,0.00,2.8
39,0.2528,91.15,1.9907,57.88,67.38,19.90,0.00,3.0
40,0.2516,91.26,2.0498,57.93,68.72,14.75,0.00,3.1
41,0.2382,91.67,1.7492,60.14,67.70,29.90,0.00,3.1
42,0.2226,92.29,2.0492,58.64,68.39,19.65,0.00,3.0
43,0.2193,92.27,1.8260,59.78,68.17,26.20,0.00,3.0
44,0.2084,92.97,2.0170,59.19,68.36,22.50,0.00,3.1
45,0.2030,93.00,1.9708,59.05,68.88,19.75,0.00,3.2
46,0.1958,93.25,1.9938,59.38,67.45,27.10,0.00,3.0
47,0.1999,92.96,2.1071,59.30,67.97,24.60,0.00,3.1
48,0.1836,93.45,2.1044,58.51,67.08,24.25,0.00,3.1
49,0.1777,93.70,1.8808,61.77,70.03,28.75,0.00,3.1
50,0.1713,94.04,1.9884,60.49,67.66,31.80,0.00,3.1
51,0.1745,93.89,2.1337,59.13,66.83,28.35,0.00,3.1
52,0.1674,94.22,2.1743,58.67,67.41,23.70,0.00,2.8
53,0.1556,94.48,2.1728,60.20,68.62,26.50,0.00,2.8
54,0.1558,94.36,2.3434,58.94,67.67,24.00,0.00,2.8
55,0.1432,94.91,2.2038,58.96,67.56,24.55,0.00,2.8
56,0.1500,94.55,2.3972,57.78,66.92,21.20,0.00,2.8
57,0.1428,94.82,2.3631,58.70,67.34,24.15,0.00,2.8
58,0.1346,95.31,2.2272,59.31,67.46,26.70,0.00,2.8
59,0.1300,95.32,2.3819,58.08,68.86,14.95,0.00,2.8
60,0.1367,95.26,2.4150,58.63,67.76,22.10,0.00,2.8
61,0.1165,96.03,2.5610,58.26,67.81,20.05,0.00,2.9
62,0.1271,95.62,2.2740,60.40,68.17,29.30,0.00,2.8
63,0.1126,95.89,2.4921,58.64,68.95,17.40,0.00,2.9
64,0.1207,95.97,2.3934,60.10,68.53,26.40,0.00,2.9
65,0.1074,96.24,2.5196,58.04,66.15,25.60,0.00,2.9
66,0.1122,96.05,2.6194,59.10,69.79,16.35,0.00,3.0
67,0.1053,96.36,2.6798,58.15,67.59,20.40,0.00,2.8
68,0.1005,96.46,2.4709,59.78,68.96,23.05,0.00,3.0
69,0.0977,96.65,2.4653,60.45,68.40,28.65,0.00,3.2
70,0.0923,96.85,2.5517,59.43,67.51,27.10,0.00,3.1
71,0.0961,96.74,2.3971,61.08,69.35,28.00,0.00,2.9
72,0.0938,96.71,2.5081,59.38,67.50,26.90,0.00,3.1
73,0.0923,96.75,2.3932,60.55,68.59,28.40,0.00,2.5
74,0.0878,96.90,2.5300,61.42,69.76,28.05,0.00,3.0
75,0.0939,96.74,2.5779,59.63,68.80,22.95,0.00,3.2
76,0.0820,97.28,2.4987,60.89,69.99,24.50,0.00,3.1
77,0.0767,97.36,2.6443,59.60,68.66,23.35,0.00,3.1
78,0.0827,97.22,2.6506,59.76,68.80,23.60,0.00,3.0
79,0.0743,97.30,2.7088,59.76,68.80,23.60,0.00,3.1
80,0.0697,97.57,2.7533,58.88,66.85,27.00,0.00,3.2
81,0.0640,97.66,2.7950,59.76,68.49,24.85,0.00,3.0
82,0.0731,97.47,2.8679,59.26,69.55,18.10,0.00,3.1
83,0.0677,97.53,2.8267,59.23,67.91,24.50,0.00,3.2
84,0.0687,97.53,2.6001,62.63,69.96,33.30,0.00,3.2
85,0.0674,97.57,2.7714,60.15,69.00,24.75,0.00,3.1
86,0.0671,97.71,2.7329,59.84,68.20,26.40,0.00,3.1
87,0.0567,97.82,2.6557,60.71,68.79,28.40,0.00,3.1
88,0.0630,97.74,2.7652,59.77,68.67,24.15,0.00,3.2
89,0.0580,97.97,2.8003,61.08,69.81,26.15,0.00,2.9
90,0.0527,98.19,2.9562,60.16,69.15,24.20,0.00,2.8
91,0.0542,98.00,2.7999,60.94,68.50,30.70,0.00,2.9
92,0.0502,98.30,2.7951,61.01,69.90,25.45,0.00,2.8
93,0.0468,98.38,2.9337,60.59,68.96,27.10,0.00,2.9
94,0.0551,98.05,3.0643,59.31,68.36,23.10,0.00,2.8
95,0.0500,98.14,3.0165,60.20,68.92,25.30,0.00,2.8
96,0.0471,98.25,2.8813,61.39,70.22,26.05,0.00,2.8
97,0.0426,98.46,2.7074,61.83,68.60,34.75,0.00,2.8
98,0.0413,98.52,3.1695,59.50,68.05,25.30,0.00,2.8
99,0.0432,98.55,2.9985,61.78,69.21,32.05,0.00,2.8
100,0.0454,98.49,3.0281,61.14,69.92,26.00,0.00,2.8
101,0.0429,98.54,3.1118,60.63,69.56,24.90,0.00,2.7
102,0.0379,98.66,2.9658,60.70,69.36,26.05,0.00,2.8
103,0.0357,98.69,3.1099,60.72,70.22,22.70,0.00,2.8
104,0.0372,98.77,2.9355,61.32,69.92,26.90,0.00,3.1
105,0.0415,98.61,2.9987,60.42,69.03,26.00,0.00,2.8
106,0.0388,98.77,2.9988,61.09,70.09,25.10,0.00,3.1
107,0.0342,98.94,3.2419,59.91,68.86,24.10,0.00,2.9
108,0.0357,98.73,3.1951,60.92,69.89,25.05,0.00,3.2
109,0.0275,99.02,3.1763,60.76,69.62,25.30,0.00,2.7
110,0.0304,98.90,3.4176,59.12,67.97,23.70,0.00,2.8
111,0.0343,98.83,3.2218,60.41,70.25,21.05,0.00,2.8
112,0.0307,98.99,3.2124,60.61,69.51,25.00,0.00,2.8
113,0.0280,98.99,3.1803,60.77,70.19,23.10,0.00,3.1
