epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.3417,53.97,2.7139,22.66,28.32,0.00,0.00,14.2
2,1.3347,54.14,3.0072,18.43,23.04,0.00,0.00,13.6
3,1.2285,57.15,2.7556,24.69,30.86,0.00,0.00,13.6
4,1.2203,57.88,2.8026,18.59,23.24,0.00,0.00,13.5
5,1.1821,59.02,2.5564,25.46,31.82,0.00,0.00,13.6
6,1.2271,56.95,2.4558,26.68,33.35,0.00,0.00,13.6
7,1.1856,57.85,2.8536,22.45,28.06,0.00,0.00,13.5
8,1.1865,58.51,2.8220,21.00,26.25,0.00,0.00,13.5
9,1.1457,60.06,2.5493,26.64,33.30,0.00,0.00,13.6
10,1.1387,60.20,2.5153,27.94,34.92,0.00,0.00,13.6
11,1.1316,60.47,2.7412,25.95,32.44,0.00,0.00,13.6
12,1.0955,62.18,2.8281,23.26,29.07,0.00,0.00,13.6
13,1.1000,61.70,2.5019,27.11,33.89,0.00,0.00,13.6
14,1.0617,62.95,2.6503,26.08,32.60,0.00,0.00,13.6
15,1.0691,63.05,2.5569,27.66,34.58,0.00,0.00,13.6
16,1.0535,63.65,2.7536,23.65,29.56,0.00,0.00,13.6
17,1.0296,65.02,2.6821,26.44,33.05,0.00,0.00,13.7
18,1.0324,64.60,2.4912,26.34,32.92,0.00,0.00,13.6
19,1.0250,64.82,2.4761,28.34,35.42,0.00,0.00,13.6
20,0.9979,65.76,2.3414,30.39,37.99,0.00,0.00,13.6
21,1.0085,65.27,2.5281,26.52,33.15,0.00,0.00,13.6
22,0.9984,66.41,2.5313,28.88,36.10,0.00,0.00,13.5
23,1.0037,65.76,2.5309,27.90,34.88,0.00,0.00,13.6
24,0.9704,66.39,2.4297,30.16,37.70,0.00,0.00,13.6
25,0.9719,66.82,2.6021,25.57,31.96,0.00,0.00,13.6
26,0.9528,67.54,2.4478,30.20,37.75,0.00,0.00,13.5
27,0.9530,67.31,2.4773,28.76,35.95,0.00,0.00,13.5
28,0.9537,67.86,2.6457,27.15,33.94,0.00,0.00,13.5
29,0.9393,68.32,2.4708,29.29,36.61,0.00,0.00,13.6
30,0.9284,68.67,2.4203,28.70,35.88,0.00,0.00,13.5
31,0.9300,68.30,2.5561,30.15,37.69,0.00,0.00,13.5
32,0.9127,68.90,2.4698,29.44,36.80,0.00,0.00,13.5
33,0.9094,69.07,2.2960,29.73,37.16,0.00,0.00,13.6
34,0.9036,69.20,2.3683,29.22,36.52,0.00,0.00,13.5
35,0.8983,69.55,2.3529,29.98,37.48,0.00,0.00,13.5
36,0.8859,70.08,2.2464,33.76,42.20,0.00,0.00,13.6
37,0.8844,70.15,2.5422,29.08,36.35,0.00,0.00,13.5
38,0.8819,69.75,2.5907,30.11,37.64,0.00,0.00,13.6
39,0.8647,70.32,2.3076,32.48,40.60,0.00,0.00,13.5
40,0.8621,70.18,2.2637,30.79,38.49,0.00,0.00,13.5
41,0.8626,70.59,2.2408,33.42,41.77,0.00,0.00,13.5
42,0.8468,71.00,2.5214,30.20,37.75,0.00,0.00,13.5
43,0.8453,70.76,2.2641,32.61,40.75,0.05,0.00,13.5
44,0.8462,71.08,2.2363,33.01,41.26,0.00,0.00,13.6
45,0.8336,71.67,2.3341,33.83,42.29,0.00,0.00,13.6
46,0.8268,71.57,2.2848,32.69,40.85,0.05,0.00,13.6
47,0.8175,72.04,2.1189,36.10,45.11,0.05,0.00,13.6
48,0.8160,72.44,2.3370,32.42,40.52,0.00,0.00,13.6
49,0.7996,72.67,2.4769,32.17,40.17,0.15,0.00,13.6
50,0.8012,72.78,2.1982,32.25,40.27,0.15,0.00,13.6
51,0.7962,72.97,2.0988,35.06,43.66,0.65,0.00,13.6
52,0.7897,72.77,2.2209,35.50,44.35,0.10,0.00,13.6
53,0.7921,73.04,2.1141,35.66,44.52,0.20,0.00,13.5
54,0.7760,73.22,2.0688,37.82,47.20,0.30,0.00,13.5
55,0.7711,73.67,2.2027,37.09,46.29,0.30,0.00,13.5
56,0.7715,73.36,2.0469,36.93,45.95,0.85,0.00,13.5
57,0.7574,74.25,2.0854,37.35,46.61,0.30,0.00,13.5
58,0.7535,73.97,2.0909,37.50,46.62,1.00,0.00,13.6
59,0.7492,74.22,2.0781,38.26,47.71,0.45,0.00,13.6
60,0.7401,74.67,1.9894,38.55,47.90,1.15,0.00,13.5
61,0.7413,74.32,2.2648,36.52,45.49,0.65,0.00,13.5
62,0.7318,75.09,2.1728,35.56,44.02,1.70,0.00,13.5
63,0.7381,74.63,2.0257,37.79,45.91,5.30,0.00,13.5
64,0.7271,75.16,1.8260,41.10,50.65,2.90,0.00,13.6
65,0.7207,75.20,2.0425,39.13,48.56,1.40,0.00,13.5
66,0.7121,75.75,1.9549,42.40,52.51,1.95,0.00,13.5
67,0.7099,75.94,2.0871,37.63,46.58,1.85,0.00,13.5
68,0.7137,75.75,2.0302,40.06,49.66,1.65,0.00,13.5
69,0.6901,76.00,1.8402,42.51,52.14,4.00,0.00,13.5
70,0.6884,76.24,1.8931,41.27,50.98,2.45,0.00,13.5
71,0.6987,76.00,2.0300,38.19,47.26,1.90,0.00,13.6
72,0.6859,76.35,1.9758,39.21,48.35,2.65,0.00,13.6
73,0.6813,76.52,1.9941,39.46,48.09,4.95,0.00,13.6
74,0.6688,77.05,1.9557,41.69,51.84,1.10,0.00,13.7
75,0.6746,76.74,1.8825,43.49,53.69,2.70,0.00,13.6
76,0.6636,77.34,1.7996,43.16,52.89,4.25,0.00,13.6
77,0.6628,77.20,2.0193,39.03,48.24,2.20,0.00,13.6
78,0.6557,77.84,1.8773,43.53,53.73,2.75,0.00,13.5
79,0.6536,77.69,1.8384,44.47,53.94,6.60,0.00,13.5
80,0.6463,77.83,1.9305,42.76,52.23,4.90,0.00,13.5
81,0.6439,78.04,2.0299,41.77,51.14,4.30,0.00,13.5
82,0.6432,77.94,1.7402,45.67,55.75,5.35,0.00,13.5
83,0.6356,78.41,1.8069,46.63,57.46,3.30,0.00,13.5
