epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.3561,52.96,2.6362,22.67,28.34,0.00,0.00,17.3
2,1.2522,56.74,2.8965,23.14,28.93,0.00,0.00,23.9
3,1.1330,60.95,2.6811,23.42,29.27,0.00,0.00,21.3
4,1.0971,61.99,2.4009,27.43,34.29,0.00,0.00,20.6
5,1.1127,62.16,2.4998,26.63,33.29,0.00,0.00,24.0
6,1.1293,60.62,2.6702,22.77,28.46,0.00,0.00,20.7
7,1.1360,60.18,2.7664,23.29,29.11,0.00,0.00,20.5
8,1.1201,60.82,2.8089,23.15,28.94,0.00,0.00,20.6
9,1.1259,60.04,2.6012,24.10,30.12,0.00,0.00,20.7
10,1.1130,61.12,2.4365,29.17,36.46,0.00,0.00,21.0
11,1.0981,61.41,2.5795,26.15,32.69,0.00,0.00,20.6
12,1.1192,61.11,2.5940,24.91,31.14,0.00,0.00,20.7
13,1.1015,61.28,2.4656,25.85,32.31,0.00,0.00,20.7
14,1.0941,61.52,2.5003,28.11,35.14,0.00,0.00,20.7
15,1.1014,61.23,2.5399,27.70,34.62,0.00,0.00,22.3
16,1.1000,60.96,2.5234,26.37,32.96,0.00,0.00,20.8
17,1.1087,61.07,2.5558,26.38,32.98,0.00,0.00,20.9
18,1.1048,61.08,2.5025,24.98,31.23,0.00,0.00,20.7
