epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,2.1560,20.98,2.6831,10.76,13.45,0.00,0.00,4.7
2,1.5979,45.51,3.1184,20.05,25.06,0.00,0.00,4.0
3,1.2773,58.08,2.7125,24.21,30.26,0.00,0.00,4.7
4,1.1729,61.20,4.7218,26.37,32.96,0.00,0.00,4.6
5,1.2301,63.11,2.9088,23.37,29.21,0.00,0.00,4.4
6,1.0937,64.36,2.9136,27.89,34.86,0.00,0.00,4.1
7,1.0130,67.18,2.8173,28.13,35.16,0.00,0.00,3.9
8,0.9582,68.59,3.8764,27.73,34.66,0.00,0.00,4.3
9,0.8945,70.10,2.8894,26.77,33.46,0.00,0.00,4.0
10,0.8660,70.85,2.5610,31.87,39.84,0.00,0.00,4.0
11,0.8253,72.08,2.4212,29.08,36.35,0.00,0.00,5.0
12,0.8025,73.34,2.1935,34.20,42.75,0.00,0.00,4.6
13,0.7750,74.28,2.6508,29.23,36.54,0.00,0.00,3.9
14,0.7634,74.42,2.3706,35.98,44.98,0.00,0.00,4.6
15,0.7430,75.22,2.3078,32.39,40.49,0.00,0.00,5.1
16,0.7217,76.09,2.2328,35.71,44.64,0.00,0.00,4.9
17,0.6940,76.91,2.2511,34.30,42.88,0.00,0.00,4.9
18,0.6713,77.71,3.4596,30.72,38.40,0.00,0.00,5.1
19,0.6627,78.31,2.1777,37.56,46.95,0.00,0.00,4.6
20,0.6400,78.93,2.3852,36.89,46.11,0.00,0.00,4.6
21,0.6306,79.04,2.8726,36.10,45.12,0.00,0.00,4.7
22,0.6134,80.17,2.0945,37.96,47.45,0.00,0.00,4.6
23,0.5899,80.85,3.4087,35.64,44.55,0.00,0.00,4.6
24,0.5809,80.87,2.1063,39.26,49.08,0.00,0.00,4.8
25,0.5527,81.92,2.1080,40.83,51.04,0.00,0.00,4.6
26,0.5436,82.03,1.9916,40.90,51.12,0.00,0.00,5.1
27,0.5283,82.77,2.2243,39.55,49.44,0.00,0.00,4.8
28,0.5290,82.80,2.1373,41.28,51.60,0.00,0.00,4.9
29,0.5054,83.48,1.9539,43.20,54.00,0.00,0.00,4.7
30,0.4856,84.14,1.8237,43.02,53.77,0.00,0.00,4.6
31,0.4833,84.27,1.8080,44.62,55.77,0.00,0.00,4.6
32,0.4741,84.02,1.9744,44.50,55.62,0.00,0.00,4.8
33,0.4561,84.88,2.1259,41.76,52.20,0.00,0.00,4.7
34,0.4543,85.22,1.8152,45.94,57.23,0.80,0.00,4.9
35,0.4310,85.83,1.8809,46.39,57.90,0.35,0.00,4.8
36,0.4340,85.53,1.9384,46.86,58.19,1.55,0.00,5.0
37,0.4075,86.68,1.8987,47.48,58.14,4.85,0.00,4.9
38,0.4060,86.69,1.8743,48.53,59.15,6.05,0.00,4.8
39,0.3825,87.58,1.9918,47.42,58.33,3.80,0.00,4.9
40,0.3866,87.30,1.6759,51.38,61.81,9.65,0.00,5.0
41,0.3785,87.60,1.7476,50.80,61.33,8.70,0.00,5.0
42,0.3571,88.56,1.8731,50.31,59.88,12.05,0.00,5.0
43,0.3517,88.39,1.8797,50.99,61.60,8.55,0.00,4.8
44,0.3439,88.80,1.8840,50.78,61.76,6.85,0.00,4.1
45,0.3282,89.27,1.8439,52.34,64.11,5.25,0.00,4.6
46,0.3109,89.56,1.7837,52.78,64.11,7.45,0.00,5.0
47,0.3065,89.98,2.1796,48.62,58.17,10.40,0.00,4.7
48,0.3080,89.85,1.7006,54.54,63.94,16.95,0.00,4.0
49,0.2946,90.30,1.6427,56.64,66.03,19.10,0.00,4.0
50,0.2842,90.71,1.7651,55.40,67.26,7.95,0.00,4.9
51,0.2868,90.78,1.8251,52.50,62.94,10.75,0.00,5.2
52,0.2669,91.31,1.8855,53.88,65.44,7.65,0.00,5.6
53,0.2649,91.25,1.7850,55.02,65.38,13.60,0.00,5.1
54,0.2569,91.68,2.0369,53.89,65.67,6.75,0.00,5.1
55,0.2487,91.76,1.7492,54.59,64.00,16.95,0.00,4.8
56,0.2316,92.50,1.7603,56.66,65.14,22.75,0.00,4.7
57,0.2301,92.34,1.9882,53.23,61.76,19.10,0.00,4.6
58,0.2201,92.82,2.0724,52.42,61.54,15.95,0.00,5.0
59,0.2216,92.63,1.8258,57.69,67.45,18.65,0.00,5.1
60,0.2095,92.66,2.0663,55.79,67.09,10.60,0.00,5.2
61,0.2077,93.02,2.1419,52.98,63.42,11.20,0.00,5.3
62,0.2079,93.03,1.7577,57.87,68.61,14.90,0.00,5.8
63,0.1932,93.40,1.8367,56.85,65.47,22.35,0.00,5.8
64,0.1858,93.68,1.8197,56.68,64.34,26.05,0.00,5.4
65,0.1803,93.90,2.0449,55.12,65.15,15.00,0.00,5.3
66,0.1873,94.04,1.8942,57.06,66.59,18.95,0.00,4.7
67,0.1694,94.50,1.9619,56.77,66.79,16.70,0.00,4.9
68,0.1702,94.28,1.8278,58.53,65.42,30.95,0.00,4.8
69,0.1698,94.53,2.1791,55.89,66.33,14.15,0.00,4.6
70,0.1577,94.68,1.8508,58.99,67.88,23.45,0.00,4.7
71,0.1459,95.12,2.1193,55.27,63.01,24.30,0.00,4.7
72,0.1481,94.99,1.7955,58.84,67.01,26.15,0.00,4.8
73,0.1580,94.72,1.9362,57.64,66.67,21.50,0.00,4.9
74,0.1342,95.48,2.0632,57.90,66.58,23.20,0.00,4.7
75,0.1406,95.41,1.8338,58.98,66.51,28.85,0.00,4.9
76,0.1296,95.74,2.2052,56.28,66.71,14.55,0.00,4.9
77,0.1298,95.70,2.0969,57.15,66.72,18.85,0.00,5.0
78,0.1209,96.07,1.9311,58.92,67.01,26.55,0.00,4.6
79,0.1152,96.16,1.9642,59.00,67.03,26.90,0.00,4.0
80,0.1219,96.16,1.9325,60.51,69.21,25.70,0.00,4.1
81,0.1087,96.49,1.8599,60.93,67.96,32.80,0.00,5.3
82,0.1123,96.24,2.1124,58.15,67.31,21.50,0.00,5.5
83,0.1088,96.39,2.0452,59.88,67.53,29.30,0.00,5.4
84,0.1161,96.16,2.2036,57.76,67.51,18.75,0.00,5.2
85,0.1079,96.55,2.3310,56.83,66.20,19.35,0.00,4.8
86,0.1032,96.64,2.2658,56.56,66.33,17.50,0.00,5.7
87,0.1054,96.64,1.9316,60.53,67.94,30.90,0.00,5.0
88,0.0899,97.10,2.1940,57.15,64.61,27.30,0.00,5.4
89,0.0940,96.81,2.0971,60.20,68.14,28.45,0.00,5.4
90,0.0940,96.92,2.2762,57.58,65.95,24.10,0.00,5.1
91,0.0789,97.33,2.1219,60.07,66.74,33.40,0.00,4.5
92,0.0878,97.09,2.3356,57.68,67.22,19.50,0.00,4.8
93,0.0756,97.49,2.2984,59.14,66.54,29.55,0.00,4.7
94,0.0771,97.53,2.2102,59.64,67.58,27.90,0.00,4.6
95,0.0849,97.18,2.1246,60.17,67.21,32.00,0.00,4.6
96,0.0727,97.59,2.5619,57.01,67.53,14.95,0.00,4.7
97,0.0730,97.61,2.1525,60.07,67.46,30.50,0.00,4.7
98,0.0712,97.72,2.5260,57.31,68.39,13.00,0.00,4.7
99,0.0656,97.84,2.6306,56.58,65.91,19.25,0.00,4.5
100,0.0595,98.03,2.5981,56.80,66.40,18.40,0.00,4.8
101,0.0671,97.94,2.5197,57.11,65.55,23.35,0.00,4.8
102,0.0618,98.10,2.5249,59.06,69.26,18.25,0.00,4.8
103,0.0685,97.87,2.4423,57.98,67.15,21.30,0.00,4.8
104,0.0610,98.06,2.5161,57.94,66.58,23.40,0.00,4.8
