epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.3929,52.50,2.8780,19.07,23.84,0.00,0.00,3.6
2,1.3248,54.18,2.6612,22.74,28.43,0.00,0.00,2.9
3,1.1453,59.79,2.5089,28.13,35.16,0.00,0.00,2.7
4,1.0955,61.91,2.8904,22.88,28.60,0.00,0.00,2.6
5,1.1255,60.65,2.6416,24.39,30.49,0.00,0.00,2.7
6,1.0798,62.66,2.6620,25.49,31.86,0.00,0.00,2.7
7,1.0620,63.15,2.3899,29.81,37.26,0.00,0.00,2.6
8,1.0383,63.64,2.6178,24.71,30.89,0.00,0.00,2.7
9,1.0135,64.96,2.4916,27.42,34.27,0.00,0.00,2.8
10,1.0093,64.64,2.8122,25.12,31.40,0.00,0.00,2.8
11,0.9852,65.61,2.3336,27.88,34.84,0.05,0.00,2.9
12,0.9670,66.60,2.4639,29.46,36.83,0.00,0.00,2.8
13,0.9343,67.48,2.3267,31.91,39.89,0.00,0.00,2.7
14,0.9383,67.89,2.7947,25.24,31.55,0.00,0.00,2.8
15,0.9173,68.04,2.2603,33.72,42.15,0.00,0.00,2.8
16,0.8938,69.29,2.6690,29.41,36.76,0.00,0.00,2.7
17,0.8928,68.89,2.0918,36.72,45.89,0.05,0.00,2.9
18,0.8726,70.14,2.1796,33.00,41.25,0.00,0.00,2.8
19,0.8608,70.59,1.9870,34.71,43.39,0.00,0.00,2.8
20,0.8491,70.69,2.3167,31.24,39.05,0.00,0.00,2.8
21,0.8414,70.62,2.3174,33.22,41.52,0.00,0.00,2.8
22,0.8364,71.45,2.4630,32.50,40.62,0.00,0.00,2.8
23,0.8190,72.20,2.1579,34.23,42.77,0.05,0.00,2.8
24,0.8171,71.61,2.0696,35.62,44.49,0.15,0.00,2.8
25,0.7973,72.63,1.9694,37.29,46.46,0.60,0.00,2.8
26,0.8009,72.24,2.2099,36.90,46.12,0.00,0.00,2.8
27,0.7808,73.24,2.0827,35.94,44.81,0.45,0.00,2.9
28,0.7684,73.46,1.9141,39.14,48.54,1.55,0.00,2.8
29,0.7617,73.60,1.8382,41.22,51.21,1.25,0.00,2.8
30,0.7578,73.47,1.9376,37.49,46.52,1.35,0.00,2.9
31,0.7355,74.54,1.8682,40.69,50.40,1.85,0.00,2.8
32,0.7331,74.87,2.0007,41.31,51.44,0.80,0.00,2.8
33,0.7260,75.17,2.0747,38.47,48.00,0.35,0.00,2.9
34,0.7160,75.58,2.0437,37.05,45.92,1.55,0.00,2.9
35,0.7063,75.96,2.0880,37.85,47.24,0.30,0.00,2.8
36,0.6950,76.00,2.1783,36.95,45.92,1.05,0.00,2.8
37,0.6919,76.33,1.8015,40.59,49.81,3.70,0.00,2.8
38,0.6878,76.33,1.9153,40.01,49.59,1.70,0.00,2.8
39,0.6829,76.34,1.8067,43.30,52.74,5.55,0.00,2.8
40,0.6695,76.93,2.1806,38.20,47.66,0.35,0.00,2.8
41,0.6568,77.40,1.7061,45.40,55.00,7.00,0.00,2.8
42,0.6466,77.20,1.8792,42.32,51.60,5.20,0.00,2.8
43,0.6415,77.54,1.9858,43.44,54.09,0.85,0.00,2.9
44,0.6435,77.91,1.9568,42.47,52.79,1.20,0.00,2.9
45,0.6332,78.15,2.1632,37.04,46.14,0.65,0.00,2.8
46,0.6187,78.57,2.1293,41.77,51.98,0.95,0.00,2.9
47,0.6193,78.30,1.7755,45.98,56.48,4.00,0.00,2.8
48,0.5994,79.07,1.9726,41.85,50.48,7.35,0.00,2.5
49,0.5957,79.40,1.8341,45.21,55.40,4.45,0.00,2.7
50,0.5914,79.46,1.9619,43.98,53.95,4.10,0.00,2.8
51,0.5829,79.57,1.9121,43.15,52.50,5.75,0.00,2.7
52,0.5693,80.13,1.7178,45.81,55.04,8.90,0.00,2.8
53,0.5695,80.08,2.0339,42.82,53.23,1.20,0.00,2.7
54,0.5536,80.32,1.8357,47.02,56.70,8.30,0.00,2.9
55,0.5464,80.57,1.7027,48.07,56.34,15.00,0.00,2.8
56,0.5495,80.28,1.9023,47.03,57.67,4.45,0.00,2.9
57,0.5334,81.28,1.6824,46.42,54.54,13.95,0.00,2.8
58,0.5247,81.69,1.9357,45.21,54.67,7.35,0.00,2.8
59,0.5262,81.60,2.0886,44.33,54.48,3.75,0.00,2.8
60,0.5111,81.94,1.9148,46.01,55.79,6.90,0.00,2.9
61,0.4979,82.25,1.8698,46.05,55.17,9.55,0.00,2.8
62,0.4843,82.79,1.8719,47.10,55.12,15.00,0.00,2.8
63,0.4901,82.97,1.7739,48.31,56.40,15.95,0.00,2.8
64,0.4791,82.83,1.9716,47.06,57.42,5.60,0.00,2.8
65,0.4657,83.34,1.6709,50.18,58.31,17.65,0.00,2.8
66,0.4638,83.50,1.9287,48.09,58.58,6.15,0.00,2.8
67,0.4541,83.96,1.9102,46.75,55.34,12.40,0.00,2.9
68,0.4484,84.11,1.9253,47.58,56.91,10.25,0.00,2.9
69,0.4392,84.02,1.8230,48.35,56.26,16.70,0.00,2.8
