epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.5105,48.94,2.8913,19.23,24.04,0.00,0.00,4.7
2,1.2469,56.55,2.5710,24.98,31.23,0.00,0.00,8.6
3,1.1420,60.61,2.6506,26.51,33.14,0.00,0.00,8.6
4,1.0547,63.90,2.7750,23.67,29.59,0.00,0.00,8.4
5,1.0218,64.61,2.3023,28.49,35.61,0.00,0.00,8.5
6,0.9853,66.01,2.6205,26.41,33.01,0.00,0.00,8.6
7,0.9306,68.14,2.4811,28.97,36.21,0.00,0.00,8.5
8,0.9049,69.38,2.3312,30.63,38.29,0.00,0.00,8.5
9,0.8632,70.18,2.5753,25.72,32.15,0.00,0.00,8.5
10,0.8502,70.84,2.3830,31.93,39.90,0.05,0.00,8.4
11,0.8309,71.38,2.2587,34.20,42.74,0.05,0.00,8.3
12,0.8199,71.54,2.5652,28.24,35.29,0.05,0.00,8.1
13,0.7932,72.72,2.1914,36.02,45.02,0.00,0.00,8.3
14,0.7869,72.91,2.3843,34.82,43.45,0.30,0.00,8.4
15,0.7629,73.79,2.1518,35.80,44.42,1.30,0.00,8.4
16,0.7499,74.00,2.3333,34.52,42.98,0.70,0.00,8.5
17,0.7555,73.85,2.0307,40.27,49.65,2.75,0.00,8.4
18,0.7165,75.43,1.9751,39.28,45.71,13.55,0.00,7.3
19,0.7225,75.17,2.0779,39.03,48.49,1.20,0.00,7.6
20,0.6949,75.42,2.1910,34.99,43.39,1.40,0.00,7.2
21,0.6841,75.86,2.1175,37.14,45.17,5.00,0.00,7.0
22,0.6728,76.41,2.1910,38.81,47.55,3.85,0.00,5.7
23,0.6671,76.58,2.0101,39.34,48.00,4.70,0.00,7.6
24,0.6480,77.41,1.8592,42.10,50.11,10.05,0.00,6.1
25,0.6414,77.18,1.8435,41.43,50.02,7.05,0.00,7.6
26,0.6321,77.85,1.9965,43.90,54.08,3.20,0.00,7.2
27,0.6102,78.59,2.1389,39.88,48.48,5.50,0.00,7.5
28,0.6092,78.40,1.8273,44.19,52.41,11.30,0.00,5.6
29,0.5911,79.14,1.9636,40.79,47.84,12.60,0.00,5.6
30,0.5873,79.20,2.1549,40.66,49.42,5.60,0.00,5.7
31,0.5609,79.92,2.1469,41.27,50.06,6.10,0.00,7.5
32,0.5669,79.93,1.8678,45.45,54.71,8.40,0.00,5.6
33,0.5375,80.81,2.1695,41.46,50.10,6.90,0.00,7.5
34,0.5228,81.78,2.0626,43.73,51.80,11.45,0.00,4.8
35,0.5098,81.88,1.9497,46.79,56.76,6.90,0.00,7.5
36,0.5040,81.94,2.1485,43.67,52.83,7.05,0.00,5.6
37,0.4840,82.73,1.9030,45.61,54.12,11.55,0.00,5.6
38,0.4712,83.20,1.9993,45.23,53.48,12.25,0.00,7.4
39,0.4615,83.55,1.9627,45.64,54.41,10.55,0.00,7.4
40,0.4367,83.89,2.1269,46.56,55.19,12.05,0.00,7.6
41,0.4323,84.81,2.0599,45.36,54.70,8.00,0.00,5.6
42,0.4111,85.53,2.3395,44.15,52.42,11.05,0.00,5.6
43,0.3934,85.98,2.4255,43.06,52.50,5.30,0.00,7.6
44,0.3851,86.00,2.0236,47.91,56.23,14.65,0.00,6.1
45,0.3657,86.88,2.1486,45.88,54.17,12.70,0.00,7.1
46,0.3579,87.38,2.3477,44.48,54.05,6.20,0.00,7.2
47,0.3360,87.93,2.2523,44.67,52.12,14.85,0.00,7.4
48,0.3195,88.47,2.4367,44.78,54.12,7.40,0.00,7.6
49,0.3052,88.84,2.1828,48.34,57.12,13.20,0.00,7.6
50,0.2955,89.39,2.4097,46.57,55.09,12.50,0.00,7.6
51,0.2784,90.01,2.6154,45.82,54.76,10.05,0.00,7.5
52,0.2710,90.29,2.1750,48.23,56.81,13.90,0.00,7.5
53,0.2599,90.85,2.6657,45.45,55.39,5.70,0.00,5.7
54,0.2556,90.73,2.4205,48.41,56.54,15.90,0.00,7.6
55,0.2309,91.80,2.3396,48.25,56.38,15.75,0.00,5.8
56,0.2188,92.38,2.4427,46.66,55.51,11.25,0.00,5.6
57,0.2116,92.31,2.7760,44.30,53.64,6.95,0.00,7.3
58,0.1985,92.84,2.8307,45.23,53.62,11.65,0.00,7.6
59,0.1986,92.86,2.7662,45.88,55.54,7.25,0.00,7.4
60,0.1838,93.36,2.7685,47.33,56.12,12.15,0.00,7.6
61,0.1729,93.79,2.7849,46.49,54.84,13.10,0.00,7.2
62,0.1665,94.02,3.2076,42.98,51.31,9.65,0.00,7.6
63,0.1718,93.88,2.8213,46.27,55.50,9.35,0.00,7.7
64,0.1608,94.37,2.9142,45.08,53.45,11.60,0.00,8.3
65,0.1410,95.04,2.7831,48.64,57.16,14.55,0.00,5.7
66,0.1364,95.30,3.0910,45.79,54.44,11.20,0.00,8.0
67,0.1345,95.23,2.9498,47.72,56.73,11.70,0.00,7.0
68,0.1214,95.67,2.8185,49.08,57.12,16.90,0.00,8.6
69,0.1205,95.89,3.0606,44.99,52.38,15.45,0.00,8.6
70,0.1135,96.07,3.0324,46.23,55.42,9.45,0.00,8.4
71,0.1043,96.43,3.1205,47.97,54.66,21.20,0.00,8.5
72,0.1016,96.43,3.3644,45.34,54.10,10.30,0.00,8.6
73,0.0999,96.32,3.1334,47.19,55.46,14.10,0.00,8.5
74,0.0939,96.89,3.2459,46.12,54.19,13.85,0.00,8.6
75,0.0973,96.66,3.4266,45.31,52.90,14.95,0.00,7.6
76,0.0893,96.95,3.2401,46.36,53.99,15.85,0.00,8.1
77,0.0860,96.90,3.1052,48.38,56.67,15.20,0.00,8.6
78,0.0833,97.14,3.5052,45.17,52.59,15.50,0.00,8.1
79,0.0782,97.36,3.5826,44.59,53.51,8.90,0.00,7.8
80,0.0802,97.25,3.4889,45.00,53.86,9.55,0.00,7.6
81,0.0772,97.46,3.6579,45.23,54.66,7.50,0.00,8.1
82,0.0684,97.55,3.3969,47.13,55.36,14.20,0.00,8.6
83,0.0736,97.44,3.2670,47.03,55.58,12.85,0.00,8.5
84,0.0620,97.86,3.3433,46.96,55.11,14.35,0.00,8.7
85,0.0647,97.75,3.6797,44.70,52.84,12.15,0.00,8.8
86,0.0612,97.86,3.5046,46.89,56.38,8.95,0.00,8.3
87,0.0564,97.98,3.7557,46.08,54.19,13.65,0.00,7.8
88,0.0582,97.89,3.4730,47.61,56.10,13.65,0.00,7.8
89,0.0504,98.23,3.5376,47.00,55.33,13.70,0.00,6.5
90,0.0582,98.05,3.5859,47.15,54.99,15.80,0.00,5.7
91,0.0555,98.00,3.6020,47.26,55.38,14.80,0.00,7.6
92,0.0458,98.32,3.7814,46.24,55.23,10.30,0.00,7.8
