epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.5111,49.40,2.8675,18.59,23.24,0.00,0.00,7.1
2,1.2595,55.92,2.6880,24.12,30.15,0.00,0.00,6.5
3,1.1527,59.66,2.7739,25.38,31.73,0.00,0.00,6.6
4,1.0788,62.20,2.8198,24.30,30.38,0.00,0.00,5.7
5,1.0301,64.88,2.3789,28.74,35.92,0.00,0.00,4.7
6,1.0051,65.25,2.5045,29.85,37.31,0.00,0.00,4.7
7,0.9704,66.34,2.2199,33.07,41.34,0.00,0.00,4.9
8,0.9401,67.80,2.4779,27.97,34.96,0.00,0.00,6.3
9,0.9263,68.33,2.6011,28.42,35.52,0.00,0.00,5.7
10,0.8856,69.80,2.5443,28.94,36.17,0.00,0.00,4.9
11,0.8680,69.80,2.1296,34.41,43.01,0.00,0.00,5.3
12,0.8430,71.10,2.2811,32.84,41.05,0.00,0.00,5.1
13,0.8402,70.97,2.2366,34.52,43.12,0.10,0.00,5.1
14,0.8184,71.80,2.2115,35.27,44.06,0.10,0.00,5.2
15,0.8132,71.80,2.2339,32.23,40.29,0.00,0.00,5.0
16,0.7931,72.83,2.2821,35.59,44.48,0.05,0.00,5.0
17,0.7818,72.96,2.0100,40.56,50.29,1.65,0.00,5.0
18,0.7648,73.67,2.1275,35.13,43.60,1.25,0.00,5.2
19,0.7620,73.81,2.0892,36.46,45.51,0.25,0.00,5.0
20,0.7425,74.25,1.9755,37.68,46.54,2.25,0.00,6.9
21,0.7329,74.73,2.1782,35.57,44.09,1.50,0.00,7.4
22,0.7195,74.68,2.1753,37.47,46.00,3.35,0.00,7.0
23,0.7060,75.38,2.0965,39.63,49.49,0.20,0.00,7.1
24,0.6932,75.91,1.8276,41.76,51.58,2.50,0.00,7.1
25,0.6826,76.26,2.0092,38.10,46.76,3.45,0.00,7.0
26,0.6720,76.25,1.9668,41.21,51.17,1.35,0.00,6.9
27,0.6594,77.09,2.0784,38.18,45.85,7.50,0.00,5.4
28,0.6443,77.52,1.8979,41.49,50.31,6.20,0.00,6.8
29,0.6362,77.66,1.8398,41.98,51.35,4.50,0.00,7.0
30,0.6239,78.26,1.9960,43.06,52.98,3.40,0.00,6.1
31,0.6160,78.20,2.0879,40.41,49.52,3.95,0.00,7.4
32,0.5976,79.18,2.0339,43.30,53.27,3.40,0.00,7.1
33,0.5884,79.18,1.9783,43.59,53.15,5.35,0.00,5.0
34,0.5809,79.59,1.9857,42.87,51.67,7.65,0.00,6.7
35,0.5553,80.15,1.8481,45.82,55.96,5.25,0.00,7.4
36,0.5469,81.33,2.1755,41.33,51.21,1.80,0.00,7.2
37,0.5395,80.85,2.0076,43.23,52.05,7.95,0.00,7.3
38,0.5471,80.73,1.9559,44.53,52.95,10.85,0.00,7.1
39,0.5101,82.04,2.0832,44.15,53.48,6.85,0.00,7.0
40,0.5042,82.04,2.2928,41.11,50.34,4.20,0.00,5.1
41,0.4842,82.56,1.8786,46.51,54.05,16.35,0.00,7.2
42,0.4746,82.93,2.1702,43.60,53.11,5.55,0.00,7.0
43,0.4660,83.39,1.9808,45.44,55.35,5.80,0.00,6.1
44,0.4476,84.02,1.9804,46.90,55.86,11.05,0.00,6.1
45,0.4407,84.19,2.3001,41.79,51.55,2.75,0.00,7.4
46,0.4230,85.00,2.2167,44.14,54.05,4.50,0.00,7.0
47,0.4025,85.77,2.1918,44.54,53.19,9.95,0.00,7.1
48,0.3828,86.13,2.2152,45.82,54.25,12.10,0.00,7.4
49,0.3651,86.76,2.0720,47.12,56.52,9.50,0.00,7.4
50,0.3606,87.12,2.0973,47.83,57.94,7.40,0.00,7.4
51,0.3339,88.11,2.2520,45.70,54.39,10.95,0.00,7.4
52,0.3299,88.42,2.3049,46.38,55.80,8.70,0.00,7.6
53,0.3251,88.05,2.4307,45.85,55.35,7.85,0.00,7.2
54,0.2933,89.28,2.3253,46.82,56.34,8.75,0.00,7.3
55,0.2854,89.46,2.2412,48.26,55.58,19.00,0.00,7.4
56,0.2676,90.22,2.2320,48.01,57.45,10.25,0.00,7.4
57,0.2550,90.69,2.2553,47.98,56.00,15.90,0.00,7.3
58,0.2419,91.30,2.5379,44.86,53.95,8.50,0.00,7.9
59,0.2241,91.83,2.5411,46.56,54.80,13.60,0.00,7.5
60,0.2155,92.17,2.5679,47.01,56.21,10.20,0.00,7.4
61,0.2008,92.83,2.8310,44.66,53.30,10.10,0.00,7.5
62,0.2052,92.71,2.5706,47.06,56.29,10.15,0.00,7.4
63,0.1836,93.28,2.6173,47.24,56.15,11.60,0.00,7.1
64,0.1761,93.62,2.8274,47.03,56.65,8.55,0.00,7.2
65,0.1569,94.58,2.7770,47.17,56.61,9.40,0.00,7.7
66,0.1674,94.16,2.9736,44.70,54.62,5.00,0.00,6.3
67,0.1511,94.62,2.9859,44.80,54.35,6.60,0.00,4.9
68,0.1529,94.37,2.8235,46.65,56.46,7.40,0.00,5.8
69,0.1288,95.62,2.9553,45.80,54.29,11.85,0.00,6.6
70,0.1372,95.22,2.8363,47.17,56.17,11.15,0.00,4.9
71,0.1171,95.82,3.1388,46.68,56.24,8.45,0.00,4.8
