epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.5140,48.77,2.8506,19.13,23.91,0.00,0.00,4.9
2,1.2488,56.38,2.6983,24.21,30.26,0.00,0.00,5.9
3,1.1492,60.44,2.6911,24.23,30.29,0.00,0.00,4.5
4,1.1070,61.70,3.0905,20.53,25.66,0.00,0.00,5.3
5,1.0462,63.98,2.4058,28.52,35.65,0.00,0.00,6.1
6,0.9986,65.59,2.4516,29.03,36.29,0.00,0.00,5.7
7,0.9609,67.08,2.4204,30.75,38.44,0.00,0.00,5.8
8,0.9408,67.73,2.3783,30.77,38.46,0.00,0.00,6.0
9,0.9026,69.05,2.2263,34.33,42.91,0.00,0.00,6.0
10,0.8962,69.35,2.6326,29.94,37.42,0.00,0.00,6.7
11,0.8725,69.87,2.3460,33.05,41.31,0.00,0.00,6.5
12,0.8526,70.94,2.1642,32.24,40.29,0.05,0.00,6.7
13,0.8293,71.30,2.3927,33.79,42.24,0.00,0.00,6.1
14,0.8232,71.18,2.3518,32.63,40.77,0.05,0.00,5.0
15,0.8025,72.29,2.1742,35.35,44.17,0.05,0.00,5.7
16,0.7967,72.76,2.3952,33.81,42.24,0.10,0.00,6.5
17,0.7690,73.64,2.0271,38.08,47.58,0.10,0.00,5.2
18,0.7593,73.63,2.1903,37.09,46.27,0.35,0.00,6.6
19,0.7488,74.02,1.9372,39.24,48.91,0.55,0.00,6.8
20,0.7473,73.85,2.2365,33.02,41.15,0.50,0.00,6.5
21,0.7374,74.01,2.3225,36.36,45.45,0.00,0.00,4.9
22,0.7138,74.98,2.1875,37.50,46.02,3.40,0.00,5.1
23,0.7137,75.33,2.0052,38.51,47.96,0.70,0.00,4.9
24,0.6875,76.41,1.9415,40.84,49.56,5.95,0.00,5.0
25,0.6812,76.42,1.9510,40.59,50.44,1.20,0.00,4.7
26,0.6711,76.58,2.0069,41.82,51.64,2.55,0.00,4.8
27,0.6513,76.87,2.0736,39.51,48.54,3.40,0.00,4.7
28,0.6382,77.55,1.9119,42.12,50.98,6.70,0.00,5.1
29,0.6225,78.00,1.9925,41.74,51.67,2.00,0.00,4.8
30,0.6228,77.85,2.1120,39.74,49.19,1.95,0.00,4.8
31,0.6012,78.88,1.9073,41.80,49.42,11.30,0.00,5.0
32,0.5988,78.98,2.1412,41.81,51.41,3.40,0.00,4.7
33,0.5793,79.58,2.0284,42.74,53.01,1.65,0.00,4.8
34,0.5745,79.84,2.0369,42.78,52.00,5.90,0.00,4.6
35,0.5705,80.02,2.0221,43.80,54.17,2.30,0.00,5.0
36,0.5438,80.79,2.3265,40.90,50.12,4.00,0.00,4.9
37,0.5444,80.94,2.0755,42.09,50.56,8.20,0.00,6.3
38,0.5321,81.18,2.0479,44.49,55.29,1.30,0.00,5.0
39,0.5113,81.69,1.9671,43.75,52.95,6.95,0.00,6.6
40,0.4926,82.37,2.1786,42.52,51.50,6.60,0.00,6.0
41,0.4781,83.11,1.9175,47.30,55.39,14.95,0.00,7.0
42,0.4713,83.24,2.0124,45.20,54.04,9.85,0.00,7.0
43,0.4521,84.02,2.2994,43.37,53.06,4.60,0.00,6.9
44,0.4490,84.01,1.9554,47.46,56.74,10.35,0.00,6.1
45,0.4193,85.19,2.3890,42.00,51.50,4.00,0.00,6.6
46,0.4167,85.31,2.3848,43.69,53.20,5.65,0.00,6.7
47,0.4025,85.56,1.9891,46.41,54.59,13.70,0.00,6.5
48,0.3784,86.45,2.1518,45.02,53.77,10.00,0.00,6.8
49,0.3672,86.82,1.9948,47.78,56.46,13.05,0.00,6.6
50,0.3473,87.79,2.3796,45.22,54.33,8.80,0.00,7.1
