epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.5023,49.41,2.8850,19.03,23.79,0.00,0.00,4.9
2,1.2521,56.50,2.8991,21.59,26.99,0.00,0.00,5.3
3,1.1540,59.93,2.8243,23.91,29.89,0.00,0.00,5.2
4,1.0880,62.51,2.9678,21.86,27.32,0.00,0.00,4.6
5,1.0366,64.69,2.5369,27.08,33.85,0.00,0.00,4.4
6,1.0097,65.31,2.6609,26.79,33.49,0.00,0.00,4.4
7,0.9690,66.88,2.2441,33.17,41.46,0.00,0.00,4.6
8,0.9422,68.23,2.3530,29.52,36.90,0.00,0.00,4.3
9,0.9152,68.02,2.4386,29.32,36.65,0.00,0.00,4.4
10,0.8833,70.10,2.6037,30.03,37.54,0.00,0.00,4.5
11,0.8559,70.82,2.2460,33.33,41.66,0.00,0.00,4.7
12,0.8543,70.64,2.4459,32.24,40.30,0.00,0.00,4.8
13,0.8265,71.38,2.4487,32.59,40.74,0.00,0.00,4.6
14,0.8163,72.17,2.4505,35.15,43.94,0.00,0.00,4.9
15,0.8059,72.43,2.2026,35.33,44.16,0.00,0.00,4.7
16,0.7822,73.30,2.4670,33.20,41.50,0.00,0.00,4.7
17,0.7738,73.35,1.9581,40.90,50.98,0.60,0.00,4.8
18,0.7628,74.01,1.9751,38.77,48.08,1.55,0.00,4.9
19,0.7489,74.22,2.0636,39.73,49.52,0.55,0.00,4.7
20,0.7332,75.00,2.2066,35.15,43.80,0.55,0.00,4.7
21,0.7401,74.21,1.9578,39.84,49.50,1.20,0.00,4.7
22,0.7108,75.46,2.1566,37.30,45.79,3.35,0.00,4.7
23,0.7061,75.62,2.0230,40.16,49.95,1.00,0.00,4.6
24,0.6927,76.00,1.7615,42.70,51.49,7.55,0.00,6.7
25,0.6701,77.13,1.8088,42.64,51.52,7.10,0.00,4.6
26,0.6664,76.62,1.9099,40.06,49.44,2.55,0.00,4.7
27,0.6549,77.25,1.9482,38.12,46.62,4.10,0.00,5.6
28,0.6426,77.51,1.8546,42.33,52.24,2.70,0.00,5.0
29,0.6329,77.98,1.9384,40.81,50.33,2.75,0.00,6.6
30,0.6353,77.83,1.8518,43.72,53.44,4.85,0.00,6.5
31,0.6137,78.23,1.8404,43.83,52.09,10.80,0.00,6.7
32,0.6060,78.82,1.9959,42.87,51.98,6.45,0.00,5.1
33,0.5872,79.57,2.0544,41.14,50.04,5.55,0.00,4.7
34,0.5726,79.76,1.8889,46.00,55.40,8.40,0.00,5.8
35,0.5612,80.20,1.7844,45.24,54.54,8.05,0.00,6.8
36,0.5583,80.47,2.2267,40.46,49.41,4.65,0.00,5.9
37,0.5374,81.19,1.8981,44.39,52.86,10.50,0.00,4.9
38,0.5227,81.64,1.9540,43.87,53.46,5.50,0.00,4.9
39,0.5126,81.77,1.8306,46.37,54.27,14.75,0.00,4.6
40,0.4952,82.19,2.0489,44.54,53.74,7.75,0.00,4.6
41,0.4857,82.69,1.9445,45.43,53.58,12.85,0.00,6.8
42,0.4640,83.40,1.9280,46.34,54.84,12.35,0.00,4.8
43,0.4540,84.08,1.9665,45.35,54.96,6.90,0.00,4.6
44,0.4269,84.72,2.0829,45.67,55.46,6.50,0.00,6.7
45,0.4252,84.75,2.1771,44.56,54.55,4.60,0.00,5.7
46,0.4058,85.41,2.1944,43.94,53.99,3.75,0.00,6.7
47,0.3925,85.84,2.0664,46.52,55.19,11.85,0.00,6.2
48,0.3757,86.53,2.2058,43.44,51.02,13.10,0.00,6.6
49,0.3628,86.89,2.1499,47.77,56.39,13.30,0.00,6.7
50,0.3492,87.39,2.1261,45.47,53.94,11.60,0.00,6.5
51,0.3391,87.63,2.2610,46.47,56.11,7.90,0.00,6.6
52,0.3158,88.67,2.3697,44.97,53.79,9.70,0.00,5.4
53,0.3062,89.20,2.4424,46.32,56.61,5.15,0.00,4.7
54,0.2860,89.67,2.1774,48.06,56.56,14.05,0.00,4.8
55,0.2719,90.34,2.4065,46.83,55.56,11.90,0.00,5.7
56,0.2790,89.71,2.2888,46.91,55.35,13.15,0.00,6.6
57,0.2496,90.79,2.3526,47.22,55.36,14.65,0.00,4.8
58,0.2369,91.54,2.6371,46.09,55.02,10.35,0.00,5.4
59,0.2362,91.63,2.6020,46.18,54.55,12.70,0.00,6.9
60,0.2169,92.16,2.5141,47.68,56.19,13.65,0.00,4.9
