epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.5034,49.18,2.8577,19.60,24.50,0.00,0.00,4.3
2,1.2613,56.02,2.7596,22.98,28.73,0.00,0.00,4.6
3,1.1513,60.13,2.7511,23.32,29.15,0.00,0.00,3.9
4,1.0723,62.63,2.9723,22.35,27.94,0.00,0.00,4.1
5,1.0359,63.64,2.5664,25.98,32.48,0.00,0.00,3.9
6,1.0167,64.34,2.7119,25.15,31.44,0.00,0.00,4.2
7,0.9655,66.64,2.4280,29.85,37.31,0.00,0.00,5.3
8,0.9432,67.64,2.4728,30.48,38.10,0.00,0.00,4.0
9,0.9176,68.41,2.4404,28.06,35.08,0.00,0.00,5.3
10,0.9406,67.15,2.5851,28.40,35.50,0.00,0.00,5.4
11,0.9195,68.27,2.3302,30.94,38.67,0.00,0.00,5.8
12,0.8811,69.28,2.3795,31.62,39.50,0.10,0.00,5.1
13,0.8614,70.30,2.4281,32.94,41.17,0.00,0.00,6.0
14,0.8447,70.91,2.4959,30.49,38.11,0.00,0.00,6.2
15,0.8214,71.09,2.0855,36.48,45.60,0.00,0.00,6.3
16,0.8121,71.73,2.3276,34.66,43.33,0.00,0.00,6.0
17,0.8251,71.23,2.0320,37.75,47.09,0.40,0.00,5.9
18,0.8246,71.38,2.1642,34.16,42.60,0.40,0.00,5.7
19,0.8181,71.90,1.9332,38.79,48.39,0.40,0.00,5.6
20,0.7975,72.04,2.3058,32.38,40.48,0.00,0.00,5.7
21,0.7789,72.64,2.2387,34.48,43.06,0.15,0.00,5.9
22,0.7807,72.63,2.1532,33.40,41.64,0.45,0.00,5.9
23,0.7737,72.72,1.9633,37.58,46.92,0.20,0.00,4.5
24,0.7702,73.03,1.8555,41.24,51.38,0.70,0.00,4.6
25,0.8024,71.79,2.1022,37.00,46.23,0.10,0.00,5.5
26,0.7785,72.77,2.0231,38.26,47.75,0.30,0.00,5.6
27,0.7571,73.30,2.1579,34.64,43.20,0.40,0.00,5.6
28,0.7447,74.02,1.8701,38.87,47.29,5.20,0.00,5.8
29,0.7412,74.13,1.8155,40.28,49.69,2.65,0.00,5.5
30,0.7196,74.54,2.1522,36.88,45.84,1.05,0.00,5.7
31,0.7259,74.53,2.0414,37.89,46.60,3.05,0.00,6.1
32,0.7278,74.67,2.2367,36.48,45.60,0.00,0.00,5.6
33,0.7428,73.81,2.1415,37.13,46.19,0.90,0.00,6.0
34,0.7237,75.04,2.0353,38.47,47.73,1.45,0.00,5.2
35,0.7140,74.52,2.0408,40.20,49.81,1.75,0.00,6.0
36,0.6982,75.72,2.3205,34.64,43.17,0.50,0.00,6.3
37,0.6840,76.03,2.0934,38.38,47.62,1.40,0.00,6.2
38,0.6583,76.91,2.1158,41.00,50.99,1.05,0.00,6.5
39,0.6797,75.94,1.9498,39.37,48.40,3.25,0.00,6.2
