epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,1.5149,48.69,2.8573,18.59,23.24,0.00,0.00,4.1
2,1.2404,56.46,2.7118,23.67,29.59,0.00,0.00,3.8
3,1.1463,59.62,2.5666,26.33,32.91,0.00,0.00,3.7
4,1.0656,62.95,2.7319,25.70,32.12,0.00,0.00,4.0
5,1.0239,64.21,2.5943,25.66,32.08,0.00,0.00,4.0
6,0.9994,65.23,2.7719,26.32,32.90,0.00,0.00,3.8
7,0.9486,67.31,2.4416,30.73,38.41,0.00,0.00,4.5
8,0.9248,67.88,2.5451,26.07,32.59,0.00,0.00,5.0
9,0.9072,69.35,2.5262,27.27,34.09,0.00,0.00,4.9
10,0.8805,69.22,2.5632,30.55,38.19,0.00,0.00,4.8
11,0.8637,69.89,2.2262,33.99,42.49,0.00,0.00,4.6
12,0.8474,71.22,2.4064,31.94,39.90,0.10,0.00,4.4
13,0.8228,71.72,2.5124,33.03,41.27,0.05,0.00,4.5
14,0.8139,71.91,2.4493,31.83,39.79,0.00,0.00,4.9
15,0.8027,72.27,2.1522,35.42,44.17,0.40,0.00,4.3
16,0.7779,73.32,2.1900,35.58,44.42,0.20,0.00,4.3
17,0.7837,73.02,1.9641,41.56,51.74,0.85,0.00,4.8
18,0.7639,73.53,2.0728,37.41,46.64,0.50,0.00,5.2
19,0.7475,74.18,2.0869,37.76,47.17,0.10,0.00,4.9
20,0.7328,74.11,2.1113,38.46,47.91,0.65,0.00,5.0
21,0.7305,74.39,2.0697,39.87,49.44,1.60,0.00,5.1
22,0.7147,75.41,2.2152,36.82,45.06,3.85,0.00,4.9
23,0.7039,75.44,1.9207,39.51,48.99,1.60,0.00,5.0
24,0.6864,76.19,1.8680,39.71,48.00,6.55,0.00,5.1
25,0.6734,76.60,1.9447,41.28,50.98,2.50,0.00,4.8
26,0.6734,76.33,1.9983,42.66,52.83,2.00,0.00,4.8
27,0.6509,77.20,2.1212,38.03,46.77,3.05,0.00,4.6
28,0.6440,77.54,1.8944,41.53,50.30,6.45,0.00,5.0
29,0.6361,77.99,1.9413,40.89,50.11,4.00,0.00,4.9
30,0.6222,78.26,1.9745,41.39,51.27,1.85,0.00,4.9
31,0.6057,79.01,1.8883,43.21,52.34,6.70,0.00,5.1
32,0.5926,79.39,2.1843,41.68,51.91,0.75,0.00,4.9
33,0.5882,79.71,2.0195,42.46,51.39,6.75,0.00,4.9
34,0.5809,79.53,1.8116,44.95,54.42,7.05,0.00,4.6
35,0.5630,79.99,1.8452,45.86,55.83,6.00,0.00,4.7
36,0.5542,80.39,2.1675,40.70,50.09,3.15,0.00,4.1
37,0.5377,81.03,1.9149,45.57,54.24,10.90,0.00,4.6
38,0.5187,81.78,1.8933,45.37,55.34,5.50,0.00,4.6
39,0.5048,82.11,2.0544,44.93,54.34,7.30,0.00,4.5
40,0.4947,82.20,2.2192,42.06,51.96,2.45,0.00,3.8
41,0.4781,82.85,2.0364,44.08,53.77,5.30,0.00,4.0
42,0.4577,83.49,2.0659,44.24,53.21,8.35,0.00,4.9
43,0.4498,84.06,2.2454,44.70,54.88,4.00,0.00,3.8
44,0.4366,84.35,2.2148,43.10,52.54,5.35,0.00,3.8
45,0.4171,85.10,2.3830,41.70,51.39,2.95,0.00,4.4
46,0.4089,85.28,2.4402,43.37,53.62,2.35,0.00,4.6
47,0.3830,86.17,2.1755,45.27,54.96,6.50,0.00,4.1
48,0.3751,86.72,2.0822,46.68,55.24,12.45,0.00,4.0
49,0.3546,87.10,2.0259,48.77,57.40,14.25,0.00,4.8
50,0.3477,87.66,2.1733,47.79,57.61,8.50,0.00,3.8
51,0.3241,88.46,2.2624,46.78,55.81,10.65,0.00,3.8
52,0.3124,88.83,2.1532,47.06,55.08,15.00,0.00,5.1
53,0.3063,88.75,2.7167,42.48,52.19,3.65,0.00,3.8
54,0.2886,89.63,2.1190,50.00,58.31,16.75,0.00,4.9
55,0.2590,90.60,2.3522,47.03,55.60,12.75,0.00,4.0
56,0.2488,90.82,2.3796,48.11,57.35,11.15,0.00,3.9
57,0.2463,91.14,2.2921,48.07,55.14,19.80,0.00,4.9
58,0.2244,91.76,2.5300,47.73,56.26,13.60,0.00,5.2
59,0.2118,92.38,2.6582,45.97,54.77,10.75,0.00,4.9
60,0.2024,92.87,2.6523,47.70,57.23,9.60,0.00,5.0
61,0.1943,92.99,2.7425,46.23,54.44,13.40,0.00,5.0
62,0.1892,93.36,2.7160,47.16,55.85,12.40,0.00,5.1
63,0.1724,93.66,2.7669,45.63,54.34,10.80,0.00,4.8
64,0.1557,94.63,2.8038,46.85,55.91,10.60,0.00,4.9
65,0.1627,94.20,3.0229,46.18,54.70,12.10,0.00,5.2
66,0.1512,94.66,3.0293,44.65,53.62,8.75,0.00,3.8
67,0.1380,95.19,2.9956,46.22,55.89,7.55,0.00,4.2
68,0.1366,95.10,3.0653,46.20,55.76,7.95,0.00,4.8
69,0.1293,95.36,2.8649,47.77,55.91,15.20,0.00,5.0
70,0.1276,95.53,3.2333,44.55,53.98,6.85,0.00,4.9
71,0.1250,95.39,2.6805,48.79,57.24,15.00,0.00,4.9
72,0.1106,96.04,3.0288,47.65,56.77,11.15,0.00,5.2
73,0.1062,96.11,3.0534,47.65,56.64,11.70,0.00,4.9
74,0.0980,96.54,3.2762,47.59,57.11,9.50,0.00,4.9
