epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,2.6975,6.91,2.4284,10.39,12.55,1.75,0.00,9.4
2,1.6330,44.27,2.7949,23.63,29.54,0.00,0.00,8.6
3,1.2044,59.28,3.0082,26.39,32.99,0.00,0.00,8.6
4,1.0498,64.11,2.5635,26.97,33.71,0.00,0.00,8.6
5,1.0003,67.42,6.3447,28.23,35.29,0.00,0.00,8.5
6,1.0188,68.47,7.9285,29.49,36.86,0.00,0.00,8.7
7,0.9384,69.65,15.8791,29.39,36.74,0.00,0.00,8.4
8,0.8481,72.29,2.4950,31.67,39.59,0.00,0.00,8.4
9,0.8007,73.66,2.2602,34.60,43.25,0.00,0.00,8.6
10,0.7485,74.85,2.3965,37.16,46.45,0.00,0.00,8.9
11,0.7158,76.07,2.1605,33.88,42.35,0.00,0.00,8.6
12,0.6997,77.22,2.3006,39.12,48.90,0.00,0.00,8.7
13,0.6616,78.16,2.1644,40.02,50.02,0.00,0.00,8.5
14,0.6616,78.57,2.1034,39.89,49.86,0.00,0.00,8.6
15,0.6677,79.27,3.2206,38.56,48.20,0.00,0.00,8.8
16,0.6304,80.75,4.6844,37.69,47.10,0.05,0.00,8.6
17,0.6617,80.65,2.2091,42.16,52.51,0.75,0.00,8.6
18,0.5759,81.52,2.0173,43.42,54.27,0.00,0.00,8.6
19,0.5488,81.81,1.8533,45.20,56.08,1.70,0.00,8.6
20,0.5229,82.65,1.8290,46.34,57.51,1.65,0.00,8.7
21,0.5011,83.37,2.1661,48.45,60.51,0.20,0.00,8.6
22,0.4759,84.10,1.6872,52.09,62.73,9.55,0.00,8.6
23,0.4871,84.56,1.8411,49.29,60.12,5.95,0.00,8.6
24,0.4703,85.02,2.2307,49.64,61.76,1.15,0.00,8.5
25,0.4511,85.52,1.7448,51.80,63.09,6.65,0.00,8.6
26,0.4207,85.95,1.6006,53.53,63.55,13.45,0.00,8.9
27,0.3926,87.06,1.7031,54.45,65.24,11.30,0.00,8.8
28,0.3841,87.20,1.7659,54.01,64.51,12.00,0.00,8.7
29,0.3675,87.53,1.8303,54.08,66.04,6.25,0.00,8.7
30,0.3529,88.42,1.5232,59.40,68.97,21.10,0.00,8.7
31,0.3329,88.55,1.4260,58.79,66.15,29.35,0.00,8.8
32,0.3456,89.01,2.1110,58.66,66.80,26.10,0.00,8.8
33,0.3251,89.35,1.6342,56.17,65.95,17.05,0.00,8.6
34,0.3462,89.40,2.1047,53.67,65.06,8.10,0.00,8.5
35,0.3248,89.51,1.7775,57.03,66.49,19.20,0.00,10.4
36,0.2887,90.40,1.6205,59.08,67.00,27.40,0.00,9.1
37,0.2849,90.49,2.0745,53.68,64.58,10.10,0.00,8.7
38,0.2675,90.87,1.8644,56.53,65.83,19.35,0.00,9.0
39,0.2632,91.11,1.9401,55.54,64.79,18.55,0.00,8.7
40,0.2489,91.29,1.7725,58.93,67.25,25.65,0.00,9.1
41,0.2362,92.07,1.7115,58.56,65.95,29.00,0.00,9.0
42,0.2251,92.54,1.8134,58.71,66.41,27.90,0.00,8.7
43,0.2189,92.62,1.7631,58.22,67.70,20.30,0.00,8.7
