nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run mvscoglw
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_102227-mvscoglw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/ablation-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/ablation-resnet18/runs/mvscoglw
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 1/200 - Loss: 2.1037, Val Acc: 17.36%, Head: 20.99%, Med: 2.85%, Tail: 0.00%
[adam] Epoch 2/200 - Loss: 1.2634, Val Acc: 27.27%, Head: 34.09%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 3/200 - Loss: 1.0955, Val Acc: 29.46%, Head: 36.49%, Med: 1.35%, Tail: 0.00%
[adam] Epoch 4/200 - Loss: 1.0141, Val Acc: 30.92%, Head: 38.65%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 5/200 - Loss: 0.9533, Val Acc: 29.19%, Head: 36.49%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 6/200 - Loss: 0.9121, Val Acc: 29.32%, Head: 36.65%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 7/200 - Loss: 0.8555, Val Acc: 33.49%, Head: 41.86%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 8/200 - Loss: 0.8117, Val Acc: 33.10%, Head: 41.38%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 9/200 - Loss: 0.7682, Val Acc: 37.21%, Head: 46.51%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 10/200 - Loss: 0.7294, Val Acc: 37.03%, Head: 46.29%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 11/200 - Loss: 0.7030, Val Acc: 39.04%, Head: 48.66%, Med: 0.55%, Tail: 0.00%
[adam] Epoch 12/200 - Loss: 0.6668, Val Acc: 40.57%, Head: 50.71%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 13/200 - Loss: 0.6385, Val Acc: 45.33%, Head: 56.66%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 14/200 - Loss: 0.6207, Val Acc: 45.83%, Head: 57.21%, Med: 0.30%, Tail: 0.00%
