epoch,val_acc,loss
1,27.25,1.4215
2,28.77,1.0263
3,33.96,0.9012
4,36.19,0.8413
5,37.24,0.7677
6,36.49,0.7028
7,42.5,0.6705
8,46.65,0.6199
9,46.27,0.5921
10,47.68,0.5793
11,48.24,0.5385
12,49.8,0.5247
13,49.24,0.4927
14,53.47,0.4718
15,50.56,0.4487
16,52.62,0.4282
17,51.79,0.4242
18,53.28,0.4114
19,54.92,0.391
20,55.15,0.3649
21,54.27,0.364
22,53.34,0.3491
23,58.01,0.3454
24,56.8,0.3204
25,53.83,0.3046
26,56.83,0.3084
27,57.46,0.292
28,55.62,0.2748
29,53.86,0.2702
30,58.13,0.2774
31,56.76,0.2503
32,59.37,0.2544
33,58.25,0.2377
34,57.0,0.238
35,60.52,0.234
36,58.91,0.2241
37,58.44,0.2136
38,57.09,0.2156
39,59.17,0.2002
40,59.11,0.1922
41,62.16,0.1892
42,60.24,0.189
43,56.37,0.1846
44,59.11,0.1773
45,60.13,0.1779
46,59.03,0.1621
47,56.45,0.1581
48,57.81,0.159
49,58.29,0.1589
50,58.77,0.1464
51,60.39,0.1399
52,59.17,0.1408
53,59.06,0.1371
54,60.12,0.1301
55,62.2,0.1305
56,57.56,0.1209
57,58.87,0.1183
58,59.39,0.1174
59,59.07,0.1214
60,62.23,0.1145
61,59.62,0.1207
62,61.38,0.1019
63,56.91,0.0991
64,59.76,0.0917
65,58.18,0.1044
66,60.29,0.0868
67,60.08,0.094
68,58.76,0.1006
69,58.22,0.0763
70,58.76,0.0937
71,59.31,0.0836
72,60.24,0.0807
73,61.07,0.0803
74,59.64,0.0757
75,57.56,0.0713
76,59.09,0.0795
77,59.62,0.0722
78,59.1,0.0725
79,61.43,0.0717
80,59.23,0.0678
81,59.93,0.0666
82,57.18,0.0745
83,60.2,0.064
84,58.1,0.0619
85,58.44,0.0578
86,59.03,0.0607
87,62.16,0.0569
88,62.13,0.0535
89,59.48,0.0531
90,61.26,0.0606
91,61.83,0.0503
92,60.66,0.0542
93,59.08,0.0489
94,60.84,0.0521
95,59.89,0.0419
96,59.95,0.0402
97,60.65,0.0372
98,62.14,0.0441
99,61.03,0.0378
100,62.24,0.0432
101,62.12,0.0379
102,60.75,0.0335
103,60.48,0.0363
104,60.69,0.0392
105,62.15,0.0369
106,62.81,0.035
107,60.66,0.0362
108,61.07,0.0362
109,62.39,0.0338
110,62.38,0.0275
111,59.41,0.0246
112,62.38,0.0283
113,61.97,0.0264
114,59.7,0.0261
115,61.43,0.0239
116,60.48,0.0215
117,60.13,0.022
118,61.6,0.023
119,61.85,0.0148
120,62.07,0.0195
121,61.36,0.0204
122,59.18,0.0168
123,62.13,0.0187
124,60.69,0.0174
125,62.17,0.0172
126,60.18,0.0155
127,61.67,0.0164
128,60.71,0.0148
129,61.97,0.0133
130,60.74,0.0169
131,60.52,0.0149
132,60.19,0.0126
133,60.29,0.0131
134,61.34,0.0112
135,60.48,0.0119
136,60.41,0.0073
137,61.3,0.0102
138,60.69,0.011
139,61.59,0.0072
140,61.67,0.0087
141,61.13,0.0085
142,61.21,0.0066
143,60.71,0.0076
144,61.26,0.0034
145,61.34,0.0082
146,61.09,0.0073
147,60.77,0.0063
148,59.99,0.0054
149,61.33,0.0056
150,59.84,0.0074
151,62.22,0.0052
152,62.42,0.0043
153,62.05,0.0047
154,61.32,0.0068
155,61.65,0.0036
156,60.8,0.0043
157,60.28,0.0045
158,62.77,0.0037
159,62.06,0.0044
160,63.2,0.0023
161,62.43,0.0022
162,62.02,0.0041
163,61.66,0.0029
164,63.39,0.0032
165,62.44,0.0023
166,62.47,0.003
167,62.4,0.0008
168,61.56,0.0021
169,62.3,0.0022
170,61.61,0.0021
171,62.14,0.0019
172,62.92,0.0017
173,62.67,0.0009
174,62.67,0.0007
175,62.62,0.001
176,61.64,0.0007
177,61.91,0.0011
178,61.47,0.0014
179,61.57,0.0005
180,61.47,0.0012
181,61.66,0.0005
182,61.98,0.0009
183,62.68,0.0016
184,62.2,0.0012
185,62.37,0.0004
186,62.65,0.0019
187,62.76,0.0005
188,62.56,0.0003
189,62.6,0.0006
190,62.35,0.0007
191,62.64,0.0004
192,62.71,0.0003
193,62.01,0.0002
194,63.26,0.0003
195,62.63,0.0011
196,62.21,0.0004
197,62.54,0.0002
198,62.81,0.0002
199,62.83,0.0011
200,61.98,0.0002
