epoch,val_acc,loss
1,24.36,1.3085
2,32.76,1.0637
3,30.19,0.972
4,33.63,0.9058
5,32.93,0.8567
6,37.06,0.8092
7,35.55,0.7728
8,39.58,0.7356
9,40.68,0.7064
10,40.14,0.6924
11,44.53,0.6667
12,41.21,0.6466
13,43.6,0.6253
14,45.55,0.6194
15,43.34,0.5897
16,47.27,0.5815
17,44.03,0.5573
18,47.1,0.5463
19,44.43,0.5389
20,48.42,0.5283
21,48.72,0.5127
22,48.51,0.5036
23,46.42,0.4832
24,49.91,0.4922
25,48.5,0.4728
26,46.39,0.4538
27,52.54,0.4402
28,49.53,0.4466
29,50.46,0.4336
30,50.59,0.4334
31,52.43,0.4199
32,52.36,0.4051
33,52.41,0.4056
34,51.5,0.4049
35,54.57,0.3892
36,52.41,0.3841
37,50.6,0.3763
38,51.36,0.3712
39,54.01,0.3684
40,49.95,0.3612
41,55.14,0.365
42,55.39,0.3604
43,50.6,0.3506
44,52.85,0.3401
45,52.88,0.338
46,54.68,0.3262
47,52.68,0.3339
48,55.26,0.3165
49,54.65,0.3199
50,54.8,0.3135
51,56.12,0.3085
52,56.64,0.2988
53,53.26,0.2876
54,55.11,0.2899
55,55.92,0.2753
56,52.92,0.2847
57,55.62,0.2796
58,53.98,0.2803
59,57.77,0.2694
60,54.83,0.2649
61,55.14,0.2582
62,54.7,0.2592
63,52.68,0.2526
64,55.92,0.2485
65,54.34,0.2455
66,53.63,0.2422
67,57.18,0.2386
68,56.67,0.2402
69,55.92,0.2329
70,52.97,0.2272
71,56.4,0.2227
72,57.81,0.2295
73,53.96,0.2147
74,57.02,0.218
75,55.98,0.2132
76,55.59,0.2052
77,55.03,0.1982
78,57.45,0.2004
79,54.05,0.1982
80,55.98,0.1951
81,55.11,0.1913
82,55.6,0.1891
83,57.13,0.1819
84,56.88,0.177
85,57.16,0.1781
86,55.77,0.1799
87,55.15,0.169
88,55.47,0.1762
89,56.48,0.1686
90,53.91,0.1637
91,54.55,0.1638
92,57.3,0.1661
93,54.94,0.1539
94,54.56,0.1552
95,54.87,0.1563
96,55.57,0.1531
97,56.13,0.1525
98,57.56,0.1486
99,58.91,0.1369
100,55.01,0.1464
101,55.59,0.146
102,56.35,0.1401
103,54.95,0.1395
104,53.85,0.1326
105,56.66,0.1361
106,53.09,0.1327
107,55.27,0.1326
108,55.71,0.1267
109,57.16,0.1239
110,57.1,0.1233
111,58.62,0.1206
112,56.65,0.1241
113,57.69,0.1163
114,56.73,0.1171
115,56.06,0.1134
116,56.34,0.1065
117,55.19,0.1165
118,56.52,0.11
119,57.52,0.1117
120,57.83,0.1078
121,56.77,0.1067
122,55.31,0.1054
123,56.35,0.1039
124,56.04,0.0967
125,57.65,0.1052
126,58.37,0.1017
127,55.84,0.0932
128,56.29,0.106
129,55.53,0.1035
130,56.94,0.1002
131,57.55,0.0907
132,55.93,0.0921
133,57.63,0.0882
134,55.89,0.0882
135,53.55,0.0919
136,56.55,0.0837
137,57.42,0.0853
138,55.52,0.0827
139,54.98,0.0861
140,56.77,0.0815
141,57.82,0.0798
142,57.78,0.0761
143,58.09,0.0816
144,56.9,0.0763
145,56.07,0.0742
146,55.39,0.0758
147,56.21,0.0708
148,56.18,0.0745
149,55.75,0.0733
150,55.3,0.0711
151,56.1,0.0736
152,59.01,0.067
153,59.11,0.0658
154,56.48,0.0632
155,56.2,0.0637
156,55.75,0.06
157,56.02,0.0648
158,56.46,0.0592
159,57.46,0.0579
160,57.98,0.0553
161,56.04,0.0548
162,58.13,0.0572
163,56.14,0.0556
164,56.88,0.0594
165,56.98,0.0551
166,57.35,0.0547
167,55.43,0.0546
168,54.09,0.0575
169,57.43,0.0548
170,56.89,0.0481
171,55.93,0.0489
172,55.3,0.0483
173,55.78,0.0488
174,56.01,0.0496
175,56.71,0.0436
176,57.36,0.0435
177,55.9,0.0418
