epoch,val_acc,loss
1,24.44,1.2695
2,29.25,0.9673
3,34.73,0.8786
4,37.51,0.8255
5,38.58,0.778
6,41.32,0.7393
7,40.95,0.7052
8,45.55,0.6712
9,42.31,0.6529
10,43.41,0.6242
11,43.83,0.6046
12,47.34,0.5862
13,44.88,0.5679
14,46.44,0.5511
15,46.94,0.5297
16,49.32,0.5138
17,49.23,0.4991
18,49.61,0.4866
19,46.31,0.4715
20,50.49,0.4553
21,48.99,0.4444
22,50.98,0.4296
23,49.96,0.4223
24,50.48,0.4122
25,50.56,0.3884
26,53.09,0.3789
27,50.8,0.379
28,49.35,0.3609
29,50.42,0.347
30,52.17,0.3481
31,53.54,0.3364
32,52.71,0.3181
33,53.35,0.3105
34,50.11,0.3096
35,52.64,0.2919
36,54.49,0.2781
37,52.3,0.2892
38,53.7,0.2737
39,53.94,0.2712
40,52.85,0.2583
41,54.06,0.256
42,54.45,0.2527
43,53.49,0.2319
44,54.82,0.2352
45,53.12,0.2228
46,54.41,0.2225
47,54.34,0.2157
48,55.4,0.21
49,56.63,0.2071
50,52.75,0.2003
51,54.29,0.2038
52,53.64,0.1979
53,56.1,0.1863
54,53.16,0.1829
55,53.96,0.1822
56,53.44,0.1749
57,53.23,0.1768
58,54.75,0.1601
59,52.24,0.1632
60,54.23,0.1648
61,55.12,0.1611
62,54.34,0.155
63,55.04,0.1487
64,52.55,0.1441
65,55.22,0.1397
66,53.86,0.1381
67,57.46,0.1359
68,53.53,0.1278
69,55.26,0.1293
70,55.7,0.131
71,51.74,0.1253
72,53.79,0.1181
73,53.27,0.1197
74,53.42,0.1226
75,55.77,0.1136
76,53.08,0.1098
77,54.3,0.1173
78,53.17,0.1106
79,52.63,0.1089
80,51.29,0.1027
81,54.81,0.099
82,52.17,0.0987
83,52.58,0.0985
84,53.55,0.1001
85,54.16,0.0953
86,54.38,0.0937
87,54.87,0.0912
88,51.75,0.0947
89,53.61,0.0888
90,54.3,0.0877
91,54.62,0.0917
92,54.93,0.0831
93,55.38,0.082
94,54.94,0.0755
95,55.18,0.0848
96,52.87,0.0735
97,55.21,0.0751
98,54.14,0.075
99,53.92,0.0766
100,53.86,0.0766
101,54.7,0.0633
102,54.76,0.0749
103,53.82,0.0728
104,54.78,0.0681
105,53.03,0.0663
106,55.62,0.0635
107,55.67,0.0648
108,53.41,0.0692
109,53.45,0.0615
110,56.46,0.0615
111,52.57,0.0608
112,54.47,0.0602
113,53.98,0.0564
114,55.72,0.056
115,56.35,0.0556
116,54.28,0.0592
117,54.39,0.0551
118,53.26,0.0583
119,55.53,0.0531
120,54.3,0.0518
121,54.0,0.0465
122,54.27,0.043
123,53.7,0.0512
124,55.73,0.0486
125,55.02,0.0474
126,53.83,0.0523
127,55.13,0.0508
128,54.62,0.0484
129,53.39,0.0409
130,55.07,0.0458
131,54.2,0.0424
132,55.45,0.0411
133,55.19,0.0365
134,55.12,0.043
135,55.42,0.0414
136,54.95,0.0424
137,55.06,0.0434
138,54.49,0.0366
139,53.54,0.0383
140,53.6,0.0354
141,54.54,0.0324
142,56.02,0.0356
143,55.72,0.0331
144,55.79,0.0304
145,54.78,0.0292
146,55.3,0.0338
147,54.63,0.0336
148,55.75,0.0326
149,53.8,0.0313
150,54.79,0.0317
151,54.91,0.0296
152,54.75,0.0305
153,53.58,0.0309
154,53.15,0.0308
155,54.5,0.023
156,55.11,0.03
157,53.16,0.0287
158,56.18,0.0267
159,54.19,0.0234
160,55.09,0.0265
161,55.41,0.0224
162,54.98,0.0223
163,55.0,0.0187
164,55.24,0.0244
165,56.05,0.0215
166,55.76,0.0199
167,55.03,0.0206
168,55.5,0.0173
169,55.41,0.0192
170,54.94,0.0194
171,53.98,0.0207
172,56.06,0.0182
173,55.38,0.0179
174,55.84,0.016
175,56.67,0.0181
176,55.11,0.0193
177,54.58,0.0168
178,54.93,0.0163
179,54.77,0.0199
180,54.31,0.0154
181,54.8,0.0172
182,55.36,0.0147
183,55.02,0.0139
184,55.04,0.0125
185,54.64,0.0144
186,54.5,0.0172
187,54.08,0.0111
188,53.96,0.0145
189,55.71,0.0106
190,55.38,0.0132
