epoch,val_acc,loss
1,18.89,1.4608
2,20.33,1.2683
3,22.29,1.2103
4,24.43,1.1751
5,23.24,1.1579
6,23.96,1.1378
7,23.86,1.1221
8,24.62,1.1119
9,23.76,1.0918
10,26.13,1.0795
11,24.6,1.0692
12,27.56,1.0624
13,26.16,1.0448
14,27.72,1.043
15,27.22,1.0309
16,27.61,1.0207
17,27.53,1.0202
18,26.67,1.0014
19,28.28,1.0013
20,28.82,0.9864
21,27.3,0.9888
22,29.7,0.9818
23,29.01,0.9734
24,27.59,0.9749
25,28.2,0.9604
26,29.66,0.9601
27,29.04,0.9488
28,29.7,0.9361
29,29.57,0.9545
30,29.78,0.9367
31,31.93,0.9352
32,30.36,0.9308
33,29.27,0.9296
34,30.49,0.9221
35,29.08,0.916
36,32.29,0.9117
37,33.07,0.9178
38,31.78,0.9056
39,31.9,0.9032
40,28.94,0.8916
41,32.04,0.8954
42,32.22,0.8944
43,32.44,0.8901
44,32.26,0.8894
45,31.67,0.8764
46,30.65,0.8762
47,32.96,0.8724
48,33.45,0.8742
49,33.0,0.8732
50,34.92,0.8645
51,33.38,0.8534
52,33.94,0.8605
53,33.82,0.8776
54,35.73,0.8654
55,33.32,0.8555
56,34.03,0.852
57,35.13,0.8573
58,32.86,0.8534
59,32.15,0.8392
60,32.88,0.8482
61,33.22,0.839
62,34.21,0.8458
63,34.43,0.8404
64,35.38,0.8356
65,35.34,0.8376
66,35.02,0.8384
67,35.47,0.8316
68,35.3,0.8404
69,33.5,0.8358
70,32.26,0.8352
71,33.34,0.8229
72,35.27,0.831
73,34.92,0.8216
74,35.17,0.825
75,35.22,0.8223
76,34.77,0.8203
77,35.63,0.8206
78,35.14,0.8144
79,35.2,0.8171
80,34.01,0.8108
81,36.56,0.8095
82,35.92,0.8009
83,33.98,0.8079
84,34.5,0.8117
85,34.98,0.8156
