epoch,val_acc,loss
1,22.22,1.4287
2,26.8,1.2705
3,27.41,1.0972
4,28.29,1.0746
5,26.13,0.985
6,28.2,0.9458
7,26.85,0.9555
8,29.22,0.9191
9,30.21,0.873
10,32.2,0.8248
11,31.9,0.7865
12,31.44,0.7713
13,32.68,0.7444
14,32.57,0.7156
15,35.83,0.6956
16,38.66,0.6641
17,36.0,0.6504
18,36.37,0.6229
19,40.88,0.6052
20,37.01,0.5824
21,40.92,0.5655
22,41.46,0.5426
23,46.8,0.5162
24,44.82,0.5179
25,42.72,0.5044
26,49.63,0.4861
27,47.39,0.4753
28,44.5,0.4591
29,47.83,0.4408
30,45.92,0.4335
31,50.08,0.4269
32,48.4,0.4059
33,48.76,0.3891
34,48.91,0.3816
35,50.9,0.3708
36,50.72,0.3631
37,52.78,0.3561
38,48.26,0.3357
39,52.52,0.3281
40,51.94,0.3192
41,52.38,0.3218
42,51.9,0.3051
43,52.32,0.2969
44,54.49,0.2861
45,55.05,0.2754
46,54.68,0.2649
47,54.86,0.2612
48,54.15,0.2547
49,55.57,0.2436
50,58.21,0.2344
51,54.23,0.2225
52,52.38,0.223
53,52.68,0.2132
54,52.64,0.2046
55,54.32,0.1993
56,55.25,0.2019
57,57.27,0.1817
58,57.64,0.1871
59,58.83,0.1791
60,55.3,0.172
61,54.07,0.1606
62,54.32,0.1617
63,54.84,0.1657
64,55.03,0.152
65,55.65,0.1399
66,55.48,0.1415
67,55.69,0.1391
68,54.43,0.1364
69,55.77,0.1341
70,57.93,0.1299
71,56.94,0.1271
72,54.26,0.1186
73,54.62,0.1247
74,56.82,0.1239
75,58.01,0.11
76,54.07,0.1053
77,56.76,0.0987
78,56.74,0.0936
79,55.6,0.0961
80,59.52,0.1065
81,56.68,0.0933
82,57.13,0.0894
83,57.91,0.0933
84,55.75,0.0782
85,55.56,0.0969
86,55.63,0.0815
87,55.67,0.086
88,57.9,0.0828
89,56.77,0.0818
90,56.24,0.0739
91,57.45,0.0683
92,56.13,0.0731
93,56.47,0.067
94,57.41,0.0705
95,56.17,0.0661
96,55.67,0.0634
97,59.08,0.0654
98,55.22,0.0624
99,56.75,0.0619
100,58.24,0.055
101,58.95,0.0537
102,55.08,0.0549
103,55.62,0.0474
104,55.84,0.048
105,55.76,0.0453
106,55.28,0.0427
107,57.41,0.0501
108,54.84,0.0373
109,54.9,0.0425
110,58.24,0.0388
111,57.9,0.0409
112,58.49,0.0394
113,57.52,0.035
114,56.55,0.0305
115,56.86,0.0343
116,58.62,0.0383
117,56.98,0.0296
118,57.8,0.0299
119,57.48,0.0285
120,58.11,0.0298
121,58.53,0.0292
122,56.71,0.0257
123,57.97,0.033
124,57.78,0.0348
125,57.67,0.0256
126,58.91,0.0241
127,57.35,0.0227
128,56.5,0.0185
129,59.37,0.0229
130,59.56,0.0188
131,57.4,0.0175
132,57.25,0.0183
133,58.61,0.0203
134,56.2,0.0153
135,57.69,0.0132
136,57.39,0.0159
137,56.79,0.0136
138,56.97,0.0131
139,57.85,0.0147
140,57.4,0.0141
141,57.32,0.0141
142,58.69,0.0121
143,58.44,0.0096
144,58.08,0.0112
145,58.16,0.0086
146,58.48,0.0077
147,57.04,0.0083
148,59.05,0.006
149,59.33,0.0059
150,58.36,0.0075
151,58.22,0.0066
152,59.26,0.0061
153,57.66,0.0066
154,58.6,0.0039
155,58.78,0.0065
156,59.45,0.0028
157,59.73,0.0038
158,58.68,0.0044
159,57.63,0.0075
160,57.77,0.0027
161,58.82,0.0033
162,59.29,0.0055
163,60.38,0.0035
164,58.11,0.0033
165,58.72,0.0033
166,59.25,0.003
167,58.07,0.0026
168,58.76,0.0032
169,57.79,0.0023
170,59.17,0.0025
171,58.73,0.0025
172,58.71,0.0019
173,58.19,0.0024
174,57.34,0.0011
175,58.18,0.001
176,57.58,0.0012
177,58.07,0.0019
178,58.26,0.0011
179,58.55,0.0022
180,58.93,0.002
181,58.77,0.0022
182,58.64,0.0017
183,58.58,0.0012
184,58.26,0.0011
185,57.64,0.0019
186,58.49,0.0008
187,58.71,0.0015
188,59.17,0.0006
189,58.96,0.0011
190,59.4,0.001
191,59.24,0.0009
192,58.93,0.0013
193,58.83,0.0017
194,59.31,0.0011
195,58.41,0.0006
196,59.33,0.0007
197,58.64,0.0011
198,58.76,0.0009
199,58.85,0.0009
200,59.08,0.0015
