epoch,val_acc,loss
1,27.35,1.1917
2,34.48,0.9155
3,39.52,0.8111
4,40.91,0.7401
5,43.2,0.6909
6,46.22,0.6616
7,47.05,0.6237
8,48.23,0.5937
9,46.99,0.5759
10,50.89,0.5641
11,51.74,0.5336
12,52.83,0.5121
13,50.0,0.4944
14,50.94,0.473
15,54.83,0.4561
16,52.8,0.454
17,52.57,0.4297
18,51.74,0.4208
19,51.34,0.403
20,53.48,0.3912
21,54.55,0.3932
22,57.28,0.379
23,55.14,0.3639
24,54.51,0.3563
25,55.23,0.34
26,55.97,0.3355
27,55.42,0.331
28,58.26,0.3195
29,54.37,0.3074
30,57.14,0.3046
31,55.8,0.2875
32,57.52,0.2811
33,56.24,0.2839
34,55.45,0.2708
35,58.22,0.2547
36,57.28,0.2558
37,53.55,0.2502
38,55.73,0.2457
39,58.27,0.2343
40,57.7,0.2369
41,57.05,0.2236
42,57.2,0.2101
43,57.49,0.2152
44,60.35,0.2066
45,57.79,0.2167
46,58.28,0.2029
47,58.26,0.1962
48,57.44,0.1939
49,61.33,0.181
50,58.52,0.1795
51,58.92,0.1792
52,60.14,0.1816
53,58.65,0.1646
54,60.89,0.1685
55,60.8,0.1661
56,58.49,0.1535
57,59.62,0.1527
58,59.41,0.1512
59,59.68,0.1488
60,59.7,0.1537
61,59.87,0.1298
62,58.54,0.1327
63,60.07,0.1313
64,60.36,0.133
65,60.27,0.1294
66,57.34,0.125
67,58.4,0.1284
68,60.44,0.1168
69,59.8,0.1182
70,56.09,0.11
71,55.84,0.1168
72,58.68,0.1052
73,59.66,0.1069
74,60.15,0.107
75,59.88,0.0994
76,59.16,0.1002
77,59.69,0.0946
78,58.1,0.0966
79,59.17,0.0916
80,60.05,0.0978
81,61.71,0.0923
82,58.17,0.0856
83,60.23,0.0853
84,61.15,0.0955
85,58.47,0.086
86,58.66,0.0825
87,58.12,0.0834
88,57.62,0.0826
89,61.21,0.0799
90,59.3,0.0708
91,59.86,0.0786
92,58.4,0.0756
93,59.21,0.0788
94,59.09,0.0678
95,62.03,0.0681
96,60.16,0.0679
97,57.62,0.0658
98,62.19,0.072
99,61.23,0.0682
100,59.93,0.0698
101,62.11,0.0681
102,60.49,0.0637
103,59.94,0.0645
104,60.63,0.0553
105,59.51,0.0543
106,61.4,0.0619
107,58.8,0.0574
108,59.78,0.0546
109,60.42,0.0581
110,60.43,0.0553
111,58.59,0.0544
112,60.86,0.0571
113,60.12,0.0512
114,58.26,0.0596
115,59.04,0.0537
116,59.12,0.0472
117,59.29,0.0443
118,60.27,0.0448
119,61.35,0.0409
120,58.9,0.043
121,56.4,0.0575
122,59.81,0.045
123,59.38,0.0462
124,57.06,0.0428
125,61.14,0.0387
126,60.97,0.0434
127,61.9,0.0458
128,60.48,0.0403
129,61.39,0.0415
130,61.38,0.039
131,61.66,0.0379
132,60.92,0.0382
133,60.44,0.0351
134,59.09,0.0407
135,59.2,0.0348
136,59.81,0.0386
137,61.15,0.0366
138,60.57,0.0319
139,60.49,0.039
140,61.73,0.034
141,61.88,0.0316
142,62.82,0.0253
143,61.49,0.0299
144,60.24,0.0362
145,60.88,0.0356
146,60.71,0.0338
147,61.86,0.0254
148,59.68,0.0279
149,59.55,0.025
150,61.26,0.0265
151,61.12,0.0223
152,60.87,0.029
153,61.41,0.0293
154,61.25,0.0254
155,61.46,0.0238
156,59.92,0.0191
157,59.07,0.0247
158,61.1,0.0259
159,60.95,0.0233
160,61.28,0.0216
161,60.45,0.0201
162,61.89,0.0165
163,61.35,0.0226
164,60.01,0.0266
165,61.13,0.0239
166,61.46,0.0225
167,61.78,0.0177
168,60.29,0.0161
169,60.95,0.0178
170,61.02,0.0177
171,62.96,0.0181
172,61.01,0.0181
173,61.32,0.0183
174,60.37,0.0189
175,58.74,0.0198
176,61.26,0.0174
177,60.31,0.0168
178,60.45,0.017
179,61.4,0.014
180,60.8,0.0167
181,60.39,0.0187
182,61.7,0.0126
183,60.71,0.0126
184,61.16,0.0116
185,60.63,0.0103
186,61.28,0.0123
187,61.15,0.0094
188,60.3,0.0096
189,60.55,0.0088
190,62.38,0.009
191,62.32,0.0107
192,61.5,0.0105
193,61.44,0.0104
194,61.9,0.0062
195,60.39,0.0104
196,61.91,0.0083
197,60.2,0.0084
198,60.84,0.0075
199,59.57,0.0101
200,60.31,0.0099
201,62.1,0.0088
202,60.82,0.0074
203,60.71,0.0075
204,60.62,0.0079
205,61.96,0.0084
206,62.55,0.0081
207,61.48,0.0048
208,61.04,0.0049
209,60.3,0.0056
210,61.61,0.0061
211,61.42,0.0053
212,61.18,0.0057
213,61.12,0.0051
214,60.52,0.0051
215,60.58,0.0052
216,59.41,0.005
217,61.55,0.0051
218,61.04,0.0058
219,60.14,0.0058
220,60.04,0.0045
221,60.94,0.006
222,61.04,0.0039
223,61.54,0.0053
224,60.77,0.0057
225,60.82,0.0048
226,60.46,0.0042
227,61.21,0.0051
228,60.94,0.0042
229,61.23,0.0038
230,61.4,0.0048
231,61.62,0.0031
232,61.18,0.0039
233,61.15,0.0039
234,60.99,0.0029
235,61.31,0.0028
236,61.74,0.0016
