epoch,val_acc,loss
1,20.15,1.5266
2,23.15,1.2386
3,25.17,1.132
4,27.68,1.0663
5,28.6,1.0148
6,28.66,0.9683
7,30.84,0.942
8,31.22,0.9044
9,31.89,0.8824
10,32.21,0.8597
11,32.41,0.8311
12,36.69,0.8106
13,35.55,0.7871
14,39.46,0.766
15,39.5,0.7459
16,37.61,0.7302
17,40.73,0.714
18,39.79,0.6959
19,41.96,0.6815
20,42.12,0.6681
21,42.84,0.6538
22,43.07,0.6425
23,42.99,0.6258
24,43.95,0.622
25,43.93,0.6004
26,44.84,0.5882
27,46.03,0.5867
28,44.8,0.5694
29,46.85,0.5656
30,46.09,0.5551
31,44.03,0.5614
32,44.73,0.5546
33,46.34,0.5348
34,45.14,0.5379
35,46.68,0.5198
36,47.58,0.5257
37,46.77,0.5152
38,46.64,0.5054
39,48.68,0.4961
40,42.71,0.508
41,46.21,0.5071
42,48.36,0.4903
43,48.68,0.4881
44,43.31,0.4917
45,49.07,0.4955
46,45.97,0.4955
47,46.01,0.4844
48,48.21,0.4949
49,46.38,0.4752
50,49.82,0.4824
51,47.75,0.4781
52,43.56,0.4861
53,46.1,0.4764
54,47.67,0.4872
55,50.45,0.4845
56,49.46,0.4839
57,49.47,0.4794
58,46.95,0.4779
59,48.5,0.4919
60,49.74,0.4819
61,45.39,0.4939
62,48.39,0.4912
63,51.23,0.4809
64,45.44,0.493
65,48.49,0.4977
66,49.53,0.4852
67,52.01,0.4894
68,44.29,0.4723
69,48.09,0.4818
70,51.51,0.4753
71,52.25,0.4776
72,51.01,0.4918
73,45.32,0.4809
74,47.78,0.476
75,50.01,0.4802
76,49.82,0.4764
77,48.71,0.4818
78,50.9,0.4729
79,52.89,0.4732
80,48.87,0.4802
81,50.0,0.4841
82,50.09,0.4736
83,51.88,0.4748
84,49.56,0.4662
85,53.25,0.4657
86,50.96,0.4715
87,48.78,0.4537
88,50.73,0.4663
89,49.04,0.4529
90,48.87,0.4529
91,50.16,0.4546
92,51.4,0.4493
93,47.7,0.4479
94,50.63,0.4462
95,48.77,0.4392
96,47.32,0.4412
97,50.37,0.4311
98,50.47,0.4387
99,50.74,0.4238
100,49.64,0.426
101,49.41,0.414
102,51.79,0.4159
103,50.68,0.4104
104,53.96,0.4267
105,51.73,0.4058
106,49.55,0.4184
107,53.16,0.4097
108,47.6,0.4068
109,52.55,0.4055
110,51.39,0.3986
111,48.07,0.3921
112,46.96,0.3984
113,50.48,0.3961
114,52.88,0.3947
115,50.86,0.393
116,51.0,0.3928
117,53.76,0.378
118,50.75,0.383
119,51.99,0.382
120,49.8,0.3775
121,49.5,0.3761
122,50.66,0.3676
123,53.42,0.3738
124,52.92,0.3664
125,49.14,0.358
126,53.05,0.3577
127,51.08,0.355
128,52.52,0.3561
129,50.32,0.3531
130,54.57,0.3589
131,53.25,0.3507
132,51.67,0.3503
133,51.36,0.3468
134,53.45,0.3493
135,53.67,0.3502
136,53.05,0.3454
137,52.42,0.3518
138,52.09,0.3418
139,51.38,0.3366
140,50.94,0.3305
141,52.49,0.3396
142,53.92,0.3329
143,51.24,0.333
144,53.55,0.3295
145,52.47,0.3251
146,53.24,0.3212
147,49.17,0.3224
148,51.82,0.3252
149,51.1,0.3194
150,52.32,0.325
151,54.34,0.3204
152,52.64,0.3092
153,52.03,0.3109
154,54.57,0.3066
155,54.04,0.3047
156,52.67,0.3144
157,52.63,0.3055
158,52.73,0.3048
159,53.74,0.3055
160,52.6,0.3041
161,51.5,0.2972
162,51.84,0.2944
163,51.6,0.297
164,53.18,0.2971
165,52.33,0.2885
166,49.77,0.2913
167,50.4,0.2962
168,52.74,0.2955
169,53.3,0.287
170,51.6,0.2895
171,53.38,0.2814
172,53.98,0.2843
173,50.86,0.2832
174,54.03,0.2778
175,51.89,0.2759
176,50.42,0.2679
177,50.78,0.2745
178,50.44,0.2772
179,53.03,0.2753
180,51.58,0.2706
181,51.83,0.2666
182,53.79,0.2673
183,53.23,0.2626
184,52.34,0.2637
185,55.51,0.2609
186,53.37,0.2557
187,55.48,0.2577
188,55.27,0.26
189,53.89,0.2576
190,53.45,0.2568
191,52.93,0.2551
192,51.99,0.2549
193,53.07,0.2494
194,54.2,0.2457
195,53.23,0.246
196,53.2,0.2408
197,52.58,0.2389
198,53.44,0.2375
199,54.19,0.2381
200,53.21,0.234
201,53.48,0.2298
202,53.32,0.23
203,52.74,0.2262
204,54.87,0.2194
205,53.83,0.2232
206,54.79,0.2223
207,54.96,0.2174
208,52.92,0.2183
209,52.91,0.2193
210,52.97,0.2143
211,53.45,0.2138
212,54.63,0.2085
213,52.18,0.2138
214,53.22,0.2068
215,52.23,0.2048
216,54.15,0.2017
217,54.32,0.2064
218,55.28,0.2028
219,53.48,0.1988
220,52.21,0.1955
221,52.3,0.1957
222,53.62,0.1921
223,55.01,0.1937
224,54.13,0.1881
225,55.18,0.1903
226,54.81,0.1836
227,53.61,0.1849
228,54.55,0.1833
229,53.96,0.1812
230,54.28,0.1774
231,54.4,0.1771
232,54.09,0.1729
233,54.26,0.1743
234,54.88,0.1685
235,54.48,0.1669
236,53.96,0.1654
237,55.18,0.1638
238,55.41,0.1593
239,55.56,0.1586
240,54.87,0.156
241,55.69,0.1498
242,55.94,0.1518
243,54.87,0.1487
244,55.41,0.1446
245,54.96,0.1413
246,55.28,0.1385
247,54.58,0.1381
248,54.01,0.1348
249,55.14,0.1319
250,55.05,0.1342
251,55.65,0.1317
252,54.89,0.1297
253,55.41,0.125
254,54.85,0.1257
255,54.91,0.1239
256,54.7,0.123
257,56.04,0.121
258,55.17,0.118
259,55.68,0.1171
260,56.52,0.1158
261,55.29,0.1118
262,55.79,0.1148
263,55.72,0.1113
264,55.44,0.1107
265,55.39,0.1085
266,55.7,0.1053
267,54.94,0.1059
268,55.67,0.1033
269,55.79,0.1027
270,55.51,0.1022
271,55.45,0.1001
272,55.48,0.0989
273,55.33,0.0996
274,55.02,0.0972
275,55.09,0.0982
276,55.14,0.0975
277,55.51,0.0978
278,55.63,0.0963
279,54.95,0.095
280,55.47,0.0957
281,55.49,0.0931
282,55.43,0.0937
283,55.79,0.0933
284,55.95,0.0915
285,55.06,0.0912
286,55.18,0.0928
287,55.5,0.0915
288,55.95,0.0913
289,55.41,0.0905
290,56.17,0.0888
291,55.95,0.0906
292,55.79,0.0904
293,55.64,0.0915
294,55.71,0.0898
295,55.45,0.0906
296,55.72,0.0891
297,55.88,0.0905
298,55.85,0.0907
299,55.49,0.0906
300,55.9,0.09
