nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 5b2u4osk
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260910_193526-5b2u4osk
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/ablation-new-transformer
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/ablation-new-transformer/runs/5b2u4osk
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 1/200 - Loss: 1.3929, Val Acc: 19.07%, Head: 23.84%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 2/200 - Loss: 1.3248, Val Acc: 22.74%, Head: 28.43%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 3/200 - Loss: 1.1453, Val Acc: 28.13%, Head: 35.16%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 4/200 - Loss: 1.0955, Val Acc: 22.88%, Head: 28.60%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 5/200 - Loss: 1.1255, Val Acc: 24.39%, Head: 30.49%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 6/200 - Loss: 1.0798, Val Acc: 25.49%, Head: 31.86%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 7/200 - Loss: 1.0620, Val Acc: 29.81%, Head: 37.26%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 8/200 - Loss: 1.0383, Val Acc: 24.71%, Head: 30.89%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 9/200 - Loss: 1.0135, Val Acc: 27.42%, Head: 34.27%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 10/200 - Loss: 1.0093, Val Acc: 25.12%, Head: 31.40%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 11/200 - Loss: 0.9852, Val Acc: 27.88%, Head: 34.84%, Med: 0.05%, Tail: 0.00%
[adam] Epoch 12/200 - Loss: 0.9670, Val Acc: 29.46%, Head: 36.83%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 13/200 - Loss: 0.9343, Val Acc: 31.91%, Head: 39.89%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 14/200 - Loss: 0.9383, Val Acc: 25.24%, Head: 31.55%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 15/200 - Loss: 0.9173, Val Acc: 33.72%, Head: 42.15%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 16/200 - Loss: 0.8938, Val Acc: 29.41%, Head: 36.76%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 17/200 - Loss: 0.8928, Val Acc: 36.72%, Head: 45.89%, Med: 0.05%, Tail: 0.00%
[adam] Epoch 18/200 - Loss: 0.8726, Val Acc: 33.00%, Head: 41.25%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 19/200 - Loss: 0.8608, Val Acc: 34.71%, Head: 43.39%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 20/200 - Loss: 0.8491, Val Acc: 31.24%, Head: 39.05%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 21/200 - Loss: 0.8414, Val Acc: 33.22%, Head: 41.52%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 22/200 - Loss: 0.8364, Val Acc: 32.50%, Head: 40.62%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 23/200 - Loss: 0.8190, Val Acc: 34.23%, Head: 42.77%, Med: 0.05%, Tail: 0.00%
[adam] Epoch 24/200 - Loss: 0.8171, Val Acc: 35.62%, Head: 44.49%, Med: 0.15%, Tail: 0.00%
[adam] Epoch 25/200 - Loss: 0.7973, Val Acc: 37.29%, Head: 46.46%, Med: 0.60%, Tail: 0.00%
[adam] Epoch 26/200 - Loss: 0.8009, Val Acc: 36.90%, Head: 46.12%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 27/200 - Loss: 0.7808, Val Acc: 35.94%, Head: 44.81%, Med: 0.45%, Tail: 0.00%
[adam] Epoch 28/200 - Loss: 0.7684, Val Acc: 39.14%, Head: 48.54%, Med: 1.55%, Tail: 0.00%
[adam] Epoch 29/200 - Loss: 0.7617, Val Acc: 41.22%, Head: 51.21%, Med: 1.25%, Tail: 0.00%
[adam] Epoch 30/200 - Loss: 0.7578, Val Acc: 37.49%, Head: 46.52%, Med: 1.35%, Tail: 0.00%
[adam] Epoch 31/200 - Loss: 0.7355, Val Acc: 40.69%, Head: 50.40%, Med: 1.85%, Tail: 0.00%
[adam] Epoch 32/200 - Loss: 0.7331, Val Acc: 41.31%, Head: 51.44%, Med: 0.80%, Tail: 0.00%
[adam] Epoch 33/200 - Loss: 0.7260, Val Acc: 38.47%, Head: 48.00%, Med: 0.35%, Tail: 0.00%
[adam] Epoch 34/200 - Loss: 0.7160, Val Acc: 37.05%, Head: 45.92%, Med: 1.55%, Tail: 0.00%
[adam] Epoch 35/200 - Loss: 0.7063, Val Acc: 37.85%, Head: 47.24%, Med: 0.30%, Tail: 0.00%
[adam] Epoch 36/200 - Loss: 0.6950, Val Acc: 36.95%, Head: 45.92%, Med: 1.05%, Tail: 0.00%
[adam] Epoch 37/200 - Loss: 0.6919, Val Acc: 40.59%, Head: 49.81%, Med: 3.70%, Tail: 0.00%
[adam] Epoch 38/200 - Loss: 0.6878, Val Acc: 40.01%, Head: 49.59%, Med: 1.70%, Tail: 0.00%
[adam] Epoch 39/200 - Loss: 0.6829, Val Acc: 43.30%, Head: 52.74%, Med: 5.55%, Tail: 0.00%
[adam] Epoch 40/200 - Loss: 0.6695, Val Acc: 38.20%, Head: 47.66%, Med: 0.35%, Tail: 0.00%
[adam] Epoch 41/200 - Loss: 0.6568, Val Acc: 45.40%, Head: 55.00%, Med: 7.00%, Tail: 0.00%
[adam] Epoch 42/200 - Loss: 0.6466, Val Acc: 42.32%, Head: 51.60%, Med: 5.20%, Tail: 0.00%
[adam] Epoch 43/200 - Loss: 0.6415, Val Acc: 43.44%, Head: 54.09%, Med: 0.85%, Tail: 0.00%
[adam] Epoch 44/200 - Loss: 0.6435, Val Acc: 42.47%, Head: 52.79%, Med: 1.20%, Tail: 0.00%
[adam] Epoch 45/200 - Loss: 0.6332, Val Acc: 37.04%, Head: 46.14%, Med: 0.65%, Tail: 0.00%
[adam] Epoch 46/200 - Loss: 0.6187, Val Acc: 41.77%, Head: 51.98%, Med: 0.95%, Tail: 0.00%
[adam] Epoch 47/200 - Loss: 0.6193, Val Acc: 45.98%, Head: 56.48%, Med: 4.00%, Tail: 0.00%
[adam] Epoch 48/200 - Loss: 0.5994, Val Acc: 41.85%, Head: 50.48%, Med: 7.35%, Tail: 0.00%
[adam] Epoch 49/200 - Loss: 0.5957, Val Acc: 45.21%, Head: 55.40%, Med: 4.45%, Tail: 0.00%
[adam] Epoch 50/200 - Loss: 0.5914, Val Acc: 43.98%, Head: 53.95%, Med: 4.10%, Tail: 0.00%
[adam] Epoch 51/200 - Loss: 0.5829, Val Acc: 43.15%, Head: 52.50%, Med: 5.75%, Tail: 0.00%
[adam] Epoch 52/200 - Loss: 0.5693, Val Acc: 45.81%, Head: 55.04%, Med: 8.90%, Tail: 0.00%
[adam] Epoch 53/200 - Loss: 0.5695, Val Acc: 42.82%, Head: 53.23%, Med: 1.20%, Tail: 0.00%
[adam] Epoch 54/200 - Loss: 0.5536, Val Acc: 47.02%, Head: 56.70%, Med: 8.30%, Tail: 0.00%
[adam] Epoch 55/200 - Loss: 0.5464, Val Acc: 48.07%, Head: 56.34%, Med: 15.00%, Tail: 0.00%
[adam] Epoch 56/200 - Loss: 0.5495, Val Acc: 47.03%, Head: 57.67%, Med: 4.45%, Tail: 0.00%
[adam] Epoch 57/200 - Loss: 0.5334, Val Acc: 46.42%, Head: 54.54%, Med: 13.95%, Tail: 0.00%
[adam] Epoch 58/200 - Loss: 0.5247, Val Acc: 45.21%, Head: 54.67%, Med: 7.35%, Tail: 0.00%
[adam] Epoch 59/200 - Loss: 0.5262, Val Acc: 44.33%, Head: 54.48%, Med: 3.75%, Tail: 0.00%
[adam] Epoch 60/200 - Loss: 0.5111, Val Acc: 46.01%, Head: 55.79%, Med: 6.90%, Tail: 0.00%
[adam] Epoch 61/200 - Loss: 0.4979, Val Acc: 46.05%, Head: 55.17%, Med: 9.55%, Tail: 0.00%
[adam] Epoch 62/200 - Loss: 0.4843, Val Acc: 47.10%, Head: 55.12%, Med: 15.00%, Tail: 0.00%
[adam] Epoch 63/200 - Loss: 0.4901, Val Acc: 48.31%, Head: 56.40%, Med: 15.95%, Tail: 0.00%
[adam] Epoch 64/200 - Loss: 0.4791, Val Acc: 47.06%, Head: 57.42%, Med: 5.60%, Tail: 0.00%
[adam] Epoch 65/200 - Loss: 0.4657, Val Acc: 50.18%, Head: 58.31%, Med: 17.65%, Tail: 0.00%
[adam] Epoch 66/200 - Loss: 0.4638, Val Acc: 48.09%, Head: 58.58%, Med: 6.15%, Tail: 0.00%
[adam] Epoch 67/200 - Loss: 0.4541, Val Acc: 46.75%, Head: 55.34%, Med: 12.40%, Tail: 0.00%
[adam] Epoch 68/200 - Loss: 0.4484, Val Acc: 47.58%, Head: 56.91%, Med: 10.25%, Tail: 0.00%
[adam] Epoch 69/200 - Loss: 0.4392, Val Acc: 48.35%, Head: 56.26%, Med: 16.70%, Tail: 0.00%
[adam] Epoch 70/200 - Loss: 0.4308, Val Acc: 48.61%, Head: 57.34%, Med: 13.70%, Tail: 0.00%
[adam] Epoch 71/200 - Loss: 0.4290, Val Acc: 49.28%, Head: 58.08%, Med: 14.10%, Tail: 0.00%
[adam] Epoch 72/200 - Loss: 0.4119, Val Acc: 49.88%, Head: 60.01%, Med: 9.35%, Tail: 0.00%
[adam] Epoch 73/200 - Loss: 0.3982, Val Acc: 49.68%, Head: 58.69%, Med: 13.65%, Tail: 0.00%
[adam] Epoch 74/200 - Loss: 0.4022, Val Acc: 48.13%, Head: 56.94%, Med: 12.90%, Tail: 0.00%
[adam] Epoch 75/200 - Loss: 0.3886, Val Acc: 52.52%, Head: 58.55%, Med: 28.40%, Tail: 0.00%
[adam] Epoch 76/200 - Loss: 0.3710, Val Acc: 48.73%, Head: 56.36%, Med: 18.20%, Tail: 0.00%
[adam] Epoch 77/200 - Loss: 0.3670, Val Acc: 48.23%, Head: 56.30%, Med: 15.95%, Tail: 0.00%
[adam] Epoch 78/200 - Loss: 0.3614, Val Acc: 49.58%, Head: 56.73%, Med: 21.00%, Tail: 0.00%
[adam] Epoch 79/200 - Loss: 0.3599, Val Acc: 48.98%, Head: 58.29%, Med: 11.75%, Tail: 0.00%
[adam] Epoch 80/200 - Loss: 0.3467, Val Acc: 50.33%, Head: 58.61%, Med: 17.20%, Tail: 0.00%
[adam] Epoch 81/200 - Loss: 0.3319, Val Acc: 50.78%, Head: 58.04%, Med: 21.75%, Tail: 0.00%
[adam] Epoch 82/200 - Loss: 0.3228, Val Acc: 51.80%, Head: 60.62%, Med: 16.50%, Tail: 0.00%
[adam] Epoch 83/200 - Loss: 0.3178, Val Acc: 51.65%, Head: 59.30%, Med: 21.05%, Tail: 0.00%
[adam] Epoch 84/200 - Loss: 0.3163, Val Acc: 49.66%, Head: 57.60%, Med: 17.90%, Tail: 0.00%
[adam] Epoch 85/200 - Loss: 0.3139, Val Acc: 47.56%, Head: 56.46%, Med: 11.95%, Tail: 0.00%
[adam] Epoch 86/200 - Loss: 0.2955, Val Acc: 49.48%, Head: 57.10%, Med: 19.00%, Tail: 0.00%
[adam] Epoch 87/200 - Loss: 0.3059, Val Acc: 47.46%, Head: 56.15%, Med: 12.70%, Tail: 0.00%
[adam] Epoch 88/200 - Loss: 0.2814, Val Acc: 48.93%, Head: 58.79%, Med: 9.50%, Tail: 0.00%
[adam] Epoch 89/200 - Loss: 0.2777, Val Acc: 50.48%, Head: 58.76%, Med: 17.35%, Tail: 0.00%
[adam] Epoch 90/200 - Loss: 0.2717, Val Acc: 47.52%, Head: 56.44%, Med: 11.85%, Tail: 0.00%
[adam] Epoch 91/200 - Loss: 0.2792, Val Acc: 48.90%, Head: 55.66%, Med: 21.85%, Tail: 0.00%
[adam] Epoch 92/200 - Loss: 0.2539, Val Acc: 49.75%, Head: 58.69%, Med: 14.00%, Tail: 0.00%
[adam] Epoch 93/200 - Loss: 0.2566, Val Acc: 49.20%, Head: 57.84%, Med: 14.65%, Tail: 0.00%
[adam] Epoch 94/200 - Loss: 0.2523, Val Acc: 50.33%, Head: 59.75%, Med: 12.65%, Tail: 0.00%
[adam] Epoch 95/200 - Loss: 0.2341, Val Acc: 48.78%, Head: 56.71%, Med: 17.05%, Tail: 0.00%
[adam] Epoch 96/200 - Loss: 0.2379, Val Acc: 48.15%, Head: 57.48%, Med: 10.85%, Tail: 0.00%
[adam] Epoch 97/200 - Loss: 0.2270, Val Acc: 49.21%, Head: 55.02%, Med: 25.95%, Tail: 0.00%
[adam] Epoch 98/200 - Loss: 0.2186, Val Acc: 47.58%, Head: 56.02%, Med: 13.80%, Tail: 0.00%
[adam] Epoch 99/200 - Loss: 0.2196, Val Acc: 49.43%, Head: 58.39%, Med: 13.60%, Tail: 0.00%
[adam] Epoch 100/200 - Loss: 0.2051, Val Acc: 47.46%, Head: 55.92%, Med: 13.60%, Tail: 0.00%
[adam] Epoch 101/200 - Loss: 0.2018, Val Acc: 49.35%, Head: 57.46%, Med: 16.90%, Tail: 0.00%
[adam] Epoch 102/200 - Loss: 0.1988, Val Acc: 47.68%, Head: 55.51%, Med: 16.35%, Tail: 0.00%
[adam] Epoch 103/200 - Loss: 0.1959, Val Acc: 48.81%, Head: 57.66%, Med: 13.40%, Tail: 0.00%
[adam] Epoch 104/200 - Loss: 0.1898, Val Acc: 48.89%, Head: 57.19%, Med: 15.70%, Tail: 0.00%
[adam] Epoch 105/200 - Loss: 0.1740, Val Acc: 46.65%, Head: 55.66%, Med: 10.60%, Tail: 0.00%
[adam] Epoch 106/200 - Loss: 0.1760, Val Acc: 48.96%, Head: 57.49%, Med: 14.85%, Tail: 0.00%
[adam] Epoch 107/200 - Loss: 0.1687, Val Acc: 49.06%, Head: 57.20%, Med: 16.50%, Tail: 0.00%
[adam] Epoch 108/200 - Loss: 0.1756, Val Acc: 48.50%, Head: 56.76%, Med: 15.45%, Tail: 0.00%
[adam] Epoch 109/200 - Loss: 0.1650, Val Acc: 46.89%, Head: 55.59%, Med: 12.10%, Tail: 0.00%
[adam] Epoch 110/200 - Loss: 0.1579, Val Acc: 47.14%, Head: 54.90%, Med: 16.10%, Tail: 0.00%
[adam] Epoch 111/200 - Loss: 0.1523, Val Acc: 49.73%, Head: 57.75%, Med: 17.65%, Tail: 0.00%
[adam] Epoch 112/200 - Loss: 0.1465, Val Acc: 48.85%, Head: 57.80%, Med: 13.05%, Tail: 0.00%
[adam] Epoch 113/200 - Loss: 0.1352, Val Acc: 48.35%, Head: 56.69%, Med: 15.00%, Tail: 0.00%
[adam] Epoch 114/200 - Loss: 0.1395, Val Acc: 49.45%, Head: 57.34%, Med: 17.90%, Tail: 0.00%
[adam] Epoch 115/200 - Loss: 0.1369, Val Acc: 49.44%, Head: 57.39%, Med: 17.65%, Tail: 0.00%
[adam] Epoch 116/200 - Loss: 0.1287, Val Acc: 50.31%, Head: 58.62%, Med: 17.05%, Tail: 0.00%
[adam] Epoch 117/200 - Loss: 0.1261, Val Acc: 47.84%, Head: 55.79%, Med: 16.05%, Tail: 0.00%
[adam] Epoch 118/200 - Loss: 0.1238, Val Acc: 47.45%, Head: 56.02%, Med: 13.15%, Tail: 0.00%
[adam] Epoch 119/200 - Loss: 0.1119, Val Acc: 47.83%, Head: 56.94%, Med: 11.40%, Tail: 0.00%
[adam] Epoch 120/200 - Loss: 0.1135, Val Acc: 50.56%, Head: 57.80%, Med: 21.60%, Tail: 0.00%
[adam] Epoch 121/200 - Loss: 0.1146, Val Acc: 49.48%, Head: 56.65%, Med: 20.80%, Tail: 0.00%
[adam] Epoch 122/200 - Loss: 0.1046, Val Acc: 48.54%, Head: 58.26%, Med: 9.65%, Tail: 0.00%
[adam] Epoch 123/200 - Loss: 0.1045, Val Acc: 48.13%, Head: 57.23%, Med: 11.75%, Tail: 0.00%
[adam] Epoch 124/200 - Loss: 0.0944, Val Acc: 49.74%, Head: 58.29%, Med: 15.55%, Tail: 0.00%
[adam] Epoch 125/200 - Loss: 0.0973, Val Acc: 48.24%, Head: 55.96%, Med: 17.35%, Tail: 0.00%
[adam] Epoch 126/200 - Loss: 0.0964, Val Acc: 48.97%, Head: 58.31%, Med: 11.60%, Tail: 0.00%
[adam] Epoch 127/200 - Loss: 0.0951, Val Acc: 48.67%, Head: 57.45%, Med: 13.55%, Tail: 0.00%
[adam] Epoch 128/200 - Loss: 0.0829, Val Acc: 49.84%, Head: 57.96%, Med: 17.35%, Tail: 0.00%
[adam] Epoch 129/200 - Loss: 0.0835, Val Acc: 48.72%, Head: 57.81%, Med: 12.35%, Tail: 0.00%
[adam] Epoch 130/200 - Loss: 0.0832, Val Acc: 49.94%, Head: 58.52%, Med: 15.60%, Tail: 0.00%
[adam] Epoch 131/200 - Loss: 0.0736, Val Acc: 46.83%, Head: 55.73%, Med: 11.25%, Tail: 0.00%
[adam] Epoch 132/200 - Loss: 0.0757, Val Acc: 49.14%, Head: 57.09%, Med: 17.35%, Tail: 0.00%
[adam] Epoch 133/200 - Loss: 0.0744, Val Acc: 49.03%, Head: 57.40%, Med: 15.55%, Tail: 0.00%
[adam] Epoch 134/200 - Loss: 0.0702, Val Acc: 48.92%, Head: 56.85%, Med: 17.20%, Tail: 0.00%
[adam] Epoch 135/200 - Loss: 0.0689, Val Acc: 47.38%, Head: 55.74%, Med: 13.95%, Tail: 0.00%
[adam] Epoch 136/200 - Loss: 0.0675, Val Acc: 48.34%, Head: 57.48%, Med: 11.80%, Tail: 0.00%
[adam] Epoch 137/200 - Loss: 0.0652, Val Acc: 48.34%, Head: 56.80%, Med: 14.50%, Tail: 0.00%
[adam] Epoch 138/200 - Loss: 0.0604, Val Acc: 48.96%, Head: 56.70%, Med: 18.00%, Tail: 0.00%
[adam] Epoch 139/200 - Loss: 0.0568, Val Acc: 47.11%, Head: 55.77%, Med: 12.45%, Tail: 0.00%
[adam] Epoch 140/200 - Loss: 0.0569, Val Acc: 48.72%, Head: 57.30%, Med: 14.40%, Tail: 0.00%
[adam] Epoch 141/200 - Loss: 0.0527, Val Acc: 49.10%, Head: 56.85%, Med: 18.10%, Tail: 0.00%
[adam] Epoch 142/200 - Loss: 0.0487, Val Acc: 47.70%, Head: 57.40%, Med: 8.90%, Tail: 0.00%
