nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run s7knrlz7
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_024022-s7knrlz7
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/s7knrlz7
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 1/200 - Loss: 1.2508, Val Acc: 27.90%, Head: 34.88%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 2/200 - Loss: 1.0111, Val Acc: 27.35%, Head: 34.19%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 3/200 - Loss: 0.9413, Val Acc: 32.40%, Head: 40.50%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 4/200 - Loss: 0.8479, Val Acc: 35.99%, Head: 44.99%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 5/200 - Loss: 0.8139, Val Acc: 34.78%, Head: 43.42%, Med: 0.20%, Tail: 0.00%
[adam] Epoch 6/200 - Loss: 0.7683, Val Acc: 39.14%, Head: 48.92%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 7/200 - Loss: 0.7376, Val Acc: 37.32%, Head: 46.64%, Med: 0.05%, Tail: 0.00%
[adam] Epoch 8/200 - Loss: 0.7119, Val Acc: 41.83%, Head: 52.29%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 9/200 - Loss: 0.6870, Val Acc: 39.13%, Head: 48.91%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 10/200 - Loss: 0.6584, Val Acc: 38.20%, Head: 47.75%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 11/200 - Loss: 0.6303, Val Acc: 42.70%, Head: 53.36%, Med: 0.05%, Tail: 0.00%
[adam] Epoch 12/200 - Loss: 0.6188, Val Acc: 47.37%, Head: 59.21%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 13/200 - Loss: 0.5937, Val Acc: 40.88%, Head: 50.89%, Med: 0.85%, Tail: 0.00%
[adam] Epoch 14/200 - Loss: 0.5771, Val Acc: 45.24%, Head: 56.30%, Med: 1.00%, Tail: 0.00%
[adam] Epoch 15/200 - Loss: 0.5521, Val Acc: 45.98%, Head: 56.51%, Med: 3.85%, Tail: 0.00%
[adam] Epoch 16/200 - Loss: 0.5317, Val Acc: 48.74%, Head: 60.33%, Med: 2.40%, Tail: 0.00%
[adam] Epoch 17/200 - Loss: 0.5212, Val Acc: 44.30%, Head: 54.96%, Med: 1.65%, Tail: 0.00%
[adam] Epoch 18/200 - Loss: 0.5151, Val Acc: 48.51%, Head: 60.17%, Med: 1.85%, Tail: 0.00%
[adam] Epoch 19/200 - Loss: 0.4947, Val Acc: 45.68%, Head: 56.61%, Med: 1.95%, Tail: 0.00%
[adam] Epoch 20/200 - Loss: 0.4805, Val Acc: 49.67%, Head: 59.58%, Med: 10.05%, Tail: 0.00%
[adam] Epoch 21/200 - Loss: 0.4747, Val Acc: 53.22%, Head: 64.36%, Med: 8.65%, Tail: 0.00%
[adam] Epoch 22/200 - Loss: 0.4550, Val Acc: 52.42%, Head: 62.12%, Med: 13.60%, Tail: 0.00%
[adam] Epoch 23/200 - Loss: 0.4540, Val Acc: 50.46%, Head: 60.51%, Med: 10.25%, Tail: 0.00%
[adam] Epoch 24/200 - Loss: 0.4250, Val Acc: 51.79%, Head: 63.59%, Med: 4.60%, Tail: 0.00%
[adam] Epoch 25/200 - Loss: 0.4227, Val Acc: 50.70%, Head: 60.01%, Med: 13.45%, Tail: 0.00%
[adam] Epoch 26/200 - Loss: 0.4162, Val Acc: 54.78%, Head: 63.01%, Med: 21.85%, Tail: 0.00%
[adam] Epoch 27/200 - Loss: 0.4033, Val Acc: 52.15%, Head: 63.19%, Med: 8.00%, Tail: 0.00%
[adam] Epoch 28/200 - Loss: 0.4040, Val Acc: 54.19%, Head: 64.19%, Med: 14.20%, Tail: 0.00%
