nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run do7o152i
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_065752-do7o152i
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer/runs/do7o152i
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 1/200 - Loss: 1.3405, Val Acc: 22.41%, Head: 28.01%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 2/200 - Loss: 1.3505, Val Acc: 17.37%, Head: 21.71%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 3/200 - Loss: 1.2333, Val Acc: 24.53%, Head: 30.66%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 4/200 - Loss: 1.2049, Val Acc: 20.31%, Head: 25.39%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 5/200 - Loss: 1.1853, Val Acc: 26.23%, Head: 32.79%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 6/200 - Loss: 1.2192, Val Acc: 23.40%, Head: 29.25%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 7/200 - Loss: 1.1911, Val Acc: 26.44%, Head: 33.05%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 8/200 - Loss: 1.1569, Val Acc: 21.69%, Head: 27.11%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 9/200 - Loss: 1.1442, Val Acc: 26.93%, Head: 33.66%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 10/200 - Loss: 1.1044, Val Acc: 28.39%, Head: 35.49%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 11/200 - Loss: 1.0899, Val Acc: 24.69%, Head: 30.86%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 12/200 - Loss: 1.1024, Val Acc: 23.69%, Head: 29.61%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 13/200 - Loss: 1.0833, Val Acc: 30.28%, Head: 37.85%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 14/200 - Loss: 1.0595, Val Acc: 23.14%, Head: 28.93%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 15/200 - Loss: 1.0536, Val Acc: 25.68%, Head: 32.10%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 16/200 - Loss: 1.0247, Val Acc: 24.10%, Head: 30.12%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 17/200 - Loss: 1.0178, Val Acc: 27.62%, Head: 34.52%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 18/200 - Loss: 1.0133, Val Acc: 25.55%, Head: 31.94%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 19/200 - Loss: 1.0157, Val Acc: 28.32%, Head: 35.40%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 20/200 - Loss: 1.0000, Val Acc: 25.68%, Head: 32.10%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 21/200 - Loss: 0.9982, Val Acc: 26.33%, Head: 32.91%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 22/200 - Loss: 0.9886, Val Acc: 31.40%, Head: 39.25%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 23/200 - Loss: 0.9865, Val Acc: 29.34%, Head: 36.67%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 24/200 - Loss: 0.9581, Val Acc: 26.81%, Head: 33.51%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 25/200 - Loss: 0.9573, Val Acc: 26.56%, Head: 33.20%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 26/200 - Loss: 0.9395, Val Acc: 30.41%, Head: 38.01%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 27/200 - Loss: 0.9321, Val Acc: 30.36%, Head: 37.95%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 28/200 - Loss: 0.9400, Val Acc: 28.56%, Head: 35.70%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 29/200 - Loss: 0.9368, Val Acc: 29.92%, Head: 37.40%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 30/200 - Loss: 0.9210, Val Acc: 32.13%, Head: 40.16%, Med: 0.00%, Tail: 0.00%
