nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run z2zb5af8
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260910_061727-z2zb5af8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/new-transformer-trinity-optimizer-comparison-200-transformer-small
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/new-transformer-trinity-optimizer-comparison-200-transformer-small/runs/z2zb5af8
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 1/200 - Loss: 1.3933, Val Acc: 19.92%, Head: 24.90%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 2/200 - Loss: 1.2568, Val Acc: 26.03%, Head: 32.54%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 3/200 - Loss: 1.1431, Val Acc: 24.31%, Head: 30.39%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 4/200 - Loss: 1.1068, Val Acc: 23.31%, Head: 29.14%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 5/200 - Loss: 1.1105, Val Acc: 22.35%, Head: 27.94%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 6/200 - Loss: 1.0946, Val Acc: 26.19%, Head: 32.74%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 7/200 - Loss: 1.0635, Val Acc: 23.31%, Head: 29.14%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 8/200 - Loss: 1.0447, Val Acc: 26.69%, Head: 33.36%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 9/200 - Loss: 1.0219, Val Acc: 25.32%, Head: 31.65%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 10/200 - Loss: 1.0056, Val Acc: 25.50%, Head: 31.88%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 11/200 - Loss: 0.9694, Val Acc: 28.44%, Head: 35.55%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 12/200 - Loss: 0.9700, Val Acc: 29.04%, Head: 36.30%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 13/200 - Loss: 0.9555, Val Acc: 29.97%, Head: 37.46%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 14/200 - Loss: 0.9383, Val Acc: 29.88%, Head: 37.35%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 15/200 - Loss: 0.9154, Val Acc: 34.55%, Head: 43.19%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 16/200 - Loss: 0.9007, Val Acc: 30.78%, Head: 38.48%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 17/200 - Loss: 0.8904, Val Acc: 34.04%, Head: 42.55%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 18/200 - Loss: 0.8730, Val Acc: 33.31%, Head: 41.60%, Med: 0.15%, Tail: 0.00%
[adam] Epoch 19/200 - Loss: 0.8599, Val Acc: 32.02%, Head: 40.02%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 20/200 - Loss: 0.8539, Val Acc: 32.55%, Head: 40.66%, Med: 0.10%, Tail: 0.00%
[adam] Epoch 21/200 - Loss: 0.8438, Val Acc: 30.68%, Head: 38.35%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 22/200 - Loss: 0.8338, Val Acc: 30.98%, Head: 38.71%, Med: 0.05%, Tail: 0.00%
[adam] Epoch 23/200 - Loss: 0.8214, Val Acc: 34.82%, Head: 43.42%, Med: 0.40%, Tail: 0.00%
[adam] Epoch 24/200 - Loss: 0.8071, Val Acc: 35.12%, Head: 43.64%, Med: 1.05%, Tail: 0.00%
[adam] Epoch 25/200 - Loss: 0.8044, Val Acc: 32.01%, Head: 40.00%, Med: 0.05%, Tail: 0.00%
[adam] Epoch 26/200 - Loss: 0.7900, Val Acc: 37.20%, Head: 46.39%, Med: 0.45%, Tail: 0.00%
[adam] Epoch 27/200 - Loss: 0.7811, Val Acc: 30.92%, Head: 38.64%, Med: 0.05%, Tail: 0.00%
[adam] Epoch 28/200 - Loss: 0.7667, Val Acc: 37.97%, Head: 46.88%, Med: 2.35%, Tail: 0.00%
[adam] Epoch 29/200 - Loss: 0.7521, Val Acc: 36.60%, Head: 45.51%, Med: 0.95%, Tail: 0.00%
[adam] Epoch 30/200 - Loss: 0.7453, Val Acc: 37.23%, Head: 46.48%, Med: 0.25%, Tail: 0.00%
[adam] Epoch 31/200 - Loss: 0.7304, Val Acc: 39.97%, Head: 49.76%, Med: 0.80%, Tail: 0.00%
[adam] Epoch 32/200 - Loss: 0.7228, Val Acc: 39.74%, Head: 49.36%, Med: 1.25%, Tail: 0.00%
[adam] Epoch 33/200 - Loss: 0.7084, Val Acc: 37.80%, Head: 47.21%, Med: 0.15%, Tail: 0.00%
[adam] Epoch 34/200 - Loss: 0.7059, Val Acc: 42.76%, Head: 52.10%, Med: 5.40%, Tail: 0.00%
[adam] Epoch 35/200 - Loss: 0.6970, Val Acc: 34.84%, Head: 43.44%, Med: 0.45%, Tail: 0.00%
[adam] Epoch 36/200 - Loss: 0.6864, Val Acc: 35.34%, Head: 44.11%, Med: 0.25%, Tail: 0.00%
[adam] Epoch 37/200 - Loss: 0.6800, Val Acc: 41.97%, Head: 51.33%, Med: 4.55%, Tail: 0.00%
[adam] Epoch 38/200 - Loss: 0.6656, Val Acc: 38.75%, Head: 48.15%, Med: 1.15%, Tail: 0.00%
[adam] Epoch 39/200 - Loss: 0.6611, Val Acc: 41.27%, Head: 50.73%, Med: 3.45%, Tail: 0.00%
[adam] Epoch 40/200 - Loss: 0.6615, Val Acc: 41.34%, Head: 51.52%, Med: 0.60%, Tail: 0.00%
[adam] Epoch 41/200 - Loss: 0.6352, Val Acc: 41.23%, Head: 51.21%, Med: 1.30%, Tail: 0.00%
[adam] Epoch 42/200 - Loss: 0.6299, Val Acc: 42.41%, Head: 51.39%, Med: 6.50%, Tail: 0.00%
[adam] Epoch 43/200 - Loss: 0.6212, Val Acc: 40.84%, Head: 50.51%, Med: 2.15%, Tail: 0.00%
[adam] Epoch 44/200 - Loss: 0.6203, Val Acc: 43.18%, Head: 53.89%, Med: 0.35%, Tail: 0.00%
