nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run b367s1ue
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073554-b367s1ue
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/b367s1ue
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 1/200 - Loss: 2.1571, Val Acc: 11.25%, Head: 14.06%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 2/200 - Loss: 1.5781, Val Acc: 21.03%, Head: 26.29%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 3/200 - Loss: 1.2533, Val Acc: 22.98%, Head: 28.73%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 4/200 - Loss: 1.1163, Val Acc: 25.62%, Head: 32.02%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 5/200 - Loss: 1.0520, Val Acc: 25.94%, Head: 32.42%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 6/200 - Loss: 1.0148, Val Acc: 27.78%, Head: 34.73%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 7/200 - Loss: 1.0194, Val Acc: 27.48%, Head: 34.35%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 8/200 - Loss: 0.9625, Val Acc: 24.20%, Head: 30.25%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 9/200 - Loss: 0.8856, Val Acc: 30.53%, Head: 38.16%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 10/200 - Loss: 0.8383, Val Acc: 30.48%, Head: 38.10%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 11/200 - Loss: 0.8132, Val Acc: 22.63%, Head: 28.29%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 12/200 - Loss: 0.7922, Val Acc: 32.71%, Head: 40.89%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 13/200 - Loss: 0.7446, Val Acc: 33.01%, Head: 41.26%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 14/200 - Loss: 0.7319, Val Acc: 31.99%, Head: 39.99%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 15/200 - Loss: 0.7218, Val Acc: 30.82%, Head: 38.52%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 16/200 - Loss: 0.7063, Val Acc: 35.54%, Head: 44.42%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 17/200 - Loss: 0.6865, Val Acc: 39.00%, Head: 48.75%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 18/200 - Loss: 0.6640, Val Acc: 37.88%, Head: 47.35%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 19/200 - Loss: 0.6567, Val Acc: 34.90%, Head: 43.62%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 20/200 - Loss: 0.6444, Val Acc: 10.21%, Head: 12.76%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 21/200 - Loss: 0.6204, Val Acc: 38.75%, Head: 48.44%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 22/200 - Loss: 0.6025, Val Acc: 38.06%, Head: 47.58%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 23/200 - Loss: 0.5957, Val Acc: 42.65%, Head: 53.31%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 24/200 - Loss: 0.5734, Val Acc: 40.28%, Head: 50.35%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 25/200 - Loss: 0.5474, Val Acc: 41.29%, Head: 51.61%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 26/200 - Loss: 0.5432, Val Acc: 41.74%, Head: 52.17%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 27/200 - Loss: 0.5245, Val Acc: 41.43%, Head: 51.79%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 28/200 - Loss: 0.5296, Val Acc: 43.56%, Head: 54.45%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 29/200 - Loss: 0.5080, Val Acc: 44.36%, Head: 55.45%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 30/200 - Loss: 0.4878, Val Acc: 45.84%, Head: 57.30%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 31/200 - Loss: 0.4864, Val Acc: 45.54%, Head: 56.92%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 32/200 - Loss: 0.4811, Val Acc: 44.40%, Head: 55.50%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 33/200 - Loss: 0.4566, Val Acc: 45.54%, Head: 56.88%, Med: 0.20%, Tail: 0.00%
[adam] Epoch 34/200 - Loss: 0.4392, Val Acc: 45.59%, Head: 56.77%, Med: 0.85%, Tail: 0.00%
[adam] Epoch 35/200 - Loss: 0.4306, Val Acc: 45.97%, Head: 57.42%, Med: 0.15%, Tail: 0.00%
[adam] Epoch 36/200 - Loss: 0.4169, Val Acc: 48.09%, Head: 59.16%, Med: 3.80%, Tail: 0.00%
[adam] Epoch 37/200 - Loss: 0.4118, Val Acc: 47.99%, Head: 59.14%, Med: 3.40%, Tail: 0.00%
[adam] Epoch 38/200 - Loss: 0.4043, Val Acc: 49.33%, Head: 60.23%, Med: 5.75%, Tail: 0.00%
[adam] Epoch 39/200 - Loss: 0.3815, Val Acc: 44.21%, Head: 54.66%, Med: 2.40%, Tail: 0.00%
[adam] Epoch 40/200 - Loss: 0.3759, Val Acc: 49.98%, Head: 61.11%, Med: 5.45%, Tail: 0.00%
[adam] Epoch 41/200 - Loss: 0.3662, Val Acc: 51.30%, Head: 60.90%, Med: 12.90%, Tail: 0.00%
[adam] Epoch 42/200 - Loss: 0.3461, Val Acc: 50.47%, Head: 61.08%, Med: 8.05%, Tail: 0.00%
[adam] Epoch 43/200 - Loss: 0.3372, Val Acc: 50.20%, Head: 59.38%, Med: 13.50%, Tail: 0.00%
[adam] Epoch 44/200 - Loss: 0.3382, Val Acc: 52.81%, Head: 63.09%, Med: 11.70%, Tail: 0.00%
[adam] Epoch 45/200 - Loss: 0.3158, Val Acc: 55.18%, Head: 64.26%, Med: 18.85%, Tail: 0.00%
[adam] Epoch 46/200 - Loss: 0.3126, Val Acc: 51.82%, Head: 63.60%, Med: 4.70%, Tail: 0.00%
[adam] Epoch 47/200 - Loss: 0.3046, Val Acc: 49.88%, Head: 59.46%, Med: 11.55%, Tail: 0.00%
[adam] Epoch 48/200 - Loss: 0.3014, Val Acc: 48.70%, Head: 58.83%, Med: 8.20%, Tail: 0.00%
[adam] Epoch 49/200 - Loss: 0.2892, Val Acc: 52.81%, Head: 62.98%, Med: 12.15%, Tail: 0.00%
