nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run az7n5eqw
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_025622-az7n5eqw
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rmsprop
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/az7n5eqw
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[rmsprop] Epoch 1/200 - Loss: 1.4630, Val Acc: 21.04%, Head: 26.30%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 2/200 - Loss: 1.1042, Val Acc: 24.04%, Head: 30.05%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 3/200 - Loss: 1.0022, Val Acc: 28.27%, Head: 35.34%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 4/200 - Loss: 0.9337, Val Acc: 28.22%, Head: 35.27%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 5/200 - Loss: 0.8981, Val Acc: 28.80%, Head: 36.00%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 6/200 - Loss: 0.8456, Val Acc: 32.66%, Head: 40.83%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 7/200 - Loss: 0.8046, Val Acc: 35.34%, Head: 44.17%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 8/200 - Loss: 0.7671, Val Acc: 32.77%, Head: 40.96%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 9/200 - Loss: 0.7324, Val Acc: 38.34%, Head: 47.92%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 10/200 - Loss: 0.7207, Val Acc: 38.46%, Head: 48.08%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 11/200 - Loss: 0.6839, Val Acc: 40.46%, Head: 50.58%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 12/200 - Loss: 0.6564, Val Acc: 43.11%, Head: 53.89%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 13/200 - Loss: 0.6316, Val Acc: 45.33%, Head: 56.66%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 14/200 - Loss: 0.6146, Val Acc: 45.76%, Head: 57.20%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 15/200 - Loss: 0.6038, Val Acc: 39.79%, Head: 49.74%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 16/200 - Loss: 0.5780, Val Acc: 44.32%, Head: 55.40%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 17/200 - Loss: 0.5622, Val Acc: 43.54%, Head: 54.35%, Med: 0.30%, Tail: 0.00%
[rmsprop] Epoch 18/200 - Loss: 0.5525, Val Acc: 45.93%, Head: 57.36%, Med: 0.20%, Tail: 0.00%
[rmsprop] Epoch 19/200 - Loss: 0.5344, Val Acc: 49.44%, Head: 61.60%, Med: 0.80%, Tail: 0.00%
[rmsprop] Epoch 20/200 - Loss: 0.5205, Val Acc: 46.13%, Head: 57.62%, Med: 0.15%, Tail: 0.00%
[rmsprop] Epoch 21/200 - Loss: 0.5096, Val Acc: 48.98%, Head: 60.64%, Med: 2.35%, Tail: 0.00%
[rmsprop] Epoch 22/200 - Loss: 0.4972, Val Acc: 45.86%, Head: 55.52%, Med: 7.20%, Tail: 0.00%
[rmsprop] Epoch 23/200 - Loss: 0.4874, Val Acc: 49.14%, Head: 59.52%, Med: 7.60%, Tail: 0.00%
[rmsprop] Epoch 24/200 - Loss: 0.4775, Val Acc: 48.74%, Head: 58.86%, Med: 8.25%, Tail: 0.00%
[rmsprop] Epoch 25/200 - Loss: 0.4611, Val Acc: 48.96%, Head: 59.34%, Med: 7.45%, Tail: 0.00%
[rmsprop] Epoch 26/200 - Loss: 0.4555, Val Acc: 51.39%, Head: 60.71%, Med: 14.10%, Tail: 0.00%
[rmsprop] Epoch 27/200 - Loss: 0.4398, Val Acc: 52.52%, Head: 64.38%, Med: 5.10%, Tail: 0.00%
[rmsprop] Epoch 28/200 - Loss: 0.4315, Val Acc: 53.27%, Head: 64.80%, Med: 7.15%, Tail: 0.00%
[rmsprop] Epoch 29/200 - Loss: 0.4202, Val Acc: 48.00%, Head: 57.89%, Med: 8.45%, Tail: 0.00%
[rmsprop] Epoch 30/200 - Loss: 0.4099, Val Acc: 53.71%, Head: 63.88%, Med: 13.05%, Tail: 0.00%
[rmsprop] Epoch 31/200 - Loss: 0.4018, Val Acc: 52.88%, Head: 63.62%, Med: 9.90%, Tail: 0.00%
[rmsprop] Epoch 32/200 - Loss: 0.3925, Val Acc: 55.08%, Head: 63.95%, Med: 19.60%, Tail: 0.00%
[rmsprop] Epoch 33/200 - Loss: 0.3867, Val Acc: 51.88%, Head: 61.41%, Med: 13.75%, Tail: 0.00%
[rmsprop] Epoch 34/200 - Loss: 0.3641, Val Acc: 53.26%, Head: 63.59%, Med: 11.95%, Tail: 0.00%
[rmsprop] Epoch 35/200 - Loss: 0.3693, Val Acc: 52.62%, Head: 61.41%, Med: 17.45%, Tail: 0.00%
[rmsprop] Epoch 36/200 - Loss: 0.3544, Val Acc: 52.15%, Head: 61.96%, Med: 12.90%, Tail: 0.00%
[rmsprop] Epoch 37/200 - Loss: 0.3459, Val Acc: 51.59%, Head: 60.39%, Med: 16.40%, Tail: 0.00%
[rmsprop] Epoch 38/200 - Loss: 0.3429, Val Acc: 57.07%, Head: 66.65%, Med: 18.75%, Tail: 0.00%
[rmsprop] Epoch 39/200 - Loss: 0.3332, Val Acc: 55.13%, Head: 65.19%, Med: 14.90%, Tail: 0.00%
[rmsprop] Epoch 40/200 - Loss: 0.3338, Val Acc: 54.27%, Head: 64.50%, Med: 13.35%, Tail: 0.00%
[rmsprop] Epoch 41/200 - Loss: 0.3251, Val Acc: 55.28%, Head: 65.65%, Med: 13.80%, Tail: 0.00%
[rmsprop] Epoch 42/200 - Loss: 0.3125, Val Acc: 57.94%, Head: 64.60%, Med: 31.30%, Tail: 0.00%
[rmsprop] Epoch 43/200 - Loss: 0.3065, Val Acc: 53.27%, Head: 62.45%, Med: 16.55%, Tail: 0.00%
[rmsprop] Epoch 44/200 - Loss: 0.2898, Val Acc: 57.64%, Head: 66.38%, Med: 22.70%, Tail: 0.00%
[rmsprop] Epoch 45/200 - Loss: 0.2918, Val Acc: 57.44%, Head: 66.76%, Med: 20.15%, Tail: 0.00%
[rmsprop] Epoch 46/200 - Loss: 0.2884, Val Acc: 56.24%, Head: 64.79%, Med: 22.05%, Tail: 0.00%
[rmsprop] Epoch 47/200 - Loss: 0.2821, Val Acc: 55.10%, Head: 64.10%, Med: 19.10%, Tail: 0.00%
[rmsprop] Epoch 48/200 - Loss: 0.2762, Val Acc: 57.12%, Head: 66.95%, Med: 17.80%, Tail: 0.00%
[rmsprop] Epoch 49/200 - Loss: 0.2639, Val Acc: 56.53%, Head: 64.45%, Med: 24.85%, Tail: 0.00%
[rmsprop] Epoch 50/200 - Loss: 0.2602, Val Acc: 60.11%, Head: 67.66%, Med: 29.90%, Tail: 0.00%
[rmsprop] Epoch 51/200 - Loss: 0.2506, Val Acc: 58.51%, Head: 66.97%, Med: 24.65%, Tail: 0.00%
[rmsprop] Epoch 52/200 - Loss: 0.2479, Val Acc: 57.80%, Head: 65.97%, Med: 25.10%, Tail: 0.00%
[rmsprop] Epoch 53/200 - Loss: 0.2402, Val Acc: 55.80%, Head: 66.61%, Med: 12.55%, Tail: 0.00%
[rmsprop] Epoch 54/200 - Loss: 0.2368, Val Acc: 56.40%, Head: 65.60%, Med: 19.60%, Tail: 0.00%
[rmsprop] Epoch 55/200 - Loss: 0.2320, Val Acc: 55.04%, Head: 63.31%, Med: 21.95%, Tail: 0.00%
[rmsprop] Epoch 56/200 - Loss: 0.2247, Val Acc: 57.27%, Head: 64.84%, Med: 27.00%, Tail: 0.00%
[rmsprop] Epoch 57/200 - Loss: 0.2255, Val Acc: 57.64%, Head: 66.38%, Med: 22.70%, Tail: 0.00%
[rmsprop] Epoch 58/200 - Loss: 0.2164, Val Acc: 56.02%, Head: 63.65%, Med: 25.50%, Tail: 0.00%
[rmsprop] Epoch 59/200 - Loss: 0.2064, Val Acc: 56.14%, Head: 63.92%, Med: 25.00%, Tail: 0.00%
[rmsprop] Epoch 60/200 - Loss: 0.2156, Val Acc: 57.45%, Head: 66.81%, Med: 20.00%, Tail: 0.00%
[rmsprop] Epoch 61/200 - Loss: 0.2065, Val Acc: 54.99%, Head: 64.40%, Med: 17.35%, Tail: 0.00%
[rmsprop] Epoch 62/200 - Loss: 0.2017, Val Acc: 56.53%, Head: 63.38%, Med: 29.15%, Tail: 0.00%
