nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run rny4vg69
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_065856-rny4vg69
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rmsprop
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer/runs/rny4vg69
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[rmsprop] Epoch 1/200 - Loss: 1.4361, Val Acc: 22.26%, Head: 27.82%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 2/200 - Loss: 1.7351, Val Acc: 16.09%, Head: 20.11%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 3/200 - Loss: 1.6152, Val Acc: 13.69%, Head: 17.11%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 4/200 - Loss: 1.5367, Val Acc: 21.26%, Head: 26.57%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 5/200 - Loss: 1.4825, Val Acc: 17.57%, Head: 21.96%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 6/200 - Loss: 1.4127, Val Acc: 18.70%, Head: 23.38%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 7/200 - Loss: 1.3768, Val Acc: 25.03%, Head: 31.29%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 8/200 - Loss: 1.3385, Val Acc: 18.62%, Head: 23.27%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 9/200 - Loss: 1.3123, Val Acc: 21.49%, Head: 26.86%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 10/200 - Loss: 1.2897, Val Acc: 23.11%, Head: 28.89%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 11/200 - Loss: 1.2630, Val Acc: 20.86%, Head: 26.07%, Med: 0.00%, Tail: 0.00%
