nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run lb4uocno
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260910_064025-lb4uocno
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rmsprop
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/new-transformer-trinity-optimizer-comparison-200-transformer-small
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/new-transformer-trinity-optimizer-comparison-200-transformer-small/runs/lb4uocno
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[rmsprop] Epoch 1/200 - Loss: 1.3414, Val Acc: 21.59%, Head: 26.99%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 2/200 - Loss: 1.4901, Val Acc: 19.23%, Head: 24.04%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 3/200 - Loss: 1.3432, Val Acc: 18.03%, Head: 22.54%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 4/200 - Loss: 1.3233, Val Acc: 23.20%, Head: 29.00%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 5/200 - Loss: 1.3045, Val Acc: 17.13%, Head: 21.41%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 6/200 - Loss: 1.3169, Val Acc: 17.17%, Head: 21.46%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 7/200 - Loss: 1.2446, Val Acc: 24.77%, Head: 30.96%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 8/200 - Loss: 1.1945, Val Acc: 25.79%, Head: 32.24%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 9/200 - Loss: 1.1724, Val Acc: 25.62%, Head: 32.02%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 10/200 - Loss: 1.1397, Val Acc: 27.12%, Head: 33.90%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 11/200 - Loss: 1.1120, Val Acc: 26.35%, Head: 32.92%, Med: 0.05%, Tail: 0.00%
[rmsprop] Epoch 12/200 - Loss: 1.0923, Val Acc: 25.19%, Head: 31.49%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 13/200 - Loss: 1.0628, Val Acc: 27.10%, Head: 33.88%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 14/200 - Loss: 1.0488, Val Acc: 25.56%, Head: 31.95%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 15/200 - Loss: 1.0317, Val Acc: 26.10%, Head: 32.62%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 16/200 - Loss: 1.0134, Val Acc: 30.41%, Head: 38.01%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 17/200 - Loss: 0.9971, Val Acc: 24.39%, Head: 30.49%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 18/200 - Loss: 0.9844, Val Acc: 27.67%, Head: 34.59%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 19/200 - Loss: 0.9698, Val Acc: 30.58%, Head: 38.23%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 20/200 - Loss: 0.9590, Val Acc: 26.39%, Head: 32.99%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 21/200 - Loss: 0.9475, Val Acc: 30.68%, Head: 38.35%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 22/200 - Loss: 0.9413, Val Acc: 30.83%, Head: 38.54%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 23/200 - Loss: 0.9372, Val Acc: 26.79%, Head: 33.49%, Med: 0.00%, Tail: 0.00%
