nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run jz1a10si
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073641-jz1a10si
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run rmsprop
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/jz1a10si
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[rmsprop] Epoch 1/200 - Loss: 1.8323, Val Acc: 11.03%, Head: 13.79%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 2/200 - Loss: 1.6473, Val Acc: 22.13%, Head: 27.66%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 3/200 - Loss: 1.5029, Val Acc: 21.84%, Head: 27.30%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 4/200 - Loss: 1.3269, Val Acc: 20.80%, Head: 26.00%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 5/200 - Loss: 1.4376, Val Acc: 23.49%, Head: 29.36%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 6/200 - Loss: 1.3669, Val Acc: 17.17%, Head: 21.46%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 7/200 - Loss: 1.2055, Val Acc: 24.14%, Head: 30.18%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 8/200 - Loss: 1.1061, Val Acc: 22.82%, Head: 28.52%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 9/200 - Loss: 1.0676, Val Acc: 26.00%, Head: 32.50%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 10/200 - Loss: 0.9566, Val Acc: 27.79%, Head: 34.74%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 11/200 - Loss: 0.9357, Val Acc: 29.42%, Head: 36.77%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 12/200 - Loss: 0.9001, Val Acc: 28.58%, Head: 35.73%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 13/200 - Loss: 0.8816, Val Acc: 29.16%, Head: 36.45%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 14/200 - Loss: 0.8405, Val Acc: 29.71%, Head: 37.14%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 15/200 - Loss: 0.8142, Val Acc: 33.15%, Head: 41.44%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 16/200 - Loss: 0.7923, Val Acc: 32.38%, Head: 40.48%, Med: 0.00%, Tail: 0.00%
[rmsprop] Epoch 17/200 - Loss: 0.7460, Val Acc: 35.80%, Head: 44.75%, Med: 0.00%, Tail: 0.00%
