nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 0oyw2ly1
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_024807-0oyw2ly1
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run sgd
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/0oyw2ly1
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[sgd] Epoch 1/200 - Loss: 1.3553, Val Acc: 23.13%, Head: 28.91%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 2/200 - Loss: 1.1141, Val Acc: 26.44%, Head: 33.05%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 3/200 - Loss: 0.9840, Val Acc: 29.99%, Head: 37.49%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 4/200 - Loss: 0.9091, Val Acc: 31.71%, Head: 39.64%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 5/200 - Loss: 0.8453, Val Acc: 35.92%, Head: 44.90%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 6/200 - Loss: 0.8010, Val Acc: 36.07%, Head: 45.09%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 7/200 - Loss: 0.7562, Val Acc: 35.91%, Head: 44.89%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 8/200 - Loss: 0.7240, Val Acc: 40.69%, Head: 50.86%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 9/200 - Loss: 0.6900, Val Acc: 42.97%, Head: 53.71%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 10/200 - Loss: 0.6760, Val Acc: 36.51%, Head: 45.64%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 11/200 - Loss: 0.6472, Val Acc: 40.24%, Head: 50.30%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 12/200 - Loss: 0.6244, Val Acc: 44.68%, Head: 55.38%, Med: 1.90%, Tail: 0.00%
[sgd] Epoch 13/200 - Loss: 0.6101, Val Acc: 43.77%, Head: 54.65%, Med: 0.25%, Tail: 0.00%
[sgd] Epoch 14/200 - Loss: 0.5821, Val Acc: 43.14%, Head: 53.74%, Med: 0.75%, Tail: 0.00%
[sgd] Epoch 15/200 - Loss: 0.5781, Val Acc: 49.47%, Head: 60.27%, Med: 6.25%, Tail: 0.00%
[sgd] Epoch 16/200 - Loss: 0.5601, Val Acc: 45.62%, Head: 56.31%, Med: 2.85%, Tail: 0.00%
[sgd] Epoch 17/200 - Loss: 0.5425, Val Acc: 47.78%, Head: 59.00%, Med: 2.90%, Tail: 0.00%
[sgd] Epoch 18/200 - Loss: 0.5311, Val Acc: 47.75%, Head: 58.98%, Med: 2.85%, Tail: 0.00%
