nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run rnsy9as3
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_065826-rnsy9as3
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run sgd
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer/runs/rnsy9as3
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[sgd] Epoch 1/200 - Loss: 1.4924, Val Acc: 20.15%, Head: 25.19%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 2/200 - Loss: 1.2844, Val Acc: 22.55%, Head: 28.19%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 3/200 - Loss: 1.2556, Val Acc: 20.69%, Head: 25.86%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 4/200 - Loss: 1.2501, Val Acc: 25.81%, Head: 32.26%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 5/200 - Loss: 1.2341, Val Acc: 21.90%, Head: 27.38%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 6/200 - Loss: 1.2353, Val Acc: 23.75%, Head: 29.69%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 7/200 - Loss: 1.1595, Val Acc: 26.87%, Head: 33.59%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 8/200 - Loss: 1.0712, Val Acc: 25.60%, Head: 32.00%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 9/200 - Loss: 1.0346, Val Acc: 27.41%, Head: 34.26%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 10/200 - Loss: 1.0133, Val Acc: 26.56%, Head: 33.20%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 11/200 - Loss: 1.0000, Val Acc: 28.99%, Head: 36.24%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 12/200 - Loss: 0.9740, Val Acc: 29.31%, Head: 36.64%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 13/200 - Loss: 0.9557, Val Acc: 28.81%, Head: 36.01%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 14/200 - Loss: 0.9431, Val Acc: 28.67%, Head: 35.84%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 15/200 - Loss: 0.9365, Val Acc: 29.24%, Head: 36.55%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 16/200 - Loss: 0.9183, Val Acc: 31.40%, Head: 39.25%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 17/200 - Loss: 0.9143, Val Acc: 31.28%, Head: 39.10%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 18/200 - Loss: 0.9023, Val Acc: 33.56%, Head: 41.75%, Med: 0.80%, Tail: 0.00%
[sgd] Epoch 19/200 - Loss: 0.8829, Val Acc: 33.48%, Head: 41.85%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 20/200 - Loss: 0.8736, Val Acc: 33.11%, Head: 41.38%, Med: 0.05%, Tail: 0.00%
[sgd] Epoch 21/200 - Loss: 0.8625, Val Acc: 29.10%, Head: 36.38%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 22/200 - Loss: 0.8554, Val Acc: 34.07%, Head: 42.52%, Med: 0.25%, Tail: 0.00%
[sgd] Epoch 23/200 - Loss: 0.8443, Val Acc: 34.61%, Head: 43.26%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 24/200 - Loss: 0.8463, Val Acc: 32.66%, Head: 40.83%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 25/200 - Loss: 0.8392, Val Acc: 35.94%, Head: 44.79%, Med: 0.55%, Tail: 0.00%
[sgd] Epoch 26/200 - Loss: 0.8287, Val Acc: 31.59%, Head: 39.41%, Med: 0.30%, Tail: 0.00%
[sgd] Epoch 27/200 - Loss: 0.8243, Val Acc: 31.37%, Head: 39.17%, Med: 0.15%, Tail: 0.00%
[sgd] Epoch 28/200 - Loss: 0.8197, Val Acc: 34.13%, Head: 42.66%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 29/200 - Loss: 0.8240, Val Acc: 32.29%, Head: 40.34%, Med: 0.10%, Tail: 0.00%
[sgd] Epoch 30/200 - Loss: 0.8078, Val Acc: 35.01%, Head: 43.76%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 31/200 - Loss: 0.8030, Val Acc: 36.49%, Head: 45.60%, Med: 0.05%, Tail: 0.00%
[sgd] Epoch 32/200 - Loss: 0.7979, Val Acc: 35.09%, Head: 43.86%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 33/200 - Loss: 0.7971, Val Acc: 34.76%, Head: 43.14%, Med: 1.25%, Tail: 0.00%
[sgd] Epoch 34/200 - Loss: 0.7850, Val Acc: 36.98%, Head: 46.23%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 35/200 - Loss: 0.7919, Val Acc: 33.87%, Head: 42.26%, Med: 0.30%, Tail: 0.00%
[sgd] Epoch 36/200 - Loss: 0.7864, Val Acc: 35.45%, Head: 44.30%, Med: 0.05%, Tail: 0.00%
[sgd] Epoch 37/200 - Loss: 0.7818, Val Acc: 37.32%, Head: 46.62%, Med: 0.10%, Tail: 0.00%
[sgd] Epoch 38/200 - Loss: 0.7781, Val Acc: 33.66%, Head: 42.08%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 39/200 - Loss: 0.7767, Val Acc: 35.11%, Head: 43.89%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 40/200 - Loss: 0.7660, Val Acc: 36.23%, Head: 45.17%, Med: 0.45%, Tail: 0.00%
[sgd] Epoch 41/200 - Loss: 0.7671, Val Acc: 37.73%, Head: 47.16%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 42/200 - Loss: 0.7650, Val Acc: 38.56%, Head: 48.10%, Med: 0.40%, Tail: 0.00%
[sgd] Epoch 43/200 - Loss: 0.7615, Val Acc: 34.79%, Head: 43.46%, Med: 0.10%, Tail: 0.00%
[sgd] Epoch 44/200 - Loss: 0.7620, Val Acc: 39.43%, Head: 48.81%, Med: 1.90%, Tail: 0.00%
[sgd] Epoch 45/200 - Loss: 0.7607, Val Acc: 41.82%, Head: 52.09%, Med: 0.75%, Tail: 0.00%
[sgd] Epoch 46/200 - Loss: 0.7566, Val Acc: 38.48%, Head: 48.10%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 47/200 - Loss: 0.7510, Val Acc: 38.44%, Head: 47.73%, Med: 1.30%, Tail: 0.00%
[sgd] Epoch 48/200 - Loss: 0.7530, Val Acc: 38.22%, Head: 47.77%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 49/200 - Loss: 0.7436, Val Acc: 36.59%, Head: 45.52%, Med: 0.85%, Tail: 0.00%
[sgd] Epoch 50/200 - Loss: 0.7501, Val Acc: 37.42%, Head: 46.31%, Med: 1.85%, Tail: 0.00%
[sgd] Epoch 51/200 - Loss: 0.7424, Val Acc: 36.53%, Head: 45.65%, Med: 0.05%, Tail: 0.00%
[sgd] Epoch 52/200 - Loss: 0.7430, Val Acc: 36.33%, Head: 45.41%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 53/200 - Loss: 0.7369, Val Acc: 35.67%, Head: 44.40%, Med: 0.75%, Tail: 0.00%
[sgd] Epoch 54/200 - Loss: 0.7374, Val Acc: 40.17%, Head: 50.02%, Med: 0.75%, Tail: 0.00%
[sgd] Epoch 55/200 - Loss: 0.7345, Val Acc: 40.75%, Head: 50.77%, Med: 0.65%, Tail: 0.00%
[sgd] Epoch 56/200 - Loss: 0.7259, Val Acc: 38.62%, Head: 48.11%, Med: 0.65%, Tail: 0.00%
[sgd] Epoch 57/200 - Loss: 0.7393, Val Acc: 36.53%, Head: 45.42%, Med: 0.95%, Tail: 0.00%
[sgd] Epoch 58/200 - Loss: 0.7252, Val Acc: 40.50%, Head: 50.23%, Med: 1.60%, Tail: 0.00%
[sgd] Epoch 59/200 - Loss: 0.7195, Val Acc: 35.54%, Head: 44.40%, Med: 0.10%, Tail: 0.00%
[sgd] Epoch 60/200 - Loss: 0.7335, Val Acc: 38.38%, Head: 47.59%, Med: 1.55%, Tail: 0.00%
[sgd] Epoch 61/200 - Loss: 0.7244, Val Acc: 36.20%, Head: 45.20%, Med: 0.20%, Tail: 0.00%
[sgd] Epoch 62/200 - Loss: 0.7166, Val Acc: 36.92%, Head: 45.95%, Med: 0.80%, Tail: 0.00%
[sgd] Epoch 63/200 - Loss: 0.7193, Val Acc: 36.04%, Head: 44.71%, Med: 1.35%, Tail: 0.00%
[sgd] Epoch 64/200 - Loss: 0.7160, Val Acc: 35.70%, Head: 43.84%, Med: 3.15%, Tail: 0.00%
[sgd] Epoch 65/200 - Loss: 0.7088, Val Acc: 41.97%, Head: 52.33%, Med: 0.55%, Tail: 0.00%
