nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run s1yxxek6
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260910_062918-s1yxxek6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run sgd
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/new-transformer-trinity-optimizer-comparison-200-transformer-small
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/new-transformer-trinity-optimizer-comparison-200-transformer-small/runs/s1yxxek6
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[sgd] Epoch 1/200 - Loss: 1.5399, Val Acc: 18.35%, Head: 22.94%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 2/200 - Loss: 1.2514, Val Acc: 22.80%, Head: 28.50%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 3/200 - Loss: 1.2107, Val Acc: 18.00%, Head: 22.50%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 4/200 - Loss: 1.1658, Val Acc: 25.54%, Head: 31.93%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 5/200 - Loss: 1.1554, Val Acc: 19.23%, Head: 24.04%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 6/200 - Loss: 1.1434, Val Acc: 26.68%, Head: 33.35%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 7/200 - Loss: 1.0802, Val Acc: 27.32%, Head: 34.15%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 8/200 - Loss: 1.0446, Val Acc: 29.34%, Head: 36.67%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 9/200 - Loss: 1.0021, Val Acc: 25.74%, Head: 32.17%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 10/200 - Loss: 0.9887, Val Acc: 27.75%, Head: 34.69%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 11/200 - Loss: 0.9602, Val Acc: 28.06%, Head: 35.08%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 12/200 - Loss: 0.9479, Val Acc: 29.05%, Head: 36.31%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 13/200 - Loss: 0.9302, Val Acc: 28.88%, Head: 36.10%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 14/200 - Loss: 0.9160, Val Acc: 31.57%, Head: 39.46%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 15/200 - Loss: 0.9057, Val Acc: 29.50%, Head: 36.88%, Med: 0.00%, Tail: 0.00%
