nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run y045cj97
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073615-y045cj97
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run sgd
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/y045cj97
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[sgd] Epoch 1/200 - Loss: 2.8216, Val Acc: 9.52%, Head: 10.71%, Med: 4.75%, Tail: 0.00%
[sgd] Epoch 2/200 - Loss: 1.8773, Val Acc: 9.91%, Head: 12.39%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 3/200 - Loss: 1.7503, Val Acc: 10.26%, Head: 12.82%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 4/200 - Loss: 1.7025, Val Acc: 11.89%, Head: 14.86%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 5/200 - Loss: 1.6075, Val Acc: 17.74%, Head: 22.18%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 6/200 - Loss: 1.5716, Val Acc: 15.74%, Head: 19.68%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 7/200 - Loss: 1.3228, Val Acc: 25.02%, Head: 31.27%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 8/200 - Loss: 1.2917, Val Acc: 24.68%, Head: 30.85%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 9/200 - Loss: 1.1754, Val Acc: 24.71%, Head: 30.89%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 10/200 - Loss: 1.0701, Val Acc: 28.80%, Head: 36.00%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 11/200 - Loss: 1.0501, Val Acc: 30.28%, Head: 37.85%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 12/200 - Loss: 1.0060, Val Acc: 28.54%, Head: 35.67%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 13/200 - Loss: 0.9029, Val Acc: 33.27%, Head: 41.59%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 14/200 - Loss: 0.8412, Val Acc: 33.37%, Head: 41.71%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 15/200 - Loss: 0.7914, Val Acc: 35.30%, Head: 44.12%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 16/200 - Loss: 0.7202, Val Acc: 35.40%, Head: 44.25%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 17/200 - Loss: 0.7135, Val Acc: 39.83%, Head: 49.79%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 18/200 - Loss: 0.6754, Val Acc: 40.22%, Head: 50.27%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 19/200 - Loss: 0.6526, Val Acc: 39.59%, Head: 49.49%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 20/200 - Loss: 0.6265, Val Acc: 44.56%, Head: 55.70%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 21/200 - Loss: 0.6120, Val Acc: 43.60%, Head: 54.50%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 22/200 - Loss: 0.5938, Val Acc: 43.73%, Head: 54.66%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 23/200 - Loss: 0.5975, Val Acc: 41.18%, Head: 51.44%, Med: 0.15%, Tail: 0.00%
[sgd] Epoch 24/200 - Loss: 0.5880, Val Acc: 44.90%, Head: 56.12%, Med: 0.00%, Tail: 0.00%
[sgd] Epoch 25/200 - Loss: 0.5561, Val Acc: 46.08%, Head: 57.38%, Med: 0.90%, Tail: 0.00%
[sgd] Epoch 26/200 - Loss: 0.5509, Val Acc: 44.54%, Head: 54.48%, Med: 4.80%, Tail: 0.00%
[sgd] Epoch 27/200 - Loss: 0.5480, Val Acc: 44.50%, Head: 55.16%, Med: 1.85%, Tail: 0.00%
[sgd] Epoch 28/200 - Loss: 0.5269, Val Acc: 48.44%, Head: 60.49%, Med: 0.25%, Tail: 0.00%
[sgd] Epoch 29/200 - Loss: 0.5196, Val Acc: 48.36%, Head: 60.44%, Med: 0.05%, Tail: 0.00%
[sgd] Epoch 30/200 - Loss: 0.5394, Val Acc: 49.08%, Head: 60.23%, Med: 4.50%, Tail: 0.00%
[sgd] Epoch 31/200 - Loss: 0.4848, Val Acc: 45.52%, Head: 54.96%, Med: 7.75%, Tail: 0.00%
[sgd] Epoch 32/200 - Loss: 0.4924, Val Acc: 48.68%, Head: 59.46%, Med: 5.55%, Tail: 0.00%
[sgd] Epoch 33/200 - Loss: 0.4802, Val Acc: 45.59%, Head: 56.44%, Med: 2.20%, Tail: 0.00%
[sgd] Epoch 34/200 - Loss: 0.4783, Val Acc: 43.22%, Head: 53.96%, Med: 0.25%, Tail: 0.00%
[sgd] Epoch 35/200 - Loss: 0.4673, Val Acc: 48.18%, Head: 57.48%, Med: 11.00%, Tail: 0.00%
[sgd] Epoch 36/200 - Loss: 0.4555, Val Acc: 49.04%, Head: 59.39%, Med: 7.65%, Tail: 0.00%
[sgd] Epoch 37/200 - Loss: 0.4559, Val Acc: 44.14%, Head: 53.91%, Med: 5.05%, Tail: 0.00%
[sgd] Epoch 38/200 - Loss: 0.4410, Val Acc: 51.68%, Head: 62.58%, Med: 8.10%, Tail: 0.00%
[sgd] Epoch 39/200 - Loss: 0.4279, Val Acc: 48.89%, Head: 59.79%, Med: 5.30%, Tail: 0.00%
[sgd] Epoch 40/200 - Loss: 0.4319, Val Acc: 54.55%, Head: 64.16%, Med: 16.10%, Tail: 0.00%
[sgd] Epoch 41/200 - Loss: 0.4168, Val Acc: 48.74%, Head: 59.21%, Med: 6.85%, Tail: 0.00%
[sgd] Epoch 42/200 - Loss: 0.4180, Val Acc: 51.47%, Head: 61.29%, Med: 12.20%, Tail: 0.00%
[sgd] Epoch 43/200 - Loss: 0.4140, Val Acc: 54.23%, Head: 64.41%, Med: 13.50%, Tail: 0.00%
[sgd] Epoch 44/200 - Loss: 0.4132, Val Acc: 48.94%, Head: 59.34%, Med: 7.35%, Tail: 0.00%
[sgd] Epoch 45/200 - Loss: 0.4027, Val Acc: 51.17%, Head: 59.39%, Med: 18.30%, Tail: 0.00%
[sgd] Epoch 46/200 - Loss: 0.4084, Val Acc: 55.84%, Head: 64.14%, Med: 22.65%, Tail: 0.00%
[sgd] Epoch 47/200 - Loss: 0.3963, Val Acc: 58.60%, Head: 64.91%, Med: 33.35%, Tail: 0.00%
[sgd] Epoch 48/200 - Loss: 0.3959, Val Acc: 54.24%, Head: 64.11%, Med: 14.75%, Tail: 0.00%
[sgd] Epoch 49/200 - Loss: 0.3961, Val Acc: 53.79%, Head: 64.88%, Med: 9.45%, Tail: 0.00%
[sgd] Epoch 50/200 - Loss: 0.3873, Val Acc: 53.21%, Head: 62.27%, Med: 16.95%, Tail: 0.00%
[sgd] Epoch 51/200 - Loss: 0.3860, Val Acc: 50.30%, Head: 60.73%, Med: 8.60%, Tail: 0.00%
[sgd] Epoch 52/200 - Loss: 0.3662, Val Acc: 53.65%, Head: 64.09%, Med: 11.90%, Tail: 0.00%
[sgd] Epoch 53/200 - Loss: 0.3785, Val Acc: 53.47%, Head: 63.17%, Med: 14.65%, Tail: 0.00%
