nohup: ignoring input
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
/home/gauranshi/miniconda3/lib/python3.12/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/gauranshi/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run k45kwifk
wandb: Tracking run with wandb version 0.28.2
wandb: Run data is saved locally in /home/gauranshi/Trinity-opt-DSAA2026/wandb/run-20260904_120600-k45kwifk
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run ViT_cifar10_imb0.01
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/Trinity-Benchmark
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/Trinity-Benchmark/runs/k45kwifk
sys:1: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
Epoch 1/200 - Loss: 1.7900, Val Acc: 10.00%, Head: 12.50%, Med: 0.00%, Tail: 0.00%
Epoch 2/200 - Loss: 1.5476, Val Acc: 15.02%, Head: 18.77%, Med: 0.00%, Tail: 0.00%
Epoch 3/200 - Loss: 1.4251, Val Acc: 18.89%, Head: 23.61%, Med: 0.00%, Tail: 0.00%
Epoch 4/200 - Loss: 1.3721, Val Acc: 19.29%, Head: 24.11%, Med: 0.00%, Tail: 0.00%
Epoch 5/200 - Loss: 1.3030, Val Acc: 23.34%, Head: 29.18%, Med: 0.00%, Tail: 0.00%
Epoch 6/200 - Loss: 1.2854, Val Acc: 24.06%, Head: 30.07%, Med: 0.00%, Tail: 0.00%
Epoch 7/200 - Loss: 1.2461, Val Acc: 19.88%, Head: 24.85%, Med: 0.00%, Tail: 0.00%
Epoch 8/200 - Loss: 1.2275, Val Acc: 22.13%, Head: 27.66%, Med: 0.00%, Tail: 0.00%
Epoch 9/200 - Loss: 1.2157, Val Acc: 18.77%, Head: 23.46%, Med: 0.00%, Tail: 0.00%
Epoch 10/200 - Loss: 1.1881, Val Acc: 26.06%, Head: 32.58%, Med: 0.00%, Tail: 0.00%
Epoch 11/200 - Loss: 1.1622, Val Acc: 24.27%, Head: 30.34%, Med: 0.00%, Tail: 0.00%
Epoch 12/200 - Loss: 1.1315, Val Acc: 24.12%, Head: 30.15%, Med: 0.00%, Tail: 0.00%
Epoch 13/200 - Loss: 1.1196, Val Acc: 24.99%, Head: 31.24%, Med: 0.00%, Tail: 0.00%
Epoch 14/200 - Loss: 1.1472, Val Acc: 23.08%, Head: 28.85%, Med: 0.00%, Tail: 0.00%
