nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run oo6mx125
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_022239-oo6mx125
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run trinity
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/trinity-optimizer-comparison-200-resnet18/runs/oo6mx125
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[Trinity] d_max=2400: 63.354% of trackable parameters permanently excluded from K-FAC (kept on AdamW).
<sys>:0: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
[trinity] Epoch 1/200 - Loss: 1.2453, Val Acc: 27.52%, Head: 34.40%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 2/200 - Loss: 0.9741, Val Acc: 34.53%, Head: 43.16%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 3/200 - Loss: 0.8864, Val Acc: 35.13%, Head: 43.91%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 4/200 - Loss: 0.8126, Val Acc: 33.94%, Head: 42.42%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 5/200 - Loss: 0.7619, Val Acc: 39.73%, Head: 49.66%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 6/200 - Loss: 0.7129, Val Acc: 41.62%, Head: 52.01%, Med: 0.05%, Tail: 0.00%
[trinity] Epoch 7/200 - Loss: 0.6874, Val Acc: 42.66%, Head: 53.26%, Med: 0.25%, Tail: 0.00%
[trinity] Epoch 8/200 - Loss: 0.6391, Val Acc: 44.80%, Head: 55.98%, Med: 0.10%, Tail: 0.00%
[trinity] Epoch 9/200 - Loss: 0.6190, Val Acc: 43.46%, Head: 54.11%, Med: 0.85%, Tail: 0.00%
[trinity] Epoch 10/200 - Loss: 0.6027, Val Acc: 47.35%, Head: 57.34%, Med: 7.40%, Tail: 0.00%
[trinity] Epoch 11/200 - Loss: 0.5717, Val Acc: 49.91%, Head: 61.52%, Med: 3.45%, Tail: 0.00%
