nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run j8h3m8hd
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_073500-j8h3m8hd
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run trinity
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/wideresnet-trinity-optimizer-comparison-200-wideresnet/runs/j8h3m8hd
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[Trinity] d_max=4800: 22.700% of trackable parameters permanently excluded from K-FAC (kept on AdamW).
<sys>:0: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
[trinity] Epoch 1/200 - Loss: 2.6964, Val Acc: 10.67%, Head: 12.90%, Med: 1.75%, Tail: 0.00%
[trinity] Epoch 2/200 - Loss: 1.6378, Val Acc: 21.20%, Head: 26.50%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 3/200 - Loss: 1.2251, Val Acc: 25.04%, Head: 31.30%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 4/200 - Loss: 1.0934, Val Acc: 26.99%, Head: 33.74%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 5/200 - Loss: 1.0057, Val Acc: 28.04%, Head: 35.05%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 6/200 - Loss: 0.9298, Val Acc: 28.96%, Head: 36.20%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 7/200 - Loss: 0.9234, Val Acc: 33.08%, Head: 41.35%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 8/200 - Loss: 0.8299, Val Acc: 33.29%, Head: 41.61%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 9/200 - Loss: 0.8363, Val Acc: 33.41%, Head: 41.76%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 10/200 - Loss: 0.7563, Val Acc: 34.33%, Head: 42.91%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 11/200 - Loss: 0.7233, Val Acc: 34.62%, Head: 43.27%, Med: 0.00%, Tail: 0.00%
