nohup: ignoring input
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/gauranshi/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run somsrgku
wandb: Tracking run with wandb version 0.28.2
wandb: Run data is saved locally in /home/gauranshi/Trinity-opt-DSAA2026/wandb/run-20260904_120624-somsrgku
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run WideResNet_cifar10_imb0.01
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/Trinity-Benchmark
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/Trinity-Benchmark/runs/somsrgku
sys:1: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
Epoch 1/200 - Loss: 1.3431, Val Acc: 24.82%, Head: 31.02%, Med: 0.00%, Tail: 0.00%
Epoch 2/200 - Loss: 0.9949, Val Acc: 29.29%, Head: 36.61%, Med: 0.00%, Tail: 0.00%
Epoch 3/200 - Loss: 0.9029, Val Acc: 28.93%, Head: 36.16%, Med: 0.00%, Tail: 0.00%
Epoch 4/200 - Loss: 0.8386, Val Acc: 32.44%, Head: 40.55%, Med: 0.00%, Tail: 0.00%
Epoch 5/200 - Loss: 0.8089, Val Acc: 36.14%, Head: 45.17%, Med: 0.00%, Tail: 0.00%
Epoch 6/200 - Loss: 0.7388, Val Acc: 37.13%, Head: 46.41%, Med: 0.00%, Tail: 0.00%
Epoch 7/200 - Loss: 0.6942, Val Acc: 39.01%, Head: 48.76%, Med: 0.00%, Tail: 0.00%
Epoch 8/200 - Loss: 0.6741, Val Acc: 42.51%, Head: 53.14%, Med: 0.00%, Tail: 0.00%
Epoch 9/200 - Loss: 0.6192, Val Acc: 45.53%, Head: 55.80%, Med: 4.45%, Tail: 0.00%
Epoch 10/200 - Loss: 0.5933, Val Acc: 46.41%, Head: 57.06%, Med: 3.80%, Tail: 0.00%
Epoch 11/200 - Loss: 0.5577, Val Acc: 48.35%, Head: 60.41%, Med: 0.10%, Tail: 0.00%
