epoch,loss,val_acc,head_acc,med_acc,tail_acc
1,1.393300,19.92,24.90,0.00,0.00
2,1.256800,26.03,32.54,0.00,0.00
3,1.143100,24.31,30.39,0.00,0.00
4,1.106800,23.31,29.14,0.00,0.00
5,1.110500,22.35,27.94,0.00,0.00
6,1.094600,26.19,32.74,0.00,0.00
7,1.063500,23.31,29.14,0.00,0.00
8,1.044700,26.69,33.36,0.00,0.00
9,1.021900,25.32,31.65,0.00,0.00
10,1.005600,25.50,31.88,0.00,0.00
11,0.969400,28.44,35.55,0.00,0.00
12,0.970000,29.04,36.30,0.00,0.00
13,0.955500,29.97,37.46,0.00,0.00
14,0.938300,29.88,37.35,0.00,0.00
15,0.915400,34.55,43.19,0.00,0.00
16,0.900700,30.78,38.48,0.00,0.00
17,0.890400,34.04,42.55,0.00,0.00
18,0.873000,33.31,41.60,0.15,0.00
19,0.859900,32.02,40.02,0.00,0.00
20,0.853900,32.55,40.66,0.10,0.00
21,0.843800,30.68,38.35,0.00,0.00
22,0.833800,30.98,38.71,0.05,0.00
23,0.821400,34.82,43.42,0.40,0.00
24,0.807100,35.12,43.64,1.05,0.00
25,0.804400,32.01,40.00,0.05,0.00
26,0.790000,37.20,46.39,0.45,0.00
27,0.781100,30.92,38.64,0.05,0.00
28,0.766700,37.97,46.88,2.35,0.00
29,0.752100,36.60,45.51,0.95,0.00
30,0.745300,37.23,46.48,0.25,0.00
31,0.730400,39.97,49.76,0.80,0.00
32,0.722800,39.74,49.36,1.25,0.00
33,0.708400,37.80,47.21,0.15,0.00
34,0.705900,42.76,52.10,5.40,0.00
35,0.697000,34.84,43.44,0.45,0.00
36,0.686400,35.34,44.11,0.25,0.00
37,0.680000,41.97,51.33,4.55,0.00
38,0.665600,38.75,48.15,1.15,0.00
39,0.661100,41.27,50.73,3.45,0.00
40,0.661500,41.34,51.52,0.60,0.00
41,0.635200,41.23,51.21,1.30,0.00
42,0.629900,42.41,51.39,6.50,0.00
43,0.621200,40.84,50.51,2.15,0.00
44,0.620300,43.18,53.89,0.35,0.00
45,0.606800,41.64,51.90,0.60,0.00
46,0.590900,42.62,53.23,0.20,0.00
47,0.587900,43.52,52.86,6.15,0.00
48,0.582400,43.10,53.14,2.95,0.00
49,0.574700,48.08,57.76,9.35,0.00
50,0.561500,45.72,56.69,1.85,0.00
51,0.556100,43.71,52.81,7.30,0.00
52,0.544100,46.49,56.92,4.75,0.00
53,0.532900,43.41,53.85,1.65,0.00
54,0.530700,46.38,55.86,8.45,0.00
55,0.523400,48.58,58.16,10.25,0.00
56,0.516900,47.84,57.25,10.20,0.00
57,0.515000,46.07,55.83,7.05,0.00
58,0.495600,47.12,56.71,8.75,0.00
59,0.493700,45.51,55.92,3.85,0.00
60,0.484100,45.16,55.62,3.30,0.00
61,0.476300,48.67,56.88,15.85,0.00
62,0.462300,44.76,54.71,4.95,0.00
63,0.462900,46.92,56.96,6.75,0.00
64,0.450300,46.54,55.76,9.65,0.00
65,0.445300,49.40,58.95,11.20,0.00
66,0.429800,46.05,56.23,5.35,0.00
67,0.427100,44.98,54.35,7.50,0.00
68,0.417700,47.86,58.12,6.80,0.00
69,0.418400,49.62,58.81,12.85,0.00
70,0.397000,47.67,58.08,6.05,0.00
71,0.397800,47.73,57.02,10.55,0.00
72,0.392900,47.90,57.76,8.45,0.00
73,0.368000,46.24,55.48,9.30,0.00
74,0.362300,48.00,57.31,10.75,0.00
75,0.360500,50.26,58.38,17.80,0.00
76,0.366300,52.50,61.11,18.05,0.00
77,0.337800,49.67,58.05,16.15,0.00
78,0.340800,51.86,59.61,20.85,0.00
79,0.317400,47.49,57.14,8.90,0.00
80,0.322700,48.37,56.49,15.90,0.00
81,0.322400,51.01,59.29,17.90,0.00
82,0.307200,52.14,59.16,24.05,0.00
83,0.301200,48.77,57.59,13.50,0.00
84,0.296200,50.26,57.36,21.85,0.00
85,0.291600,48.09,58.50,6.45,0.00
86,0.279400,47.43,55.92,13.45,0.00
87,0.276300,49.85,58.25,16.25,0.00
88,0.273600,47.29,57.69,5.70,0.00
89,0.252900,49.95,59.50,11.75,0.00
90,0.257300,48.92,57.81,13.35,0.00
91,0.240900,52.70,60.51,21.45,0.00
92,0.236300,47.80,57.50,9.00,0.00
93,0.227500,49.25,58.45,12.45,0.00
94,0.218500,51.06,57.98,23.40,0.00
95,0.220300,49.78,58.62,14.40,0.00
96,0.210800,47.38,55.71,14.05,0.00
97,0.198900,49.11,57.56,15.30,0.00
98,0.202400,49.10,57.06,17.25,0.00
99,0.195900,48.11,56.90,12.95,0.00
100,0.194400,47.14,56.58,9.40,0.00
101,0.184300,45.98,55.17,9.20,0.00
102,0.175800,49.33,58.99,10.70,0.00
103,0.171100,47.06,56.54,9.15,0.00
104,0.172500,48.21,57.41,11.40,0.00
105,0.173900,47.75,56.36,13.30,0.00
106,0.162300,50.39,59.00,15.95,0.00
107,0.156000,49.96,59.25,12.80,0.00
108,0.146200,49.00,57.69,14.25,0.00
109,0.146000,48.65,57.41,13.60,0.00
110,0.141500,47.25,56.85,8.85,0.00
111,0.141800,48.25,57.79,10.10,0.00
112,0.133700,46.51,55.80,9.35,0.00
113,0.132200,48.16,56.15,16.20,0.00
114,0.127300,48.68,57.75,12.40,0.00
115,0.122200,50.03,57.49,20.20,0.00
116,0.113700,49.49,57.66,16.80,0.00
117,0.115500,47.47,56.45,11.55,0.00
118,0.112200,48.44,57.81,10.95,0.00
119,0.108900,47.09,55.75,12.45,0.00
120,0.095000,47.95,56.49,13.80,0.00
121,0.103600,47.98,56.11,15.45,0.00
122,0.101200,50.03,58.46,16.30,0.00
123,0.098300,49.33,57.55,16.45,0.00
124,0.096100,50.15,58.40,17.15,0.00
125,0.081900,49.02,58.23,12.20,0.00
126,0.083200,48.72,57.31,14.35,0.00
127,0.086700,47.01,56.50,9.05,0.00
128,0.079700,48.12,57.46,10.75,0.00
129,0.083300,49.03,58.09,12.80,0.00
130,0.071700,49.78,58.11,16.45,0.00
131,0.073600,48.67,57.70,12.55,0.00
132,0.074600,48.93,58.65,10.05,0.00
133,0.066800,48.17,57.64,10.30,0.00
134,0.063300,48.51,56.86,15.10,0.00
135,0.058100,48.52,57.49,12.65,0.00
136,0.056300,48.88,58.45,10.60,0.00
137,0.062100,50.35,58.77,16.65,0.00
138,0.056400,48.62,57.66,12.45,0.00
139,0.054200,48.40,57.64,11.45,0.00
140,0.052900,48.00,56.17,15.30,0.00
141,0.050200,49.74,58.06,16.45,0.00
142,0.048900,48.63,57.54,13.00,0.00
143,0.046000,49.80,58.99,13.05,0.00
144,0.044500,47.79,56.86,11.50,0.00
145,0.040900,48.82,57.34,14.75,0.00
146,0.042000,49.10,58.21,12.65,0.00
147,0.040300,47.63,56.45,12.35,0.00
148,0.035600,48.20,56.89,13.45,0.00
149,0.033700,49.15,57.89,14.20,0.00
150,0.036200,48.79,57.42,14.25,0.00
151,0.031200,47.83,56.86,11.70,0.00
152,0.029700,47.48,56.61,10.95,0.00
153,0.027400,47.77,56.85,11.45,0.00
154,0.025100,47.78,57.10,10.50,0.00
155,0.026600,47.84,57.34,9.85,0.00
156,0.027600,47.96,56.70,13.00,0.00
157,0.025900,49.20,57.95,14.20,0.00
158,0.025700,49.19,57.77,14.85,0.00
159,0.026600,48.47,57.77,11.25,0.00
160,0.020700,48.66,58.01,11.25,0.00
161,0.021300,48.86,57.76,13.25,0.00
162,0.017100,48.08,57.15,11.80,0.00
163,0.018700,48.07,57.69,9.60,0.00
164,0.016900,48.44,57.33,12.90,0.00
165,0.018600,48.80,57.51,13.95,0.00
166,0.016500,48.06,57.74,9.35,0.00
167,0.015500,48.29,57.69,10.70,0.00
168,0.013800,47.90,57.31,10.25,0.00
169,0.016200,48.64,56.92,15.50,0.00
170,0.014500,49.32,58.34,13.25,0.00
171,0.012600,49.21,57.99,14.10,0.00
172,0.010500,47.54,56.74,10.75,0.00
173,0.012100,48.91,58.05,12.35,0.00
174,0.009800,48.36,57.71,10.95,0.00
175,0.009400,48.60,57.48,13.10,0.00
176,0.008700,47.78,56.91,11.25,0.00
177,0.010600,48.71,57.70,12.75,0.00
178,0.010200,48.30,57.41,11.85,0.00
179,0.008500,48.45,57.61,11.80,0.00
180,0.009100,48.64,57.61,12.75,0.00
181,0.007900,48.37,57.27,12.75,0.00
182,0.007900,48.21,57.49,11.10,0.00
183,0.008400,48.49,57.79,11.30,0.00
184,0.007900,48.26,57.61,10.85,0.00
185,0.006200,48.48,57.52,12.30,0.00
186,0.006500,47.96,57.25,10.80,0.00
187,0.006700,48.39,57.80,10.75,0.00
188,0.007300,48.60,57.95,11.20,0.00
189,0.006300,48.51,57.71,11.70,0.00
190,0.006800,48.39,57.70,11.15,0.00
191,0.006200,48.51,57.74,11.60,0.00
192,0.006000,48.24,57.59,10.85,0.00
193,0.006700,48.27,57.52,11.25,0.00
194,0.006700,48.35,57.50,11.75,0.00
195,0.005800,48.29,57.52,11.35,0.00
196,0.005400,48.42,57.61,11.65,0.00
197,0.006200,48.45,57.66,11.60,0.00
198,0.006100,48.34,57.55,11.50,0.00
199,0.006000,48.34,57.55,11.50,0.00
200,0.005600,48.37,57.65,11.25,0.00
