epoch,loss,val_acc,head_acc,med_acc,tail_acc
1,1.501300,19.82,24.77,0.00,0.00
2,1.256200,24.01,30.01,0.00,0.00
3,1.154300,21.71,27.14,0.00,0.00
4,1.070400,27.73,34.66,0.00,0.00
5,1.018500,27.37,34.21,0.00,0.00
6,1.005500,30.26,37.83,0.00,0.00
7,0.958000,28.80,36.00,0.00,0.00
8,0.925300,32.22,40.27,0.00,0.00
9,0.892400,31.11,38.89,0.00,0.00
10,0.855500,34.39,42.89,0.40,0.00
11,0.845400,32.40,40.48,0.10,0.00
12,0.836100,34.66,43.33,0.00,0.00
13,0.824800,34.69,43.36,0.00,0.00
14,0.804900,32.96,41.20,0.00,0.00
15,0.782700,39.19,48.84,0.60,0.00
16,0.773100,35.60,44.50,0.00,0.00
17,0.760700,41.09,51.23,0.55,0.00
18,0.735900,36.38,45.08,1.60,0.00
19,0.733600,40.41,50.44,0.30,0.00
20,0.725700,36.12,45.11,0.15,0.00
21,0.720800,37.42,46.61,0.65,0.00
22,0.694600,38.46,47.00,4.30,0.00
23,0.683900,40.78,50.91,0.25,0.00
24,0.680800,43.04,52.01,7.15,0.00
25,0.664100,42.26,51.96,3.45,0.00
26,0.638500,42.85,53.49,0.30,0.00
27,0.642200,38.11,46.61,4.10,0.00
28,0.626700,42.51,50.65,9.95,0.00
29,0.625900,44.93,53.71,9.80,0.00
30,0.613100,39.84,49.33,1.90,0.00
31,0.596300,43.55,53.23,4.85,0.00
32,0.582700,43.59,53.62,3.45,0.00
33,0.568600,41.20,51.10,1.60,0.00
34,0.563100,44.74,54.62,5.20,0.00
35,0.537000,45.27,54.08,10.05,0.00
36,0.525700,39.29,47.89,4.90,0.00
37,0.529400,44.21,51.92,13.35,0.00
38,0.508800,43.51,52.96,5.70,0.00
39,0.485600,43.14,52.19,6.95,0.00
40,0.464400,42.03,50.81,6.90,0.00
41,0.456000,45.54,54.55,9.50,0.00
42,0.436000,44.83,53.40,10.55,0.00
43,0.428900,43.90,54.42,1.80,0.00
44,0.409600,42.60,52.19,4.25,0.00
45,0.393100,42.98,52.95,3.10,0.00
46,0.381900,42.95,52.27,5.65,0.00
47,0.357000,45.28,54.48,8.50,0.00
48,0.356400,43.21,52.44,6.30,0.00
49,0.339300,48.51,57.74,11.60,0.00
50,0.314100,45.84,55.46,7.35,0.00
51,0.304400,47.18,56.25,10.90,0.00
52,0.293400,47.28,56.80,9.20,0.00
53,0.284000,45.01,54.55,6.85,0.00
54,0.257700,46.66,56.04,9.15,0.00
55,0.252600,46.66,56.51,7.25,0.00
56,0.237800,47.12,55.64,13.05,0.00
57,0.222400,45.03,52.95,13.35,0.00
58,0.219900,46.92,55.86,11.15,0.00
59,0.203100,48.63,57.33,13.85,0.00
60,0.200000,46.72,55.42,11.90,0.00
61,0.180300,44.99,54.71,6.10,0.00
62,0.172700,43.54,51.96,9.85,0.00
63,0.166600,43.55,52.50,7.75,0.00
64,0.160000,43.61,53.19,5.30,0.00
65,0.145700,45.29,55.06,6.20,0.00
66,0.145800,44.79,55.30,2.75,0.00
67,0.141100,44.98,53.95,9.10,0.00
68,0.134400,47.30,56.05,12.30,0.00
69,0.126900,45.05,54.49,7.30,0.00
70,0.118300,46.23,55.86,7.70,0.00
71,0.116800,47.43,56.38,11.65,0.00
72,0.107600,47.28,56.49,10.45,0.00
73,0.103100,46.73,55.77,10.55,0.00
74,0.100100,46.81,55.80,10.85,0.00
75,0.101600,46.68,55.77,10.30,0.00
76,0.098500,46.80,55.51,11.95,0.00
77,0.087500,45.93,56.10,5.25,0.00
78,0.083300,45.88,55.14,8.85,0.00
79,0.083200,45.96,54.79,10.65,0.00
80,0.078600,47.52,56.91,9.95,0.00
81,0.076600,44.49,53.58,8.15,0.00
82,0.079300,46.94,55.30,13.50,0.00
83,0.070500,48.31,54.96,21.70,0.00
84,0.068900,46.34,54.91,12.05,0.00
85,0.067300,46.74,55.96,9.85,0.00
86,0.060300,44.93,54.02,8.55,0.00
87,0.065100,47.80,56.12,14.50,0.00
88,0.058600,46.68,55.90,9.80,0.00
89,0.060500,46.55,55.30,11.55,0.00
90,0.052100,45.96,54.69,11.05,0.00
91,0.046500,46.59,56.75,5.95,0.00
92,0.044000,46.41,54.85,12.65,0.00
93,0.051500,45.56,54.74,8.85,0.00
94,0.043100,45.22,54.88,6.60,0.00
95,0.040500,46.05,54.30,13.05,0.00
96,0.041900,46.77,55.49,11.90,0.00
97,0.039600,45.10,53.38,12.00,0.00
98,0.042200,45.92,55.41,7.95,0.00
99,0.034900,45.40,54.31,9.75,0.00
100,0.036700,46.08,55.46,8.55,0.00
101,0.038100,45.76,55.29,7.65,0.00
102,0.035600,46.10,55.20,9.70,0.00
103,0.030500,45.57,55.12,7.35,0.00
104,0.025900,45.77,55.14,8.30,0.00
105,0.028100,44.70,53.60,9.10,0.00
106,0.025900,45.67,55.60,5.95,0.00
107,0.027900,45.49,54.31,10.20,0.00
108,0.023100,48.37,57.95,10.05,0.00
109,0.029200,46.70,55.59,11.15,0.00
110,0.026900,45.56,55.42,6.10,0.00
111,0.021700,45.45,55.56,5.00,0.00
112,0.020700,47.15,57.26,6.70,0.00
113,0.018100,46.38,56.38,6.40,0.00
114,0.018400,45.97,55.62,7.35,0.00
115,0.021300,46.53,55.85,9.25,0.00
116,0.018100,46.99,55.60,12.55,0.00
117,0.018700,46.67,55.09,13.00,0.00
118,0.016200,45.38,55.02,6.80,0.00
119,0.015500,46.08,55.80,7.20,0.00
120,0.015800,45.97,54.99,9.90,0.00
121,0.015000,46.43,55.71,9.30,0.00
122,0.014200,46.89,55.83,11.15,0.00
123,0.011900,46.51,55.90,8.95,0.00
124,0.014100,46.45,55.44,10.50,0.00
125,0.012100,45.90,54.81,10.25,0.00
126,0.009800,45.40,54.51,8.95,0.00
127,0.010500,45.69,54.69,9.70,0.00
128,0.008900,47.59,55.96,14.10,0.00
129,0.007800,47.22,57.30,6.90,0.00
130,0.009400,46.93,56.29,9.50,0.00
131,0.009500,47.01,56.60,8.65,0.00
132,0.007300,46.72,56.23,8.70,0.00
133,0.008200,46.73,55.73,10.75,0.00
134,0.008100,45.94,55.50,7.70,0.00
135,0.005600,46.62,56.06,8.85,0.00
136,0.005900,47.24,56.30,11.00,0.00
137,0.006100,46.24,55.27,10.10,0.00
