epoch,loss,val_acc,head_acc,med_acc,tail_acc
1,1.341400,21.59,26.99,0.00,0.00
2,1.490100,19.23,24.04,0.00,0.00
3,1.343200,18.03,22.54,0.00,0.00
4,1.323300,23.20,29.00,0.00,0.00
5,1.304500,17.13,21.41,0.00,0.00
6,1.316900,17.17,21.46,0.00,0.00
7,1.244600,24.77,30.96,0.00,0.00
8,1.194500,25.79,32.24,0.00,0.00
9,1.172400,25.62,32.02,0.00,0.00
10,1.139700,27.12,33.90,0.00,0.00
11,1.112000,26.35,32.92,0.05,0.00
12,1.092300,25.19,31.49,0.00,0.00
13,1.062800,27.10,33.88,0.00,0.00
14,1.048800,25.56,31.95,0.00,0.00
15,1.031700,26.10,32.62,0.00,0.00
16,1.013400,30.41,38.01,0.00,0.00
17,0.997100,24.39,30.49,0.00,0.00
18,0.984400,27.67,34.59,0.00,0.00
19,0.969800,30.58,38.23,0.00,0.00
20,0.959000,26.39,32.99,0.00,0.00
21,0.947500,30.68,38.35,0.00,0.00
22,0.941300,30.83,38.54,0.00,0.00
23,0.937200,26.79,33.49,0.00,0.00
24,0.928300,30.74,38.42,0.00,0.00
25,0.911200,34.09,42.61,0.00,0.00
26,0.899800,32.12,40.15,0.00,0.00
27,0.892500,31.17,38.96,0.00,0.00
28,0.886000,34.90,43.62,0.00,0.00
29,0.886300,34.45,43.06,0.00,0.00
30,0.870300,29.54,36.92,0.00,0.00
31,0.867700,35.80,44.74,0.05,0.00
32,0.851400,30.94,38.67,0.00,0.00
33,0.851000,35.19,43.99,0.00,0.00
34,0.846000,36.77,45.96,0.00,0.00
35,0.834900,36.10,45.12,0.00,0.00
36,0.822400,32.56,40.70,0.00,0.00
37,0.816800,35.10,43.88,0.00,0.00
38,0.799700,31.11,38.89,0.00,0.00
39,0.800100,32.73,40.91,0.00,0.00
40,0.804500,37.56,46.94,0.05,0.00
41,0.788200,37.33,46.51,0.60,0.00
42,0.778400,32.87,41.05,0.15,0.00
43,0.774000,36.97,46.08,0.55,0.00
44,0.772200,32.07,40.05,0.15,0.00
45,0.763000,35.89,44.85,0.05,0.00
46,0.750300,35.18,43.86,0.45,0.00
47,0.739100,36.76,45.62,1.30,0.00
48,0.748700,39.05,48.69,0.50,0.00
49,0.742300,36.22,45.01,1.05,0.00
50,0.731200,38.96,48.50,0.80,0.00
51,0.727600,36.98,46.11,0.45,0.00
52,0.719600,37.71,46.92,0.85,0.00
53,0.727700,37.27,46.49,0.40,0.00
54,0.705800,38.37,47.73,0.95,0.00
55,0.708800,38.75,48.21,0.90,0.00
56,0.697700,35.36,44.14,0.25,0.00
57,0.698300,39.17,48.65,1.25,0.00
58,0.685600,37.03,46.09,0.80,0.00
59,0.684300,36.86,45.99,0.35,0.00
60,0.673600,40.42,50.26,1.05,0.00
61,0.673700,39.52,48.92,1.90,0.00
62,0.667000,39.09,48.21,2.60,0.00
63,0.662400,42.98,53.31,1.65,0.00
64,0.658300,39.24,48.10,3.80,0.00
65,0.645400,40.15,49.88,1.25,0.00
66,0.644800,40.51,50.17,1.85,0.00
67,0.633200,37.12,46.24,0.65,0.00
68,0.630800,41.41,51.45,1.25,0.00
69,0.628100,41.02,50.62,2.60,0.00
70,0.614400,36.58,45.58,0.60,0.00
71,0.611900,40.72,50.19,2.85,0.00
72,0.602200,39.90,49.61,1.05,0.00
73,0.610100,43.69,53.75,3.45,0.00
74,0.590800,42.29,51.60,5.05,0.00
75,0.596500,43.88,54.11,2.95,0.00
76,0.589000,42.59,52.73,2.05,0.00
77,0.579600,38.07,47.05,2.15,0.00
78,0.567900,44.36,53.95,6.00,0.00
79,0.569600,40.93,50.55,2.45,0.00
80,0.567400,41.14,50.85,2.30,0.00
81,0.558000,44.18,53.60,6.50,0.00
82,0.559100,42.59,51.70,6.15,0.00
83,0.548600,43.37,52.90,5.25,0.00
84,0.532600,43.32,52.56,6.35,0.00
85,0.527000,40.57,49.34,5.50,0.00
86,0.522500,40.57,48.19,10.10,0.00
87,0.522700,40.80,50.14,3.45,0.00
88,0.506700,45.36,54.54,8.65,0.00
89,0.509600,44.11,54.41,2.90,0.00
90,0.496000,43.52,53.51,3.55,0.00
91,0.489900,44.96,54.74,5.85,0.00
92,0.483900,43.16,52.10,7.40,0.00
93,0.481400,40.97,50.44,3.10,0.00
94,0.476900,42.29,51.21,6.60,0.00
95,0.466000,43.16,52.76,4.75,0.00
96,0.458700,42.57,52.15,4.25,0.00
97,0.450000,40.99,49.60,6.55,0.00
98,0.441800,41.57,50.48,5.95,0.00
99,0.440200,42.99,52.39,5.40,0.00
100,0.427100,42.91,51.86,7.10,0.00
101,0.426300,43.63,53.11,5.70,0.00
102,0.412200,43.47,52.17,8.65,0.00
103,0.416500,43.95,54.26,2.70,0.00
104,0.399500,43.53,53.10,5.25,0.00
105,0.400500,43.78,53.10,6.50,0.00
106,0.389600,44.99,53.81,9.70,0.00
107,0.379800,43.35,52.05,8.55,0.00
108,0.376000,45.27,53.95,10.55,0.00
109,0.369500,46.44,55.04,12.05,0.00
110,0.360500,44.09,53.05,8.25,0.00
111,0.349200,44.60,52.94,11.25,0.00
112,0.355300,42.84,52.14,5.65,0.00
113,0.345300,46.71,54.46,15.70,0.00
114,0.335100,44.49,53.61,8.00,0.00
