epoch,loss,val_acc,head_acc,med_acc,tail_acc
1,1.539900,18.35,22.94,0.00,0.00
2,1.251400,22.80,28.50,0.00,0.00
3,1.210700,18.00,22.50,0.00,0.00
4,1.165800,25.54,31.93,0.00,0.00
5,1.155400,19.23,24.04,0.00,0.00
6,1.143400,26.68,33.35,0.00,0.00
7,1.080200,27.32,34.15,0.00,0.00
8,1.044600,29.34,36.67,0.00,0.00
9,1.002100,25.74,32.17,0.00,0.00
10,0.988700,27.75,34.69,0.00,0.00
11,0.960200,28.06,35.08,0.00,0.00
12,0.947900,29.05,36.31,0.00,0.00
13,0.930200,28.88,36.10,0.00,0.00
14,0.916000,31.57,39.46,0.00,0.00
15,0.905700,29.50,36.88,0.00,0.00
16,0.893600,31.90,39.88,0.00,0.00
17,0.874000,28.28,35.35,0.00,0.00
18,0.872100,33.06,41.14,0.75,0.00
19,0.859400,33.65,42.06,0.00,0.00
20,0.858200,27.91,34.89,0.00,0.00
21,0.854000,32.31,40.39,0.00,0.00
22,0.836600,32.33,40.29,0.50,0.00
23,0.826500,32.33,40.30,0.45,0.00
24,0.827100,34.80,43.45,0.20,0.00
25,0.823000,38.92,48.59,0.25,0.00
26,0.816800,34.51,43.11,0.10,0.00
27,0.812800,34.75,43.39,0.20,0.00
28,0.806200,36.86,45.95,0.50,0.00
29,0.806800,37.33,46.52,0.55,0.00
30,0.799000,35.91,44.89,0.00,0.00
31,0.796300,36.78,45.67,1.20,0.00
32,0.795600,33.80,42.25,0.00,0.00
33,0.783400,35.33,44.16,0.00,0.00
34,0.792000,38.73,48.40,0.05,0.00
35,0.778000,36.32,45.39,0.05,0.00
36,0.778400,32.96,41.20,0.00,0.00
37,0.770000,36.27,45.23,0.45,0.00
38,0.767100,39.31,49.14,0.00,0.00
39,0.768500,37.11,46.36,0.10,0.00
40,0.762900,37.86,46.76,2.25,0.00
41,0.770900,36.55,45.67,0.05,0.00
42,0.755200,33.30,41.59,0.15,0.00
43,0.747000,37.63,47.04,0.00,0.00
44,0.749300,37.08,46.35,0.00,0.00
45,0.743700,36.64,45.80,0.00,0.00
46,0.743700,36.58,45.73,0.00,0.00
47,0.735800,37.35,46.64,0.20,0.00
48,0.728500,38.62,47.91,1.45,0.00
49,0.727000,37.47,46.80,0.15,0.00
50,0.725800,38.44,48.05,0.00,0.00
51,0.730900,35.27,44.06,0.10,0.00
52,0.722200,37.96,47.45,0.00,0.00
53,0.725000,36.11,45.14,0.00,0.00
54,0.718400,36.15,45.02,0.65,0.00
55,0.717000,39.81,49.52,0.95,0.00
56,0.710800,33.21,41.48,0.15,0.00
57,0.710900,37.19,46.42,0.25,0.00
58,0.706200,37.01,46.25,0.05,0.00
59,0.715700,38.65,48.31,0.00,0.00
60,0.716500,40.47,50.49,0.40,0.00
61,0.710800,38.33,47.62,1.15,0.00
62,0.693000,36.08,44.67,1.70,0.00
63,0.698000,37.86,47.30,0.10,0.00
64,0.696800,35.70,44.62,0.00,0.00
65,0.691000,40.07,49.83,1.05,0.00
66,0.695900,39.39,49.21,0.10,0.00
67,0.685800,37.89,47.33,0.15,0.00
68,0.692000,40.77,50.81,0.60,0.00
69,0.686500,42.47,52.54,2.20,0.00
70,0.680700,37.49,46.74,0.50,0.00
71,0.683200,39.17,48.85,0.45,0.00
72,0.678900,41.57,51.80,0.65,0.00
73,0.672800,39.14,48.77,0.60,0.00
74,0.670900,40.82,50.85,0.70,0.00
75,0.668000,41.53,51.19,2.90,0.00
76,0.665200,39.87,48.90,3.75,0.00
77,0.661700,40.13,50.09,0.30,0.00
78,0.655500,41.77,51.77,1.75,0.00
79,0.657800,41.55,51.74,0.80,0.00
80,0.653600,45.89,56.96,1.60,0.00
81,0.654700,42.70,52.74,2.55,0.00
82,0.650900,40.38,50.02,1.80,0.00
83,0.646300,37.49,46.31,2.20,0.00
84,0.646100,39.80,49.64,0.45,0.00
85,0.648500,37.28,45.86,2.95,0.00
86,0.641000,37.94,46.91,2.05,0.00
87,0.645500,41.14,50.81,2.45,0.00
88,0.635000,40.69,50.29,2.30,0.00
89,0.631000,44.32,54.86,2.15,0.00
90,0.629500,38.79,47.94,2.20,0.00
91,0.630000,46.00,56.50,4.00,0.00
92,0.623400,43.17,53.74,0.90,0.00
93,0.619700,41.67,51.95,0.55,0.00
94,0.616100,39.52,49.33,0.30,0.00
95,0.620800,41.28,50.50,4.40,0.00
96,0.615000,43.74,54.40,1.10,0.00
97,0.609600,42.62,51.98,5.20,0.00
98,0.607200,41.18,50.98,2.00,0.00
99,0.597300,45.46,55.79,4.15,0.00
100,0.611400,42.30,51.19,6.75,0.00
101,0.590400,44.55,55.29,1.60,0.00
102,0.597700,36.70,45.69,0.75,0.00
103,0.593600,43.56,53.86,2.35,0.00
104,0.581800,46.32,56.66,4.95,0.00
105,0.589500,42.33,52.76,0.60,0.00
106,0.584200,46.87,57.09,6.00,0.00
107,0.571600,39.41,48.70,2.25,0.00
108,0.579400,44.55,54.77,3.65,0.00
109,0.572100,45.23,56.36,0.70,0.00
110,0.575300,44.76,53.74,8.85,0.00
111,0.570400,41.47,51.34,2.00,0.00
112,0.566000,39.10,48.46,1.65,0.00
113,0.556400,42.21,51.71,4.20,0.00
114,0.563400,44.14,54.54,2.55,0.00
115,0.556400,45.21,54.70,7.25,0.00
116,0.550400,44.75,53.65,9.15,0.00
117,0.552400,45.72,55.36,7.15,0.00
118,0.546700,45.64,55.25,7.20,0.00
119,0.548500,42.71,52.35,4.15,0.00
120,0.541500,46.04,55.31,8.95,0.00
121,0.535700,48.43,55.33,20.85,0.00
122,0.530800,45.66,55.83,5.00,0.00
123,0.529900,43.44,53.41,3.55,0.00
124,0.521200,47.91,56.61,13.10,0.00
125,0.517600,45.21,54.58,7.75,0.00
126,0.518100,44.85,54.73,5.35,0.00
127,0.516300,46.99,56.99,7.00,0.00
128,0.511300,46.55,56.39,7.20,0.00
129,0.509500,49.04,57.50,15.20,0.00
130,0.495800,46.51,55.59,10.20,0.00
131,0.501300,42.48,50.95,8.60,0.00
132,0.496900,47.09,56.99,7.50,0.00
133,0.497800,45.73,55.83,5.35,0.00
134,0.486000,48.25,57.96,9.40,0.00
135,0.481200,46.76,56.62,7.30,0.00
136,0.479100,47.64,57.56,7.95,0.00
137,0.479500,46.63,54.79,14.00,0.00
138,0.473900,46.45,55.60,9.85,0.00
139,0.472400,45.13,55.04,5.50,0.00
140,0.470700,46.20,56.34,5.65,0.00
141,0.461000,48.52,57.26,13.55,0.00
142,0.465000,45.62,54.59,9.75,0.00
143,0.458600,47.51,56.01,13.50,0.00
144,0.446600,48.79,57.44,14.20,0.00
145,0.451300,46.62,56.73,6.20,0.00
146,0.439300,48.59,58.51,8.90,0.00
147,0.437300,48.31,57.69,10.80,0.00
148,0.440500,46.51,56.48,6.65,0.00
149,0.432400,46.71,54.94,13.80,0.00
150,0.429200,48.26,57.64,10.75,0.00
151,0.424700,47.87,57.29,10.20,0.00
152,0.415800,49.77,58.77,13.75,0.00
153,0.426900,47.92,58.08,7.30,0.00
154,0.422100,47.04,56.80,8.00,0.00
155,0.410500,46.82,56.91,6.45,0.00
156,0.401700,47.83,57.58,8.85,0.00
157,0.409000,47.56,56.00,13.80,0.00
158,0.396400,48.50,58.21,9.65,0.00
159,0.394400,48.74,59.05,7.50,0.00
160,0.391000,47.80,57.19,10.25,0.00
161,0.389200,48.47,57.69,11.60,0.00
162,0.388200,49.71,59.06,12.30,0.00
163,0.385000,51.15,59.84,16.40,0.00
164,0.370400,48.36,58.30,8.60,0.00
165,0.371700,48.91,58.44,10.80,0.00
166,0.367800,49.14,58.81,10.45,0.00
167,0.365300,49.25,57.99,14.30,0.00
168,0.355900,49.08,58.52,11.30,0.00
169,0.361900,48.64,57.27,14.10,0.00
170,0.352700,50.64,59.45,15.40,0.00
171,0.360500,49.63,58.05,15.95,0.00
172,0.347400,49.76,58.38,15.30,0.00
173,0.346300,48.95,58.36,11.30,0.00
174,0.339900,50.12,58.94,14.85,0.00
175,0.339400,50.50,59.39,14.95,0.00
176,0.341000,50.78,59.61,15.45,0.00
177,0.331500,48.81,57.84,12.70,0.00
178,0.326600,48.87,57.96,12.50,0.00
179,0.325000,51.22,60.11,15.65,0.00
180,0.324400,50.54,59.61,14.25,0.00
181,0.314300,48.57,57.52,12.75,0.00
182,0.315600,50.82,59.94,14.35,0.00
183,0.323700,49.38,58.61,12.45,0.00
184,0.311100,50.96,59.40,17.20,0.00
185,0.311300,50.41,59.49,14.10,0.00
186,0.308200,50.38,59.38,14.40,0.00
187,0.312700,50.29,59.38,13.95,0.00
188,0.311000,50.97,59.77,15.75,0.00
189,0.311000,50.40,59.54,13.85,0.00
190,0.303400,50.28,59.27,14.30,0.00
191,0.300900,49.82,58.95,13.30,0.00
