epoch,loss,val_acc
1,2.6887,11.02
2,1.7347,17.33
3,1.354,23.92
4,1.1236,25.35
5,1.0113,27.3
6,0.9691,29.02
7,0.9167,36.4
8,0.8287,33.75
9,0.7771,38.3
10,0.7241,40.06
11,0.709,38.47
12,0.8393,42.85
13,0.8435,38.44
14,0.6598,44.05
15,0.8862,44.85
16,0.7089,44.98
17,0.6749,22.46
18,1.0459,32.46
19,0.6933,46.55
20,0.5434,46.85
21,0.5061,47.94
22,0.4718,49.4
23,0.4555,52.72
24,0.4347,53.25
25,0.406,56.09
26,0.3839,54.82
27,0.3766,58.05
28,0.3605,55.51
29,0.3406,56.03
30,0.3357,60.17
31,0.3015,58.26
32,0.288,57.47
33,0.2717,60.22
34,0.2761,56.63
35,0.25,59.65
36,0.2424,57.73
37,0.2303,58.38
38,0.2291,61.75
39,0.2107,58.67
40,0.2437,59.17
41,0.2019,60.6
42,0.1945,59.15
43,0.2631,60.44
44,0.3055,59.4
45,0.2325,59.41
46,0.19,63.12
47,0.1685,60.68
48,0.1592,59.65
49,0.16,59.64
50,0.1429,59.07
51,0.1389,59.88
52,0.1303,60.35
53,0.1304,61.99
54,0.1196,61.85
55,0.1223,60.95
56,0.1075,61.65
57,0.1038,63.07
58,0.0976,59.24
59,0.0976,60.84
60,0.0983,64.45
61,0.0909,59.72
62,0.0864,60.35
63,0.0822,60.05
64,0.0818,62.3
65,0.0843,62.43
66,0.0738,62.2
67,0.0745,62.62
68,0.0795,62.74
69,0.0683,63.02
70,0.0699,61.86
71,0.0838,61.24
72,0.0822,61.13
73,0.0635,62.65
74,0.0657,59.98
75,0.0659,61.76
76,0.0589,62.49
77,0.0668,62.37
78,0.0593,62.37
79,0.0539,59.67
80,0.0459,63.26
81,0.0443,62.65
82,0.0512,58.7
83,0.0488,60.72
84,0.0396,61.65
85,0.041,62.67
86,0.0394,59.79
87,0.0373,62.35
88,0.0391,60.18
89,0.0392,64.47
90,0.0356,61.33
91,0.0306,62.76
92,0.0332,64.15
93,0.0345,63.4
94,0.0278,62.19
95,0.0349,62.82
96,0.0263,61.21
97,0.0256,62.29
98,0.0242,60.76
99,0.0265,61.8
100,0.0211,61.04
101,0.0399,61.32
102,0.024,61.13
103,0.0226,60.63
104,0.0194,62.51
105,0.0742,60.33
106,0.0227,61.72
107,0.0222,61.93
108,0.0224,61.84
109,0.0188,62.6
110,0.0249,63.62
111,0.0174,61.02
112,0.0146,62.53
113,0.0196,63.23
114,0.017,62.59
115,0.0166,62.77
116,0.0249,63.06
117,0.0159,62.2
118,0.0159,62.64
119,0.0162,63.03
120,0.0082,63.39
121,0.0109,64.21
122,0.0115,62.1
123,0.0137,63.41
124,0.0091,62.38
125,0.0092,63.53
126,0.0091,63.02
127,0.0095,63.61
128,0.0114,63.51
129,0.0097,64.36
130,0.0104,63.42
131,0.0083,63.27
132,0.007,63.37
133,0.0065,63.4
134,0.0084,62.38
135,0.0054,62.6
136,0.0032,63.2
137,0.0051,63.03
138,0.0028,62.48
139,0.0049,63.86
140,0.004,63.29
141,0.0061,62.42
142,0.0049,64.64
143,0.0034,62.93
144,0.0054,63.49
145,0.0049,63.69
146,0.0036,62.35
147,0.0049,61.75
148,0.0019,62.87
149,0.0041,63.31
150,0.004,64.01
151,0.0036,63.88
152,0.0037,63.62
153,0.0015,63.55
154,0.0013,62.44
155,0.0027,63.18
156,0.0017,63.59
157,0.0011,63.02
158,0.0029,63.48
159,0.0017,63.21
160,0.0019,63.01
161,0.0008,63.24
162,0.0011,63.32
163,0.002,63.13
164,0.0024,63.39
165,0.0014,63.5
166,0.0011,63.07
167,0.003,63.73
168,0.0022,63.63
169,0.0009,63.8
170,0.0006,63.83
171,0.0007,64.08
172,0.0011,63.8
173,0.0012,63.6
174,0.0011,63.99
175,0.0013,63.15
176,0.0016,64.43
177,0.0015,64.31
178,0.0007,63.99
179,0.0004,63.79
180,0.0005,63.61
181,0.0007,63.65
182,0.0007,63.58
183,0.0003,63.99
184,0.0013,63.63
185,0.0003,63.76
186,0.0004,63.48
187,0.0005,63.52
188,0.0002,63.31
189,0.001,63.16
190,0.0005,63.14
191,0.0004,63.42
192,0.0007,63.24
193,0.0005,63.1
194,0.0001,63.21
195,0.0001,63.43
196,0.0006,63.19
197,0.0004,62.98
198,0.0001,63.44
199,0.0003,63.01
200,0.0004,63.13
