epoch,loss,val_acc
1,2.6954,10.84
2,1.6349,21.89
3,1.1965,24.32
4,1.1223,27.67
5,1.0097,27.39
6,0.9514,29.68
7,0.9725,29.11
8,0.8415,31.67
9,0.8209,35.97
10,0.7616,35.68
11,0.7291,38.9
12,0.7221,36.91
13,0.6708,39.59
14,0.6393,38.25
15,0.6016,42.76
16,0.5832,41.09
17,0.5657,43.4
18,0.5562,44.45
19,0.5214,46.78
20,0.5054,47.57
21,0.4845,49.53
22,0.4697,45.03
23,0.4492,52.76
24,0.4358,49.79
25,0.4138,50.13
26,0.4032,55.56
27,0.3913,54.52
28,0.3732,50.87
29,0.3547,53.68
30,0.3488,56.36
31,0.3436,56.65
32,0.3429,54.73
33,0.3058,56.42
34,0.2937,56.7
35,0.2875,56.08
36,0.2842,56.17
37,0.4969,59.0
38,0.2966,54.95
39,0.264,56.79
40,0.2546,57.55
41,0.2373,59.22
42,0.2239,57.7
43,0.2226,58.53
44,0.2123,57.01
45,0.2024,57.47
46,0.1978,59.81
47,0.188,57.71
48,0.1909,59.81
49,0.1817,59.44
50,0.173,57.83
51,0.1578,57.37
52,0.1568,58.0
53,0.1556,60.2
54,0.1465,60.57
55,0.1433,57.6
56,0.1361,59.82
57,0.1251,58.53
58,0.1248,57.92
59,0.1262,59.48
60,0.1094,60.49
61,0.1142,59.01
62,0.1166,60.28
63,0.1031,61.51
64,0.1011,59.0
65,0.1065,59.99
66,0.0911,61.12
67,0.0918,61.02
68,0.0957,61.5
69,0.0893,59.96
70,0.0788,60.9
71,0.0854,59.22
72,0.0785,59.65
73,0.0868,60.9
74,0.0728,60.16
75,0.0663,60.14
76,0.0657,60.23
77,0.0648,59.02
78,0.0658,61.21
79,0.0646,60.79
80,0.0589,61.93
81,0.0547,59.45
82,0.0579,59.93
83,0.0595,60.11
84,0.0563,60.2
85,0.0471,61.04
86,0.0522,62.57
87,0.0477,58.51
88,0.0443,62.52
89,0.0407,60.07
90,0.0486,62.29
91,0.0442,61.61
92,0.034,60.52
93,0.039,61.36
94,0.0376,61.59
95,0.0406,58.84
96,0.0354,61.64
97,0.0337,60.25
98,0.0358,60.66
99,0.0373,62.75
100,0.0269,59.02
101,0.0311,61.9
102,0.0277,61.08
103,0.0291,60.92
104,0.0224,60.86
105,0.0278,61.66
106,0.022,61.4
107,0.0226,61.44
108,0.0217,60.83
109,0.0276,61.76
110,0.0202,62.4
111,0.0207,62.54
112,0.0223,60.7
113,0.0213,61.48
114,0.017,61.75
115,0.0189,61.45
116,0.0158,60.69
117,0.0202,60.35
118,0.015,60.33
119,0.0132,61.38
120,0.017,60.72
121,0.0146,61.3
122,0.0149,62.22
123,0.0151,61.98
124,0.0144,60.62
125,0.0163,61.03
126,0.0087,61.2
127,0.0085,60.73
128,0.012,61.67
129,0.0135,62.32
130,0.009,61.95
131,0.0065,60.92
132,0.0085,60.76
133,0.0335,60.52
134,0.0087,61.6
135,0.0076,60.82
136,0.0071,62.45
137,0.0039,62.14
138,0.0059,60.1
139,0.0054,61.12
140,0.0048,60.51
141,0.0064,60.6
142,0.0062,62.11
143,0.0044,61.27
144,0.0046,63.25
145,0.004,62.43
146,0.0069,62.66
147,0.0051,62.63
148,0.0036,61.33
149,0.0039,61.19
150,0.0048,62.86
151,0.0036,62.91
152,0.0034,62.26
153,0.0036,62.38
154,0.0016,60.95
155,0.0035,61.26
156,0.003,62.16
157,0.0013,62.22
158,0.0023,62.02
159,0.0026,61.3
160,0.002,62.43
161,0.0029,62.09
162,0.001,62.79
163,0.0016,61.41
164,0.0028,61.69
165,0.0015,61.6
166,0.0011,61.65
167,0.0014,61.88
168,0.0014,62.34
169,0.0009,61.7
170,0.0012,62.46
171,0.0011,62.41
172,0.0012,62.64
173,0.0004,61.98
174,0.0011,62.08
175,0.0012,61.77
176,0.0007,62.38
177,0.0002,61.8
178,0.001,62.03
179,0.0011,62.29
180,0.0006,62.11
181,0.001,62.06
182,0.0003,62.15
183,0.0002,62.55
184,0.0006,62.32
185,0.0005,62.8
186,0.0006,62.7
187,0.0003,62.76
188,0.0005,62.99
189,0.0009,62.66
190,0.0005,62.76
191,0.0003,62.81
192,0.0001,62.55
193,0.0006,62.63
194,0.0017,62.98
195,0.0007,62.33
196,0.0005,62.62
197,0.0007,62.6
198,0.0002,62.81
199,0.0004,62.75
200,0.0007,62.77
