epoch,loss,val_acc
1,1.3929,19.07
2,1.3248,22.74
3,1.1453,28.13
4,1.0955,22.88
5,1.1255,24.39
6,1.0798,25.49
7,1.062,29.81
8,1.0383,24.71
9,1.0135,27.42
10,1.0093,25.12
11,0.9852,27.88
12,0.967,29.46
13,0.9343,31.91
14,0.9383,25.24
15,0.9173,33.72
16,0.8938,29.41
17,0.8928,36.72
18,0.8726,33.0
19,0.8608,34.71
20,0.8491,31.24
21,0.8414,33.22
22,0.8364,32.5
23,0.819,34.23
24,0.8171,35.62
25,0.7973,37.29
26,0.8009,36.9
27,0.7808,35.94
28,0.7684,39.14
29,0.7617,41.22
30,0.7578,37.49
31,0.7355,40.69
32,0.7331,41.31
33,0.726,38.47
34,0.716,37.05
35,0.7063,37.85
36,0.695,36.95
37,0.6919,40.59
38,0.6878,40.01
39,0.6829,43.3
40,0.6695,38.2
41,0.6568,45.4
42,0.6466,42.32
43,0.6415,43.44
44,0.6435,42.47
45,0.6332,37.04
46,0.6187,41.77
47,0.6193,45.98
48,0.5994,41.85
49,0.5957,45.21
50,0.5914,43.98
51,0.5829,43.15
52,0.5693,45.81
53,0.5695,42.82
54,0.5536,47.02
55,0.5464,48.07
56,0.5495,47.03
57,0.5334,46.42
58,0.5247,45.21
59,0.5262,44.33
60,0.5111,46.01
61,0.4979,46.05
62,0.4843,47.1
63,0.4901,48.31
64,0.4791,47.06
65,0.4657,50.18
66,0.4638,48.09
67,0.4541,46.75
68,0.4484,47.58
69,0.4392,48.35
70,0.4308,48.61
71,0.429,49.28
72,0.4119,49.88
73,0.3982,49.68
74,0.4022,48.13
75,0.3886,52.52
76,0.371,48.73
77,0.367,48.23
78,0.3614,49.58
79,0.3599,48.98
80,0.3467,50.33
81,0.3319,50.78
82,0.3228,51.8
83,0.3178,51.65
84,0.3163,49.66
85,0.3139,47.56
86,0.2955,49.48
87,0.3059,47.46
88,0.2814,48.93
89,0.2777,50.48
90,0.2717,47.52
91,0.2792,48.9
92,0.2539,49.75
93,0.2566,49.2
94,0.2523,50.33
95,0.2341,48.78
96,0.2379,48.15
97,0.227,49.21
98,0.2186,47.58
99,0.2196,49.43
100,0.2051,47.46
101,0.2018,49.35
102,0.1988,47.68
103,0.1959,48.81
104,0.1898,48.89
105,0.174,46.65
106,0.176,48.96
107,0.1687,49.06
108,0.1756,48.5
109,0.165,46.89
110,0.1579,47.14
111,0.1523,49.73
112,0.1465,48.85
113,0.1352,48.35
114,0.1395,49.45
115,0.1369,49.44
116,0.1287,50.31
117,0.1261,47.84
118,0.1238,47.45
119,0.1119,47.83
120,0.1135,50.56
121,0.1146,49.48
122,0.1046,48.54
123,0.1045,48.13
124,0.0944,49.74
125,0.0973,48.24
126,0.0964,48.97
127,0.0951,48.67
128,0.0829,49.84
129,0.0835,48.72
130,0.0832,49.94
131,0.0736,46.83
132,0.0757,49.14
133,0.0744,49.03
134,0.0702,48.92
135,0.0689,47.38
136,0.0675,48.34
137,0.0652,48.34
138,0.0604,48.96
139,0.0568,47.11
140,0.0569,48.72
141,0.0527,49.1
142,0.0487,47.7
143,0.0552,47.55
144,0.0541,48.67
145,0.0463,48.1
146,0.0432,49.03
147,0.0463,48.96
148,0.0467,48.2
149,0.0381,49.14
150,0.0403,47.48
151,0.0365,49.41
152,0.0336,48.22
153,0.0351,48.68
154,0.0322,47.87
155,0.0309,48.19
156,0.0294,48.68
157,0.0258,48.29
158,0.0286,48.13
159,0.0234,48.18
160,0.0248,48.15
161,0.0206,48.53
162,0.0191,48.65
163,0.024,48.71
164,0.02,48.49
165,0.0183,48.47
166,0.0162,48.49
167,0.0145,48.46
168,0.0166,48.09
169,0.0164,48.22
170,0.0173,47.95
171,0.0141,48.16
172,0.0136,48.4
173,0.0123,48.0
174,0.0138,48.16
175,0.0117,48.68
176,0.0102,48.5
177,0.0119,48.56
178,0.0112,48.89
179,0.0102,48.71
180,0.0102,48.79
181,0.0084,48.21
182,0.0075,48.69
183,0.0093,48.98
184,0.0094,48.21
185,0.0091,48.43
186,0.0089,48.46
187,0.007,48.55
188,0.0077,48.54
189,0.0084,48.36
190,0.0072,48.37
191,0.0073,48.61
192,0.0078,48.66
193,0.0077,48.51
194,0.0081,48.75
195,0.0081,48.74
196,0.0082,48.65
197,0.0064,48.63
198,0.0064,48.52
199,0.008,48.48
200,0.0062,48.47
