epoch,loss,val_acc
1,1.5023,19.03
2,1.2521,21.59
3,1.154,23.91
4,1.088,21.86
5,1.0366,27.08
6,1.0097,26.79
7,0.969,33.17
8,0.9422,29.52
9,0.9152,29.32
10,0.8833,30.03
11,0.8559,33.33
12,0.8543,32.24
13,0.8265,32.59
14,0.8163,35.15
15,0.8059,35.33
16,0.7822,33.2
17,0.7738,40.9
18,0.7628,38.77
19,0.7489,39.73
20,0.7332,35.15
21,0.7401,39.84
22,0.7108,37.3
23,0.7061,40.16
24,0.6927,42.7
25,0.6701,42.64
26,0.6664,40.06
27,0.6549,38.12
28,0.6426,42.33
29,0.6329,40.81
30,0.6353,43.72
31,0.6137,43.83
32,0.606,42.87
33,0.5872,41.14
34,0.5726,46.0
35,0.5612,45.24
36,0.5583,40.46
37,0.5374,44.39
38,0.5227,43.87
39,0.5126,46.37
40,0.4952,44.54
41,0.4857,45.43
42,0.464,46.34
43,0.454,45.35
44,0.4269,45.67
45,0.4252,44.56
46,0.4058,43.94
47,0.3925,46.52
48,0.3757,43.44
49,0.3628,47.77
50,0.3492,45.47
51,0.3391,46.47
52,0.3158,44.97
53,0.3062,46.32
54,0.286,48.06
55,0.2719,46.83
56,0.279,46.91
57,0.2496,47.22
58,0.2369,46.09
59,0.2362,46.18
60,0.2169,47.68
61,0.2052,46.48
62,0.195,45.36
63,0.1866,48.2
64,0.1772,45.73
65,0.1718,47.67
66,0.1626,48.65
67,0.1545,45.86
68,0.1543,46.0
69,0.1419,45.77
70,0.1272,47.41
71,0.13,47.21
72,0.1242,47.99
73,0.1219,47.54
74,0.1179,49.09
75,0.1058,48.08
76,0.104,48.25
77,0.0932,46.68
78,0.0967,47.46
79,0.0872,47.72
80,0.0855,48.18
81,0.0802,46.09
82,0.0814,47.24
83,0.072,46.67
84,0.0736,46.36
85,0.0705,46.23
86,0.07,49.27
87,0.0624,48.34
88,0.0675,47.42
89,0.0611,48.12
90,0.0521,46.18
91,0.0536,47.48
92,0.0568,47.13
93,0.0531,47.44
94,0.0465,46.37
95,0.043,46.68
96,0.0451,47.28
97,0.0436,46.43
98,0.0466,47.44
99,0.0384,45.88
100,0.0421,45.73
101,0.0402,47.96
102,0.0362,48.12
103,0.0371,45.63
104,0.0295,47.55
105,0.0313,46.24
106,0.0324,47.26
107,0.0311,46.32
108,0.0309,47.37
109,0.025,46.03
110,0.0291,46.72
111,0.0201,47.77
112,0.0274,47.78
113,0.0228,47.22
114,0.0252,47.04
115,0.0222,47.09
116,0.0176,47.66
117,0.0182,46.0
118,0.0198,46.82
119,0.0163,49.0
120,0.0114,47.43
121,0.0179,47.55
122,0.013,47.88
123,0.013,47.0
124,0.012,47.14
125,0.0138,47.49
126,0.0155,46.55
127,0.0119,47.01
128,0.0118,45.6
129,0.0072,46.25
130,0.0082,45.64
131,0.0076,46.98
132,0.0062,47.78
133,0.0102,47.17
134,0.0061,46.94
135,0.0045,46.53
136,0.0067,46.46
137,0.0061,46.79
138,0.0057,47.09
139,0.0056,46.97
140,0.0064,47.02
141,0.0054,46.98
142,0.0063,48.07
143,0.0032,46.69
144,0.0035,46.78
145,0.0031,46.5
146,0.0045,47.55
147,0.0031,47.58
148,0.0016,46.36
149,0.0019,47.8
150,0.0036,47.52
151,0.0043,46.72
152,0.0015,46.91
153,0.0013,47.13
154,0.002,46.57
155,0.0026,47.27
156,0.002,46.86
157,0.0013,46.92
158,0.0027,47.34
159,0.0012,47.66
160,0.0011,46.56
161,0.001,46.74
162,0.0009,46.06
163,0.0011,46.28
164,0.0008,46.63
165,0.0002,46.88
166,0.0008,46.38
167,0.0007,46.37
168,0.001,46.7
169,0.0008,46.41
170,0.0004,46.34
171,0.0005,46.23
172,0.0007,47.54
173,0.0005,47.12
174,0.0004,46.84
175,0.0003,47.18
176,0.0003,47.25
177,0.0007,46.94
178,0.0007,47.45
179,0.0007,47.4
180,0.0003,47.27
181,0.0003,47.34
182,0.0002,47.1
183,0.0003,47.16
184,0.0002,47.32
185,0.0002,47.33
186,0.0001,47.44
187,0.0001,47.48
188,0.0002,47.17
189,0.0003,47.27
190,0.0002,47.17
191,0.0001,47.2
192,0.0001,47.17
193,0.0001,47.17
194,0.0004,47.24
195,0.0001,47.27
196,0.0001,47.27
197,0.0001,47.27
198,0.0002,47.23
199,0.0001,47.25
200,0.0001,47.21
