epoch,loss,val_acc
1,1.5149,18.59
2,1.2404,23.67
3,1.1463,26.33
4,1.0656,25.7
5,1.0239,25.66
6,0.9994,26.32
7,0.9486,30.73
8,0.9248,26.07
9,0.9072,27.27
10,0.8805,30.55
11,0.8637,33.99
12,0.8474,31.94
13,0.8228,33.03
14,0.8139,31.83
15,0.8027,35.42
16,0.7779,35.58
17,0.7837,41.56
18,0.7639,37.41
19,0.7475,37.76
20,0.7328,38.46
21,0.7305,39.87
22,0.7147,36.82
23,0.7039,39.51
24,0.6864,39.71
25,0.6734,41.28
26,0.6734,42.66
27,0.6509,38.03
28,0.644,41.53
29,0.6361,40.89
30,0.6222,41.39
31,0.6057,43.21
32,0.5926,41.68
33,0.5882,42.46
34,0.5809,44.95
35,0.563,45.86
36,0.5542,40.7
37,0.5377,45.57
38,0.5187,45.37
39,0.5048,44.93
40,0.4947,42.06
41,0.4781,44.08
42,0.4577,44.24
43,0.4498,44.7
44,0.4366,43.1
45,0.4171,41.7
46,0.4089,43.37
47,0.383,45.27
48,0.3751,46.68
49,0.3546,48.77
50,0.3477,47.79
51,0.3241,46.78
52,0.3124,47.06
53,0.3063,42.48
54,0.2886,50.0
55,0.259,47.03
56,0.2488,48.11
57,0.2463,48.07
58,0.2244,47.73
59,0.2118,45.97
60,0.2024,47.7
61,0.1943,46.23
62,0.1892,47.16
63,0.1724,45.63
64,0.1557,46.85
65,0.1627,46.18
66,0.1512,44.65
67,0.138,46.22
68,0.1366,46.2
69,0.1293,47.77
70,0.1276,44.55
71,0.125,48.79
72,0.1106,47.65
73,0.1062,47.65
74,0.098,47.59
75,0.1033,48.47
76,0.0969,46.69
77,0.0984,47.49
78,0.0887,48.16
79,0.0885,46.62
80,0.0767,46.55
81,0.0793,48.03
82,0.0725,48.76
83,0.0738,48.28
84,0.0654,47.06
85,0.0697,47.45
86,0.0595,47.08
87,0.0577,46.11
88,0.0617,44.15
89,0.0589,45.71
90,0.0551,46.44
91,0.0517,48.16
92,0.0555,46.42
93,0.0435,47.72
94,0.0481,47.61
95,0.0457,47.57
96,0.0461,46.24
97,0.041,45.4
98,0.0381,46.56
99,0.034,47.45
100,0.032,48.53
101,0.0331,48.57
102,0.0324,48.09
103,0.033,47.84
104,0.0283,45.17
105,0.027,45.68
106,0.0285,47.1
107,0.0225,46.28
108,0.0219,47.04
109,0.0268,46.51
110,0.0213,46.56
111,0.0215,47.79
112,0.0223,46.06
113,0.0256,45.8
114,0.0204,47.59
115,0.0212,46.67
116,0.0155,45.75
117,0.0162,47.0
118,0.0134,46.61
119,0.0162,46.43
120,0.0125,45.94
121,0.0153,45.94
122,0.0116,47.25
123,0.015,46.71
124,0.0123,45.66
125,0.0097,47.54
126,0.009,48.0
127,0.0093,47.04
128,0.0088,46.68
129,0.01,47.38
130,0.0087,47.6
131,0.0098,45.45
132,0.006,46.88
133,0.0074,47.76
134,0.0056,47.45
135,0.0082,47.92
136,0.0061,47.48
137,0.0065,46.34
138,0.0064,47.3
139,0.0046,48.63
140,0.0048,47.17
141,0.0032,47.73
142,0.0045,47.88
143,0.0031,46.86
144,0.0041,47.72
145,0.0037,46.93
146,0.0028,47.38
147,0.0049,48.63
148,0.0033,46.97
149,0.0027,47.5
150,0.0018,47.39
151,0.0019,46.49
152,0.0022,46.61
153,0.0016,47.68
154,0.0023,47.91
155,0.0015,47.88
156,0.0011,48.4
157,0.0017,47.62
158,0.0011,47.59
159,0.0007,47.54
160,0.0015,47.97
161,0.0016,48.09
162,0.0014,46.87
163,0.0011,47.17
164,0.0004,47.48
165,0.0005,48.07
166,0.0005,47.67
167,0.0007,47.86
168,0.0005,47.74
169,0.0015,46.92
170,0.0005,46.71
171,0.0006,46.46
172,0.0008,46.7
173,0.0007,46.89
174,0.0002,47.22
175,0.0002,47.24
176,0.0002,47.61
177,0.0003,47.65
178,0.0003,47.72
179,0.0001,47.66
180,0.0004,47.39
181,0.0002,47.34
182,0.0001,47.42
183,0.0004,47.39
184,0.0001,47.47
185,0.0003,47.32
186,0.0002,47.29
187,0.0007,47.17
188,0.0001,47.25
189,0.0004,47.35
190,0.0001,47.41
191,0.0001,47.41
192,0.0002,47.38
193,0.0002,47.29
194,0.0002,47.32
195,0.0001,47.28
196,0.0001,47.32
197,0.0001,47.38
198,0.0003,47.48
199,0.0001,47.43
200,0.0001,47.43
