epoch,loss,val_acc
1,2.2502,16.82
2,1.3758,26.5
3,1.0881,28.48
4,0.9853,29.83
5,0.905,33.63
6,0.8634,34.53
7,0.7996,39.56
8,0.7408,39.66
9,0.714,41.67
10,0.689,43.4
11,0.6489,44.58
12,0.6184,44.2
13,0.5914,49.59
14,0.5674,46.35
15,0.5508,49.06
16,0.5343,49.55
17,0.5224,50.73
18,0.5009,49.99
19,0.491,51.22
20,0.4627,50.25
21,0.4509,54.45
22,0.4457,53.84
23,0.4312,54.07
24,0.412,54.89
25,0.4044,55.95
26,0.3909,56.16
27,0.3753,54.79
28,0.3664,56.91
29,0.3615,54.04
30,0.3457,56.4
31,0.3302,56.25
32,0.3193,54.39
33,0.3183,57.26
34,0.2991,55.54
35,0.2939,56.57
36,0.2864,55.71
37,0.2692,57.65
38,0.2658,57.54
39,0.2652,58.99
40,0.2456,57.74
41,0.2515,57.84
42,0.2393,56.79
43,0.2207,57.88
44,0.2201,58.83
45,0.2167,56.73
46,0.2112,56.7
47,0.2036,57.51
48,0.1919,56.38
49,0.1874,57.73
50,0.1787,56.59
51,0.178,55.99
52,0.1766,55.19
53,0.1668,57.22
54,0.1513,56.31
55,0.1567,56.44
56,0.1529,60.15
57,0.1399,58.75
58,0.1372,56.97
59,0.1283,58.88
60,0.1332,58.87
61,0.1251,58.06
62,0.1176,59.18
63,0.1208,56.68
64,0.1111,55.89
65,0.1113,56.47
66,0.1121,58.47
67,0.1147,59.38
68,0.0998,57.79
69,0.0936,58.98
70,0.0898,56.85
71,0.0951,58.49
72,0.0855,59.48
73,0.0891,58.38
74,0.0817,60.42
75,0.0836,59.39
76,0.0818,57.51
77,0.0813,58.1
78,0.0827,58.62
79,0.0663,57.14
80,0.0656,58.99
81,0.0662,59.85
82,0.0694,58.97
83,0.0637,57.79
84,0.0592,59.33
85,0.0604,59.51
86,0.0672,57.7
87,0.0648,58.0
88,0.0586,58.6
89,0.0561,58.28
90,0.0494,57.96
91,0.0591,59.29
92,0.0481,58.29
93,0.0499,57.66
94,0.0477,59.23
95,0.0433,59.79
96,0.0457,58.8
97,0.0442,57.46
98,0.0435,58.5
99,0.0477,58.42
100,0.035,59.17
101,0.0379,59.66
102,0.037,59.24
103,0.0337,60.07
104,0.0344,58.77
105,0.033,59.69
106,0.0372,58.4
107,0.0354,57.47
108,0.0362,59.73
109,0.0329,57.41
110,0.0326,57.31
111,0.0326,57.4
112,0.028,57.77
113,0.0273,57.75
114,0.0253,58.75
115,0.0256,58.43
116,0.0221,57.77
117,0.0239,59.0
118,0.0252,58.84
119,0.0236,59.06
120,0.0225,59.18
121,0.0219,58.01
122,0.0212,58.87
123,0.0176,59.07
124,0.0192,60.46
125,0.0153,60.06
126,0.0172,58.91
127,0.0172,59.88
128,0.0166,59.79
129,0.0191,58.58
130,0.0155,59.72
131,0.0143,59.44
132,0.0122,58.75
133,0.0158,58.62
134,0.0126,59.02
135,0.0112,58.79
136,0.0085,58.11
137,0.0103,59.39
138,0.0097,59.62
139,0.0101,58.62
140,0.0126,59.7
141,0.011,59.86
142,0.01,60.16
143,0.0116,59.56
144,0.0117,59.78
145,0.0079,60.55
146,0.0086,59.0
147,0.0074,59.31
148,0.0076,59.78
149,0.0087,59.62
150,0.0071,60.14
151,0.0074,59.04
152,0.0061,59.46
153,0.0075,60.32
154,0.0044,59.89
155,0.0046,60.4
156,0.0061,60.52
157,0.005,59.78
158,0.0036,59.06
159,0.005,59.11
160,0.005,60.33
161,0.0056,60.28
162,0.0029,59.93
163,0.0037,60.04
164,0.0053,59.64
165,0.0038,59.68
166,0.0042,59.02
167,0.0034,59.66
168,0.0024,59.87
169,0.0029,59.72
170,0.0031,59.92
171,0.0034,59.99
172,0.0036,59.46
173,0.0026,59.8
174,0.0031,60.22
175,0.0026,59.72
176,0.0031,59.48
177,0.0021,59.68
178,0.002,59.61
179,0.002,60.2
180,0.0017,59.84
181,0.0021,60.3
182,0.0015,59.86
183,0.003,59.6
184,0.0023,59.93
185,0.0023,59.65
186,0.002,59.72
187,0.0017,59.77
188,0.0023,59.67
189,0.0027,60.11
190,0.0021,59.61
191,0.0017,59.67
192,0.0017,59.8
193,0.0016,59.22
194,0.0014,59.62
195,0.0019,59.55
196,0.0017,59.79
197,0.0023,59.66
198,0.0019,59.89
199,0.0025,59.63
200,0.0018,59.3
