epoch,loss,val_acc
1,2.2441,17.08
2,1.3676,29.03
3,1.0672,28.1
4,0.9699,31.18
5,0.9141,30.96
6,0.8615,35.21
7,0.8023,35.0
8,0.7568,39.0
9,0.7102,38.85
10,0.6863,44.71
11,0.65,44.05
12,0.6284,45.94
13,0.5991,47.4
14,0.5682,48.29
15,0.5582,50.76
16,0.537,48.73
17,0.5186,49.61
18,0.5013,49.74
19,0.4886,50.89
20,0.4727,50.93
21,0.4468,56.42
22,0.4398,51.25
23,0.4162,55.69
24,0.4115,55.24
25,0.402,55.35
26,0.3928,54.23
27,0.3751,55.87
28,0.3719,55.61
29,0.3475,55.92
30,0.3493,57.71
31,0.3342,56.73
32,0.3208,53.81
33,0.3172,58.53
34,0.3059,58.72
35,0.291,56.77
36,0.2888,54.93
37,0.2705,56.57
38,0.271,57.28
39,0.2592,56.83
40,0.2458,56.12
41,0.2457,56.53
42,0.232,58.55
43,0.2269,58.3
44,0.2164,58.46
45,0.2159,57.43
46,0.2115,57.72
47,0.1953,58.32
48,0.1921,57.92
49,0.186,58.76
50,0.1913,59.12
51,0.1759,58.54
52,0.1737,58.76
53,0.1672,56.88
54,0.1613,57.81
55,0.1551,59.34
56,0.1504,57.15
57,0.144,60.96
58,0.1353,57.98
59,0.1333,59.4
60,0.1315,59.9
61,0.1328,57.6
62,0.1181,60.79
63,0.1236,59.56
64,0.1133,57.82
65,0.1105,59.17
66,0.1038,58.77
67,0.1047,58.76
68,0.1033,59.57
69,0.095,57.08
70,0.1006,58.18
71,0.0894,58.65
72,0.0899,58.07
73,0.091,59.16
74,0.0911,58.4
75,0.0748,60.91
76,0.08,60.81
77,0.0738,59.87
78,0.0834,60.38
79,0.0703,59.43
80,0.0683,59.11
81,0.0676,58.71
82,0.0672,58.69
83,0.0678,58.25
84,0.0669,58.91
85,0.0556,59.03
86,0.0619,59.53
87,0.0586,58.69
88,0.0594,60.39
89,0.0502,58.49
90,0.0493,59.61
91,0.0525,58.95
92,0.0627,59.9
93,0.0498,59.15
94,0.0439,60.07
95,0.0486,59.73
96,0.044,58.03
97,0.0428,60.08
98,0.0443,57.96
99,0.0415,59.63
100,0.0381,60.16
101,0.0368,59.29
102,0.0349,58.51
103,0.0395,59.33
104,0.0324,58.39
105,0.0307,58.96
106,0.0353,58.89
107,0.0331,59.09
108,0.0333,58.98
109,0.03,59.21
110,0.0271,58.67
111,0.0283,59.36
112,0.0262,58.39
113,0.0229,57.73
114,0.0295,59.3
115,0.0248,58.76
116,0.0243,59.51
117,0.0264,59.51
118,0.0203,59.17
119,0.0215,60.42
120,0.0175,58.73
121,0.0221,59.55
122,0.0186,58.85
123,0.0225,58.99
124,0.0166,60.18
125,0.0189,59.95
126,0.0153,59.18
127,0.0152,60.32
128,0.0162,59.54
129,0.0152,58.63
130,0.0121,59.11
131,0.0132,59.83
132,0.0101,58.83
133,0.0116,60.17
134,0.0138,58.43
135,0.0135,59.58
136,0.0098,60.32
137,0.0123,59.64
138,0.0124,59.37
139,0.0101,59.48
140,0.0096,59.93
141,0.013,59.34
142,0.0102,59.49
143,0.0088,59.17
144,0.0084,58.2
145,0.0092,60.55
146,0.0081,58.93
147,0.0063,59.59
148,0.0075,60.04
149,0.0067,61.06
150,0.005,60.64
151,0.0048,60.14
152,0.0049,60.32
153,0.0046,61.09
154,0.004,60.0
155,0.0053,59.32
156,0.0057,58.99
157,0.0057,60.39
158,0.0056,58.77
159,0.0045,60.38
160,0.006,60.3
161,0.005,60.4
162,0.0064,59.16
163,0.0035,59.23
164,0.0049,59.63
165,0.004,59.8
166,0.0041,59.2
167,0.0037,59.0
168,0.0037,59.23
169,0.0036,58.98
170,0.0028,59.67
171,0.002,59.9
172,0.0022,58.79
173,0.0024,59.41
174,0.0022,59.28
175,0.0028,59.53
176,0.0036,59.59
177,0.0022,59.27
178,0.0025,59.8
179,0.0022,60.09
180,0.0028,59.07
181,0.0019,59.5
182,0.0019,59.14
183,0.0016,59.23
184,0.0024,59.56
185,0.0019,59.54
186,0.0014,59.23
187,0.0021,59.6
188,0.0022,59.4
189,0.0011,59.57
190,0.0018,59.42
191,0.0017,59.4
192,0.0016,59.48
193,0.0017,59.41
194,0.0013,59.5
195,0.002,59.69
196,0.0014,59.42
197,0.0021,59.58
198,0.0022,59.83
199,0.0016,59.33
200,0.0018,59.19
