epoch,wrn_so_count,wrn_so_pct,wrn_rho,vit_so_count,vit_so_pct,vit_rho,res_so_count,res_so_pct,res_rho
1,0,0.0,0.971,0,0.0,0.937,0,0.0,1.0
2,0,0.0,0.914,0,0.0,0.874,0,0.0,0.971
3,0,0.0,0.856,0,0.0,0.811,0,0.0,0.943
4,0,0.0,0.799,0,0.0,0.684,0,0.0,0.914
5,0,0.0,0.741,0,0.0,0.621,0,0.0,0.886
6,0,0.0,0.684,0,0.0,0.558,0,0.0,0.857
7,0,0.0,0.626,0,0.0,0.432,0,0.0,0.829
8,0,0.0,0.602,2,5.26,0.388,0,0.0,0.8
9,0,0.0,0.564,6,15.79,0.362,0,0.0,0.771
10,0,0.0,0.531,8,21.05,0.337,0,0.0,0.743
11,0,0.0,0.498,8,21.05,0.287,0,0.0,0.714
12,0,0.0,0.464,8,21.05,0.261,0,0.0,0.69
13,0,0.0,0.431,8,21.05,0.236,0,0.0,0.67
14,0,0.0,0.397,8,21.05,0.186,0,0.0,0.65
15,0,0.0,0.381,8,21.05,0.16,0,0.0,0.63
16,0,0.0,0.35,8,21.05,0.15,0,0.0,0.61
17,0,0.0,0.328,8,21.05,0.14,0,0.0,0.59
18,0,0.0,0.309,8,21.05,0.12,0,0.0,0.57
19,0,0.0,0.289,8,21.05,0.11,0,0.0,0.55
20,0,0.0,0.27,8,21.05,0.1,0,0.0,0.53
21,0,0.0,0.25,8,21.05,0.079,0,0.0,0.51
22,0,0.0,0.231,8,21.05,0.069,0,0.0,0.49
23,0,0.0,0.221,8,21.05,0.063,0,0.0,0.476
24,0,0.0,0.203,8,21.05,0.055,0,0.0,0.462
25,0,0.0,0.191,8,21.05,0.051,0,0.0,0.448
26,0,0.0,0.179,8,21.05,0.047,0,0.0,0.434
27,0,0.0,0.168,8,21.05,0.043,0,0.0,0.42
28,0,0.0,0.157,8,21.05,0.035,0,0.0,0.406
29,0,0.0,0.146,8,21.05,0.031,0,0.0,0.392
30,0,0.0,0.14,8,21.05,0.026,0,0.0,0.378
31,0,0.0,0.129,8,21.05,0.023,0,0.0,0.364
32,0,0.0,0.118,8,21.05,0.021,0,0.0,0.35
33,7,6.67,0.111,8,21.05,0.02,0,0.0,0.338
