epoch,loss,val_acc
1,2.7424,10.4
2,1.682,20.49
3,1.2576,26.14
4,1.0943,27.52
5,1.0234,29.04
6,0.9357,30.04
7,0.8737,33.16
8,0.8246,34.98
9,0.7822,36.3
10,0.7474,37.79
11,0.7096,35.3
12,0.7068,38.12
13,0.6567,40.06
14,0.6385,39.59
15,0.607,41.6
16,0.5719,44.73
17,0.5597,46.23
18,0.5757,44.78
19,0.5291,47.3
20,0.5081,43.29
21,0.4855,46.16
22,0.4681,49.12
23,0.4469,49.16
24,0.4229,54.29
25,0.402,54.85
26,0.3787,51.92
27,0.3738,54.11
28,0.3591,48.47
29,0.3459,53.85
30,0.3379,56.14
31,0.3126,56.48
32,0.3143,57.49
33,0.2921,54.64
34,0.2798,54.79
35,0.2525,57.58
36,0.2527,54.66
37,0.2535,57.22
38,0.2569,59.27
39,0.2265,57.99
40,0.2193,59.08
41,0.2032,59.34
42,0.1997,57.46
43,0.1958,60.9
44,0.189,58.78
45,0.1686,57.92
46,0.1627,59.29
47,0.1699,59.33
48,0.1674,60.36
49,0.1639,58.3
50,0.1511,58.14
51,0.1422,60.32
52,0.1357,58.97
53,0.1279,60.74
54,0.1412,58.83
55,0.1283,59.96
56,0.1171,60.67
57,0.122,57.33
58,0.1219,58.85
59,0.1094,61.48
60,0.1137,61.18
61,0.116,58.74
62,0.0967,60.6
63,0.0987,61.2
64,0.1017,61.02
65,0.0952,61.5
66,0.1045,62.93
67,0.0806,59.41
68,0.0752,59.85
69,0.0696,59.99
70,0.0727,61.33
71,0.0628,58.85
72,0.0706,58.93
73,0.0675,59.62
74,0.0612,59.65
75,0.069,60.78
76,0.0594,60.89
77,0.0624,58.55
78,0.0506,58.87
79,0.0528,57.85
80,0.0556,57.98
81,0.0516,59.54
82,0.0522,59.62
83,0.047,61.2
84,0.0446,60.72
85,0.0399,60.23
86,0.047,60.78
87,0.0478,58.15
88,0.045,59.34
89,0.0402,60.41
90,0.0428,58.85
91,0.0393,61.49
92,0.0347,59.82
93,0.0308,59.82
94,0.0291,60.94
95,0.0369,58.87
96,0.0365,62.37
97,0.0309,60.13
98,0.0279,61.39
99,0.0281,61.11
100,0.0285,59.43
101,0.0237,60.87
102,0.0239,59.5
103,0.0246,58.75
104,0.0256,60.68
105,0.0225,59.4
106,0.057,61.07
107,0.0297,60.18
108,0.0227,60.31
109,0.0186,61.61
110,0.019,60.63
111,0.0175,60.6
112,0.0186,59.1
113,0.0145,61.0
114,0.0125,60.05
115,0.0126,61.63
116,0.0199,62.05
117,0.0153,59.43
118,0.017,61.11
119,0.0158,61.37
120,0.013,59.86
121,0.0092,60.2
122,0.0123,59.44
123,0.014,59.32
124,0.0133,61.29
125,0.0119,62.0
126,0.0113,60.83
127,0.0091,61.31
128,0.0085,60.54
129,0.0068,60.87
130,0.0077,61.59
131,0.0074,61.01
132,0.0097,61.44
133,0.009,60.29
134,0.0049,61.11
135,0.01,63.48
136,0.0073,62.6
137,0.0057,62.28
138,0.0051,61.8
139,0.0072,62.51
140,0.007,61.41
141,0.0055,62.59
142,0.0055,61.55
143,0.0041,60.72
144,0.0058,60.96
145,0.0057,61.73
146,0.0054,62.28
147,0.0037,61.04
148,0.0039,61.74
149,0.0045,62.45
150,0.0043,61.28
151,0.0033,62.42
152,0.0042,61.99
153,0.0033,62.41
154,0.0035,61.4
155,0.004,61.26
156,0.0023,60.7
157,0.0021,61.6
158,0.001,60.77
159,0.0027,61.37
160,0.0027,61.92
161,0.0016,62.19
162,0.0014,61.35
163,0.0005,61.35
164,0.0015,62.65
165,0.0018,62.07
166,0.0013,62.3
167,0.0016,62.37
168,0.0016,62.57
169,0.0019,61.45
170,0.001,62.71
171,0.0009,62.58
172,0.0009,62.55
173,0.0008,62.3
174,0.0012,62.38
175,0.0014,61.75
176,0.0009,62.21
177,0.0007,62.27
178,0.0017,62.13
179,0.0007,61.94
180,0.0009,62.18
181,0.0009,62.22
182,0.0005,62.12
183,0.0004,62.09
184,0.0004,61.95
185,0.0005,62.34
186,0.0004,62.22
187,0.0006,62.36
188,0.001,62.19
189,0.0008,62.31
190,0.0003,62.22
191,0.0006,62.39
192,0.0004,62.2
193,0.0002,62.06
194,0.0002,62.62
195,0.0003,62.22
196,0.0005,62.43
197,0.001,62.0
198,0.0004,62.21
199,0.0004,62.15
200,0.0006,62.45
