epoch,loss,val_acc
1,1.2508,27.9
2,1.0111,27.35
3,0.9413,32.4
4,0.8479,35.99
5,0.8139,34.78
6,0.7683,39.14
7,0.7376,37.32
8,0.7119,41.83
9,0.687,39.13
10,0.6584,38.2
11,0.6303,42.7
12,0.6188,47.37
13,0.5937,40.88
14,0.5771,45.24
15,0.5521,45.98
16,0.5317,48.74
17,0.5212,44.3
18,0.5151,48.51
19,0.4947,45.68
20,0.4805,49.67
21,0.4747,53.22
22,0.455,52.42
23,0.454,50.46
24,0.425,51.79
25,0.4227,50.7
26,0.4162,54.78
27,0.4033,52.15
28,0.404,54.19
29,0.3876,52.82
30,0.3743,53.11
31,0.373,54.29
32,0.3646,52.82
33,0.3535,52.84
34,0.3423,54.63
35,0.3365,54.17
36,0.3251,55.11
37,0.3184,58.24
38,0.3083,55.14
39,0.305,57.1
40,0.2896,57.82
41,0.2865,54.4
42,0.2786,56.91
43,0.2771,59.89
44,0.2664,60.59
45,0.2683,55.78
46,0.2556,58.52
47,0.2533,58.65
48,0.2546,56.7
49,0.2365,59.01
50,0.2315,56.18
51,0.2374,55.6
52,0.2134,58.29
53,0.219,56.01
54,0.2151,56.13
55,0.2179,56.71
56,0.1991,58.68
57,0.199,60.14
58,0.1981,57.44
59,0.1872,58.35
60,0.1842,58.6
61,0.1854,55.8
62,0.1808,57.36
63,0.1702,58.64
64,0.1568,58.91
65,0.1649,59.41
66,0.1613,57.52
67,0.1586,58.69
68,0.1544,58.88
69,0.1585,58.62
70,0.1409,58.45
71,0.1436,56.94
72,0.1402,58.85
73,0.1359,56.75
74,0.1355,60.74
75,0.1291,57.12
76,0.127,61.97
77,0.122,57.19
78,0.1277,60.55
79,0.1169,59.39
80,0.1084,60.56
81,0.1134,58.37
82,0.1115,60.6
83,0.1091,58.07
84,0.1024,58.56
85,0.1067,58.78
86,0.0969,55.73
87,0.0937,58.38
88,0.0908,57.76
89,0.0913,58.61
90,0.0891,56.82
91,0.0913,59.47
92,0.0886,58.82
93,0.087,60.2
94,0.0801,58.91
95,0.081,59.03
96,0.0839,61.64
97,0.0787,58.82
98,0.0716,59.17
99,0.0692,61.37
100,0.0711,58.19
101,0.0679,58.24
102,0.0639,61.23
103,0.0673,60.33
104,0.0609,61.22
105,0.0674,55.57
106,0.0585,58.31
107,0.063,59.87
108,0.0528,62.25
109,0.048,60.03
110,0.048,59.21
111,0.0594,61.03
112,0.0532,59.08
113,0.0527,57.5
114,0.0527,58.63
115,0.0473,60.83
116,0.041,58.54
117,0.0428,59.28
118,0.0445,60.41
119,0.0416,60.17
120,0.0358,59.85
121,0.0375,61.84
122,0.0409,58.93
123,0.031,59.91
124,0.0306,60.66
125,0.0334,58.02
126,0.0356,60.18
127,0.0371,60.39
128,0.0305,60.97
129,0.0271,59.59
130,0.0252,58.58
131,0.0272,60.23
132,0.0286,58.41
133,0.0253,57.63
134,0.0218,58.65
135,0.0206,58.76
136,0.0241,58.93
137,0.0185,58.46
138,0.0208,59.01
139,0.0157,59.21
140,0.0174,59.51
141,0.0179,60.86
142,0.0185,60.87
143,0.0181,58.69
144,0.0165,59.68
145,0.0181,59.97
146,0.0153,59.64
147,0.0132,58.76
148,0.0131,60.67
149,0.0126,59.9
150,0.013,59.29
151,0.0097,58.98
152,0.0134,60.46
153,0.012,59.96
154,0.0104,59.17
155,0.0094,60.97
156,0.0095,59.04
157,0.0064,59.12
158,0.0081,59.45
159,0.0078,59.01
160,0.0065,59.72
161,0.0051,59.95
162,0.0051,60.4
163,0.0062,59.91
164,0.0046,60.41
165,0.0047,60.41
166,0.0038,59.63
167,0.0061,59.54
168,0.0047,58.95
169,0.0054,60.23
170,0.0048,60.44
171,0.0048,60.43
172,0.0043,59.62
173,0.0044,59.87
174,0.0038,60.3
175,0.0043,59.48
176,0.0042,59.99
177,0.0035,60.1
178,0.0027,59.35
179,0.0025,59.98
180,0.0036,59.71
181,0.0025,60.51
182,0.002,60.34
183,0.0039,60.05
184,0.0019,60.03
185,0.0034,59.94
186,0.0027,59.84
187,0.0025,60.21
188,0.0021,59.55
189,0.0025,59.81
190,0.0017,59.93
191,0.0019,59.76
192,0.0014,60.0
193,0.0018,59.55
194,0.0018,59.89
195,0.0024,59.75
196,0.0018,60.02
197,0.0016,59.82
198,0.0021,60.12
199,0.0017,60.04
200,0.0017,59.56
