epoch,loss,val_acc
1,2.2379,17.01
2,1.4326,27.41
3,1.068,27.79
4,0.9396,31.84
5,0.8651,33.45
6,0.8098,36.94
7,0.7437,36.61
8,0.6964,41.4
9,0.6598,44.07
10,0.6161,41.56
11,0.5862,46.61
12,0.5552,47.8
13,0.545,50.25
14,0.5102,50.1
15,0.4871,51.64
16,0.4788,51.19
17,0.45,50.71
18,0.4389,54.2
19,0.4207,51.93
20,0.4026,54.3
21,0.384,54.44
22,0.3768,56.1
23,0.3597,58.72
24,0.345,60.72
25,0.3222,58.01
26,0.3242,57.02
27,0.3037,57.81
28,0.3003,57.82
29,0.2811,57.28
30,0.267,58.89
31,0.2688,59.43
32,0.2561,56.11
33,0.2463,59.74
34,0.2396,60.66
35,0.2296,61.59
36,0.2253,60.86
37,0.2086,60.79
38,0.2027,57.53
39,0.1975,61.06
40,0.1894,59.37
41,0.1888,59.42
42,0.175,61.18
43,0.1726,61.74
44,0.1733,61.69
45,0.165,61.74
46,0.1603,62.45
47,0.1542,57.69
48,0.1468,59.79
49,0.135,58.43
50,0.1329,59.0
51,0.1259,60.15
52,0.1307,58.91
53,0.1193,59.92
54,0.119,59.2
55,0.1176,57.97
56,0.1139,58.67
57,0.1067,59.58
58,0.1094,58.95
59,0.1094,59.35
60,0.1041,58.79
61,0.103,60.94
62,0.0952,60.69
63,0.0907,59.94
64,0.0898,58.83
65,0.0842,60.19
66,0.0828,59.27
67,0.0863,61.32
68,0.0847,59.48
69,0.0798,60.87
70,0.068,58.39
71,0.0803,61.81
72,0.0752,60.61
73,0.0753,60.57
74,0.0693,59.97
75,0.0641,61.44
76,0.0685,61.12
77,0.0602,60.11
78,0.0585,61.2
79,0.0578,60.33
80,0.0609,60.7
81,0.0558,61.98
82,0.0531,60.9
83,0.0584,61.87
84,0.0505,60.33
85,0.0504,60.67
86,0.0459,60.71
87,0.0441,60.87
88,0.0484,61.13
89,0.0418,61.78
90,0.0459,59.58
91,0.0397,60.52
92,0.0419,60.1
93,0.0441,61.79
94,0.0405,60.28
95,0.0369,60.34
96,0.0383,60.26
97,0.0351,61.54
98,0.0356,60.41
99,0.0296,61.24
100,0.033,60.35
101,0.0294,58.95
102,0.0308,62.2
103,0.0281,61.56
104,0.0291,60.11
105,0.0287,60.87
106,0.0254,60.12
107,0.0294,62.17
108,0.0231,62.34
109,0.0192,61.62
110,0.0254,61.41
111,0.0291,59.87
112,0.021,60.34
113,0.0248,61.49
114,0.0261,61.37
115,0.0262,60.76
116,0.0164,60.75
117,0.0191,59.99
118,0.0196,59.06
119,0.0156,61.07
120,0.0212,59.88
121,0.0168,59.36
122,0.0147,62.2
123,0.0148,61.05
124,0.0127,61.03
125,0.0133,61.7
126,0.016,61.5
127,0.0145,61.54
128,0.0119,60.22
129,0.011,61.89
130,0.0125,62.36
131,0.0102,61.91
132,0.0108,61.33
133,0.0091,60.75
134,0.0107,61.07
135,0.0112,62.4
136,0.0087,61.85
137,0.0089,61.59
138,0.0086,60.61
139,0.0081,61.5
140,0.0078,61.28
141,0.0077,61.09
142,0.0061,61.35
143,0.0078,61.9
144,0.007,61.83
145,0.0069,62.26
146,0.0049,61.77
147,0.0076,61.55
148,0.0078,62.36
149,0.0059,60.74
150,0.0058,61.58
151,0.0041,62.53
152,0.0062,62.75
153,0.005,61.65
154,0.0042,62.11
155,0.0037,61.87
156,0.0027,60.4
157,0.0036,61.6
158,0.0052,61.36
159,0.0025,61.32
160,0.0032,61.53
161,0.0028,61.77
162,0.0032,61.38
163,0.0046,61.85
164,0.0052,61.79
165,0.0027,62.41
166,0.0021,62.08
167,0.0037,62.52
168,0.0035,62.69
169,0.0026,61.82
170,0.0022,61.79
171,0.0018,61.88
172,0.0021,62.18
173,0.0017,62.13
174,0.0021,62.74
175,0.0025,62.64
176,0.0018,62.42
177,0.0019,62.48
178,0.0014,62.31
179,0.0008,62.66
180,0.0013,62.19
181,0.0017,62.62
182,0.0016,62.35
183,0.0021,62.11
184,0.0015,62.02
185,0.0018,62.2
186,0.0012,61.53
187,0.0014,61.92
188,0.0008,62.16
189,0.0014,62.33
190,0.0019,62.2
191,0.0014,62.13
192,0.0011,62.57
193,0.002,61.94
194,0.0011,62.09
195,0.0017,62.03
196,0.0012,62.44
197,0.001,62.26
198,0.0016,62.7
199,0.0018,61.86
200,0.0018,61.92
