epoch,loss,val_acc
1,1.463,21.04
2,1.1042,24.04
3,1.0022,28.27
4,0.9337,28.22
5,0.8981,28.8
6,0.8456,32.66
7,0.8046,35.34
8,0.7671,32.77
9,0.7324,38.34
10,0.7207,38.46
11,0.6839,40.46
12,0.6564,43.11
13,0.6316,45.33
14,0.6146,45.76
15,0.6038,39.79
16,0.578,44.32
17,0.5622,43.54
18,0.5525,45.93
19,0.5344,49.44
20,0.5205,46.13
21,0.5096,48.98
22,0.4972,45.86
23,0.4874,49.14
24,0.4775,48.74
25,0.4611,48.96
26,0.4555,51.39
27,0.4398,52.52
28,0.4315,53.27
29,0.4202,48.0
30,0.4099,53.71
31,0.4018,52.88
32,0.3925,55.08
33,0.3867,51.88
34,0.3641,53.26
35,0.3693,52.62
36,0.3544,52.15
37,0.3459,51.59
38,0.3429,57.07
39,0.3332,55.13
40,0.3338,54.27
41,0.3251,55.28
42,0.3125,57.94
43,0.3065,53.27
44,0.2898,57.64
45,0.2918,57.44
46,0.2884,56.24
47,0.2821,55.1
48,0.2762,57.12
49,0.2639,56.53
50,0.2602,60.11
51,0.2506,58.51
52,0.2479,57.8
53,0.2402,55.8
54,0.2368,56.4
55,0.232,55.04
56,0.2247,57.27
57,0.2255,57.64
58,0.2164,56.02
59,0.2064,56.14
60,0.2156,57.45
61,0.2065,54.99
62,0.2017,56.53
63,0.1967,58.51
64,0.1865,56.78
65,0.1943,59.47
66,0.1832,58.35
67,0.1795,60.49
68,0.1719,56.99
69,0.1678,58.86
70,0.164,58.21
71,0.1645,57.65
72,0.1685,60.29
73,0.1524,56.42
74,0.149,59.87
75,0.1501,56.96
76,0.1436,58.74
77,0.1394,59.71
78,0.1456,57.43
79,0.1337,61.46
80,0.133,58.34
81,0.1194,57.74
82,0.1247,58.63
83,0.1263,58.35
84,0.115,59.63
85,0.1155,58.85
86,0.1098,54.91
87,0.1105,58.35
88,0.1054,59.4
89,0.1079,59.61
90,0.102,60.06
91,0.1011,60.72
92,0.1023,57.98
93,0.0952,58.83
94,0.0948,59.46
95,0.0933,58.15
96,0.0863,60.77
97,0.0889,56.77
98,0.0875,58.7
99,0.0814,59.18
100,0.083,58.88
101,0.0755,60.54
102,0.0742,60.07
103,0.0721,57.32
104,0.0763,56.26
105,0.0678,59.56
106,0.0652,58.38
107,0.0697,58.07
108,0.0654,60.96
109,0.0696,58.63
110,0.0624,59.39
111,0.067,58.39
112,0.0556,58.09
113,0.0609,59.83
114,0.0533,59.31
115,0.0555,59.05
116,0.058,61.25
117,0.05,59.52
118,0.0427,59.79
119,0.0505,60.06
120,0.0467,59.77
121,0.0463,60.75
122,0.0461,57.97
123,0.0452,58.18
124,0.0387,57.3
125,0.0356,58.36
126,0.0437,58.7
127,0.0367,59.76
128,0.0335,58.87
129,0.0334,58.78
130,0.0319,59.72
131,0.0365,58.41
132,0.0275,58.67
133,0.0278,58.57
134,0.0314,58.83
135,0.0265,59.91
136,0.0281,59.66
137,0.0272,59.14
138,0.0259,59.01
139,0.0236,59.24
140,0.0207,59.71
141,0.0247,58.31
142,0.0213,59.96
143,0.0231,59.08
144,0.0195,59.28
145,0.0191,60.0
146,0.0188,60.14
147,0.0197,59.83
148,0.0194,60.2
149,0.0142,60.04
150,0.0167,58.53
151,0.0142,59.59
152,0.0137,59.73
153,0.0121,60.02
154,0.0126,59.84
155,0.011,59.46
156,0.0084,59.62
157,0.01,60.07
158,0.0104,59.26
159,0.0091,59.22
160,0.0099,60.08
161,0.0091,60.06
162,0.0095,60.08
163,0.0095,59.08
164,0.0068,59.61
165,0.0089,60.24
166,0.0064,59.99
167,0.0078,59.37
168,0.0067,59.77
169,0.0067,59.54
170,0.0059,59.74
171,0.006,59.82
172,0.006,59.52
173,0.0047,59.67
174,0.0057,59.88
175,0.0052,59.97
176,0.0055,59.21
177,0.0046,59.48
178,0.0058,59.89
179,0.0028,60.29
180,0.0039,59.1
181,0.005,59.75
182,0.0041,59.63
183,0.0049,59.53
184,0.0043,60.05
185,0.0038,59.74
186,0.0027,59.96
187,0.0037,60.26
188,0.0036,59.27
189,0.0027,60.04
190,0.0027,59.86
191,0.0022,59.65
192,0.0031,60.02
193,0.0024,59.38
194,0.0026,59.35
195,0.004,59.46
196,0.0025,60.03
197,0.003,59.89
198,0.0043,60.05
199,0.0032,59.75
200,0.0026,59.62
