epoch,loss,val_acc
1,1.3553,23.13
2,1.1141,26.44
3,0.984,29.99
4,0.9091,31.71
5,0.8453,35.92
6,0.801,36.07
7,0.7562,35.91
8,0.724,40.69
9,0.69,42.97
10,0.676,36.51
11,0.6472,40.24
12,0.6244,44.68
13,0.6101,43.77
14,0.5821,43.14
15,0.5781,49.47
16,0.5601,45.62
17,0.5425,47.78
18,0.5311,47.75
19,0.5237,49.4
20,0.5074,46.75
21,0.5053,52.43
22,0.4938,48.64
23,0.4884,50.32
24,0.4826,51.21
25,0.4685,50.03
26,0.47,50.59
27,0.4493,53.2
28,0.4409,54.64
29,0.4345,46.29
30,0.4318,53.76
31,0.4276,53.95
32,0.42,53.58
33,0.4225,50.58
34,0.4101,49.61
35,0.408,47.82
36,0.4013,50.47
37,0.3847,49.62
38,0.3863,55.83
39,0.3741,52.57
40,0.3849,51.64
41,0.3798,53.14
42,0.3638,54.74
43,0.368,54.61
44,0.3612,52.93
45,0.3652,56.59
46,0.3663,56.4
47,0.3514,52.21
48,0.3523,52.99
49,0.3437,58.34
50,0.3462,54.39
51,0.3507,53.1
52,0.3412,52.22
53,0.323,50.89
54,0.3323,55.66
55,0.3268,44.3
56,0.3178,60.92
57,0.3195,56.48
58,0.3203,53.68
59,0.3058,59.54
60,0.311,59.52
61,0.3044,51.67
62,0.3017,57.83
63,0.2965,53.71
64,0.2936,53.32
65,0.2993,54.47
66,0.2805,57.47
67,0.2926,62.92
68,0.2744,58.52
69,0.2867,56.16
70,0.2765,52.78
71,0.2784,58.39
72,0.2713,58.63
73,0.2608,56.58
74,0.2699,58.43
75,0.2563,61.56
76,0.2623,55.99
77,0.2492,56.45
78,0.2607,62.8
79,0.2433,57.64
80,0.2347,56.13
81,0.2402,61.16
82,0.2374,56.59
83,0.2439,60.68
84,0.2301,59.21
85,0.2321,56.4
86,0.2191,60.11
87,0.2198,57.16
88,0.2275,58.17
89,0.2028,61.16
90,0.2052,57.63
91,0.2151,61.14
92,0.2126,56.62
93,0.1969,57.71
94,0.1988,58.02
95,0.199,57.4
96,0.1949,60.02
97,0.198,56.74
98,0.1866,57.0
99,0.1911,60.94
100,0.1791,58.79
101,0.1724,56.64
102,0.1726,59.84
103,0.1722,57.21
104,0.1671,62.18
105,0.1668,57.88
106,0.1659,58.97
107,0.1644,57.6
108,0.145,58.71
109,0.1448,58.38
110,0.145,58.96
111,0.1594,57.53
112,0.1451,58.71
113,0.1431,61.39
114,0.132,58.23
115,0.1375,61.73
116,0.1334,58.61
117,0.1314,59.59
118,0.132,60.67
119,0.1157,60.74
120,0.1178,61.08
121,0.116,60.0
122,0.1117,60.5
123,0.105,60.43
124,0.1028,56.07
125,0.11,60.31
126,0.1055,62.31
127,0.0987,60.21
128,0.0967,60.27
129,0.0942,59.9
130,0.093,59.47
131,0.0866,60.52
132,0.0856,59.58
133,0.088,59.74
134,0.0755,59.77
135,0.0732,58.31
136,0.0726,59.4
137,0.0696,58.69
138,0.0679,59.53
139,0.0689,59.18
140,0.068,58.75
141,0.0605,61.5
142,0.0635,62.21
143,0.0559,59.49
144,0.0519,59.39
145,0.0596,61.21
146,0.0523,57.5
147,0.0496,61.59
148,0.0465,61.14
149,0.0432,63.82
150,0.0454,60.78
151,0.0431,63.29
152,0.0354,59.74
153,0.0318,61.73
154,0.036,59.96
155,0.0357,61.21
156,0.0317,59.55
157,0.0309,59.52
158,0.0294,60.54
159,0.0243,61.12
160,0.0279,61.19
161,0.0202,59.99
162,0.0245,61.24
163,0.0199,60.81
164,0.0192,60.75
165,0.0164,60.62
166,0.0124,61.89
167,0.0136,61.99
168,0.0138,61.73
169,0.0152,61.48
170,0.0119,61.45
171,0.0113,63.21
172,0.0115,60.94
173,0.0072,62.49
174,0.0093,61.49
175,0.0068,61.21
176,0.0066,62.18
177,0.0077,61.64
178,0.006,61.94
179,0.0052,61.02
180,0.006,60.41
181,0.005,61.92
182,0.0049,61.74
183,0.0054,61.94
184,0.0043,61.93
185,0.0042,60.98
186,0.0037,61.29
187,0.0036,61.94
188,0.0029,61.32
189,0.0027,61.35
190,0.0033,61.29
191,0.0029,61.07
192,0.003,61.77
193,0.003,60.79
194,0.0035,61.07
195,0.0038,61.19
196,0.002,61.48
197,0.0023,61.55
198,0.0026,61.35
199,0.0025,61.34
200,0.0027,60.86
