epoch,so_count,total_blocks,so_pct,rho,nu,kfac_inv_ok,kfac_inv_tot,loss,val_acc
1,0,21,0.0,1.0,0.0,0,0,2.1665,18.5
2,0,21,0.0,0.971,0.0,0,0,1.3119,28.93
3,0,21,0.0,0.943,0.0,0,0,1.037,27.71
4,0,21,0.0,0.914,0.024,0,0,0.9628,31.34
5,0,21,0.0,0.886,0.036,0,0,0.8993,35.64
6,0,21,0.0,0.857,0.083,0,0,0.8738,38.33
7,0,21,0.0,0.829,0.143,0,0,0.7905,41.43
8,0,21,0.0,0.8,0.202,0,0,0.7445,38.57
9,0,21,0.0,0.771,0.286,0,0,0.7113,43.26
10,0,21,0.0,0.743,0.333,0,0,0.6851,41.62
11,0,21,0.0,0.714,0.357,0,0,0.6368,49.36
12,0,21,0.0,0.69,0.357,0,0,0.6085,47.23
13,0,21,0.0,0.67,0.357,0,0,0.5851,46.13
14,0,21,0.0,0.65,0.345,0,0,0.5533,48.74
15,0,21,0.0,0.63,0.345,0,0,0.5427,49.89
16,0,21,0.0,0.61,0.333,0,0,0.5219,48.66
17,0,21,0.0,0.59,0.321,0,0,0.5111,48.81
18,0,21,0.0,0.57,0.298,0,0,0.5021,51.98
19,0,21,0.0,0.55,0.31,0,0,0.4791,51.82
20,0,21,0.0,0.53,0.274,0,0,0.4562,51.46
21,0,21,0.0,0.51,0.345,0,0,0.4565,53.6
22,0,21,0.0,0.49,0.345,0,0,0.4358,54.29
23,0,21,0.0,0.476,0.345,0,0,0.4173,54.57
24,0,21,0.0,0.462,0.357,0,0,0.4105,54.45
25,0,21,0.0,0.448,0.357,0,0,0.395,55.05
26,0,21,0.0,0.434,0.357,0,0,0.3815,56.78
27,0,21,0.0,0.42,0.369,0,0,0.3638,56.38
28,0,21,0.0,0.406,0.345,0,0,0.3613,55.38
29,0,21,0.0,0.392,0.286,0,0,0.3395,55.47
30,0,21,0.0,0.378,0.25,0,0,0.328,58.15
31,0,21,0.0,0.364,0.202,0,0,0.3246,55.55
32,0,21,0.0,0.35,0.19,0,0,0.3206,54.02
33,0,21,0.0,0.338,0.19,0,0,0.3046,57.97
34,0,21,0.0,0.338,0.19,0,0,0.2954,56.96
35,0,21,0.0,0.329,0.202,0,0,0.2929,56.95
36,0,21,0.0,0.319,0.202,0,0,0.2756,57.79
37,0,21,0.0,0.309,0.202,0,0,0.263,57.59
38,0,21,0.0,0.299,0.19,0,0,0.264,57.52
39,0,21,0.0,0.289,0.155,0,0,0.2455,58.18
40,0,21,0.0,0.28,0.143,0,0,0.2403,56.3
41,0,21,0.0,0.27,0.155,0,0,0.2348,57.82
42,0,21,0.0,0.26,0.179,0,0,0.2242,57.23
43,0,21,0.0,0.25,0.131,0,0,0.213,56.82
44,0,21,0.0,0.24,0.179,0,0,0.2155,60.37
45,0,21,0.0,0.234,0.179,0,0,0.2057,56.65
46,0,21,0.0,0.227,0.155,0,0,0.2043,59.28
47,0,21,0.0,0.22,0.167,0,0,0.1945,58.36
48,0,21,0.0,0.213,0.155,0,0,0.1843,56.19
49,0,21,0.0,0.206,0.155,0,0,0.1794,59.59
50,0,21,0.0,0.199,0.202,0,0,0.1766,58.04
51,0,21,0.0,0.192,0.262,0,0,0.1636,56.34
52,0,21,0.0,0.186,0.19,0,0,0.157,57.98
53,0,21,0.0,0.179,0.202,0,0,0.1611,59.86
54,0,21,0.0,0.172,0.19,0,0,0.1547,58.15
55,1,21,4.76,0.166,0.19,1,1,0.1523,57.77
56,3,21,14.29,0.161,0.214,3,3,0.1395,59.3
57,5,21,23.81,0.156,0.214,5,5,0.1384,57.32
58,6,21,28.57,0.152,0.214,6,6,0.1362,57.74
59,6,21,28.57,0.147,0.226,6,6,0.1288,59.71
60,6,21,28.57,0.142,0.238,6,6,0.1263,58.22
61,6,21,28.57,0.137,0.238,6,6,0.1255,58.15
62,6,21,28.57,0.132,0.19,6,6,0.1218,58.15
63,6,21,28.57,0.128,0.214,6,6,0.114,57.8
64,6,21,28.57,0.123,0.167,6,6,0.1112,58.64
65,6,21,28.57,0.118,0.202,6,6,0.1069,58.67
66,6,21,28.57,0.115,0.202,6,6,0.1038,61.17
67,6,21,28.57,0.115,0.202,0,0,0.1007,58.77
68,6,21,28.57,0.111,0.179,6,6,0.0994,59.86
69,6,21,28.57,0.108,0.179,6,6,0.0926,58.69
70,6,21,28.57,0.105,0.167,6,6,0.0908,58.4
71,6,21,28.57,0.101,0.155,6,6,0.0996,58.95
72,6,21,28.57,0.098,0.131,6,6,0.0911,58.21
73,6,21,28.57,0.095,0.167,6,6,0.0794,60.11
74,6,21,28.57,0.091,0.25,6,6,0.0833,59.97
75,6,21,28.57,0.088,0.238,6,6,0.0778,59.45
76,6,21,28.57,0.085,0.298,6,6,0.079,59.0
77,6,21,28.57,0.082,0.298,6,6,0.0802,57.9
78,6,21,28.57,0.079,0.31,6,6,0.075,59.2
79,6,21,28.57,0.077,0.31,6,6,0.0788,58.28
80,6,21,28.57,0.075,0.333,6,6,0.0697,60.02
81,6,21,28.57,0.072,0.357,6,6,0.0557,58.36
82,6,21,28.57,0.07,0.333,6,6,0.0704,60.3
83,6,21,28.57,0.067,0.357,6,6,0.0703,58.66
84,6,21,28.57,0.065,0.357,6,6,0.0645,58.26
85,6,21,28.57,0.063,0.357,6,6,0.0591,58.47
86,6,21,28.57,0.06,0.357,6,6,0.063,58.39
87,6,21,28.57,0.058,0.357,6,6,0.053,58.38
88,6,21,28.57,0.056,0.345,6,6,0.0538,58.84
89,6,21,28.57,0.055,0.369,6,6,0.0533,57.07
90,6,21,28.57,0.053,0.381,6,6,0.0512,60.0
91,6,21,28.57,0.051,0.369,6,6,0.0529,56.93
92,6,21,28.57,0.05,0.357,6,6,0.0497,59.15
93,6,21,28.57,0.048,0.321,6,6,0.0456,59.64
94,6,21,28.57,0.047,0.298,6,6,0.0465,58.2
95,6,21,28.57,0.045,0.274,6,6,0.041,59.11
96,6,21,28.57,0.043,0.274,6,6,0.0354,58.28
97,6,21,28.57,0.042,0.274,6,6,0.0468,58.82
98,6,21,28.57,0.04,0.298,6,6,0.0482,58.35
99,6,21,28.57,0.039,0.31,6,6,0.045,60.29
100,6,21,28.57,0.038,0.286,6,6,0.0426,59.08
101,6,21,28.57,0.038,0.286,0,0,0.0363,59.3
102,6,21,28.57,0.037,0.274,6,6,0.0349,59.41
103,6,21,28.57,0.036,0.274,6,6,0.0317,60.07
104,6,21,28.57,0.034,0.298,6,6,0.0325,57.91
105,6,21,28.57,0.033,0.286,6,6,0.0349,58.59
106,6,21,28.57,0.032,0.214,6,6,0.0326,59.37
107,6,21,28.57,0.031,0.25,6,6,0.032,58.6
108,6,21,28.57,0.03,0.274,6,6,0.0286,59.17
109,6,21,28.57,0.029,0.274,6,6,0.0325,59.1
110,6,21,28.57,0.028,0.286,6,6,0.027,58.47
111,6,21,28.57,0.027,0.286,6,6,0.0261,58.75
112,6,21,28.57,0.026,0.298,6,6,0.0294,58.31
113,6,21,28.57,0.025,0.321,6,6,0.0281,57.8
114,6,21,28.57,0.025,0.31,6,6,0.0219,60.06
115,6,21,28.57,0.024,0.286,6,6,0.0243,58.35
116,6,21,28.57,0.023,0.333,6,6,0.0207,58.88
117,6,21,28.57,0.022,0.31,6,6,0.0229,58.72
118,6,21,28.57,0.021,0.262,6,6,0.0223,57.93
119,6,21,28.57,0.02,0.226,6,6,0.0234,59.86
120,6,21,28.57,0.02,0.179,6,6,0.0215,59.3
121,6,21,28.57,0.019,0.202,6,6,0.0218,59.48
122,6,21,28.57,0.019,0.202,6,6,0.022,58.55
123,6,21,28.57,0.018,0.179,6,6,0.0195,59.78
124,6,21,28.57,0.017,0.179,6,6,0.0179,59.89
125,6,21,28.57,0.017,0.238,6,6,0.0179,59.46
126,6,21,28.57,0.016,0.238,6,6,0.0187,59.56
127,6,21,28.57,0.016,0.226,6,6,0.021,58.12
128,6,21,28.57,0.015,0.262,6,6,0.0156,58.86
129,6,21,28.57,0.015,0.262,6,6,0.0182,58.49
130,6,21,28.57,0.014,0.262,6,6,0.0109,59.49
131,6,21,28.57,0.014,0.25,6,6,0.0132,60.53
132,6,21,28.57,0.013,0.274,6,6,0.0129,58.99
133,6,21,28.57,0.013,0.25,6,6,0.0145,58.4
134,6,21,28.57,0.013,0.25,0,0,0.0119,59.13
135,6,21,28.57,0.013,0.25,6,6,0.0115,58.58
136,6,21,28.57,0.012,0.274,6,6,0.0098,60.21
137,6,21,28.57,0.012,0.286,6,6,0.0102,59.46
138,6,21,28.57,0.011,0.357,6,6,0.008,59.74
139,6,21,28.57,0.011,0.369,6,6,0.0117,59.71
140,6,21,28.57,0.011,0.381,6,6,0.0081,59.74
141,6,21,28.57,0.01,0.333,6,6,0.0099,58.25
142,6,21,28.57,0.01,0.321,6,6,0.0083,59.33
143,6,21,28.57,0.01,0.31,6,6,0.0089,58.29
144,6,21,28.57,0.009,0.357,6,6,0.0089,59.5
145,6,21,28.57,0.009,0.369,6,6,0.0078,59.46
146,6,21,28.57,0.009,0.357,6,6,0.0072,58.58
147,6,21,28.57,0.008,0.31,6,6,0.0085,58.19
148,6,21,28.57,0.008,0.25,6,6,0.008,59.53
149,6,21,28.57,0.008,0.238,6,6,0.0056,59.72
150,6,21,28.57,0.008,0.214,6,6,0.0066,60.0
151,6,21,28.57,0.007,0.226,6,6,0.008,59.5
152,6,21,28.57,0.007,0.274,6,6,0.0065,58.89
153,6,21,28.57,0.007,0.274,6,6,0.0067,59.05
154,6,21,28.57,0.007,0.238,6,6,0.0047,59.53
155,6,21,28.57,0.006,0.214,6,6,0.0051,60.21
156,6,21,28.57,0.006,0.262,6,6,0.0052,59.79
157,6,21,28.57,0.006,0.333,6,6,0.0067,60.23
158,6,21,28.57,0.006,0.369,6,6,0.0052,59.58
159,6,21,28.57,0.006,0.333,6,6,0.0052,60.19
160,6,21,28.57,0.005,0.274,6,6,0.004,59.42
161,6,21,28.57,0.005,0.262,6,6,0.0032,59.21
162,6,21,28.57,0.005,0.19,6,6,0.0067,59.42
163,6,21,28.57,0.005,0.202,6,6,0.006,60.55
164,6,21,28.57,0.005,0.226,6,6,0.0048,60.01
165,6,21,28.57,0.005,0.214,6,6,0.0027,59.81
166,6,21,28.57,0.004,0.25,6,6,0.0033,59.94
167,6,21,28.57,0.004,0.25,0,0,0.0057,60.41
168,6,21,28.57,0.004,0.226,6,6,0.0033,60.68
169,6,21,28.57,0.004,0.19,6,6,0.0037,60.51
170,6,21,28.57,0.004,0.238,6,6,0.0049,60.56
171,6,21,28.57,0.004,0.238,6,6,0.0024,60.5
172,6,21,28.57,0.004,0.298,6,6,0.0032,59.82
173,6,21,28.57,0.004,0.298,6,6,0.0038,59.95
174,6,21,28.57,0.004,0.31,6,6,0.0025,59.75
175,6,21,28.57,0.003,0.274,6,6,0.0033,59.89
176,6,21,28.57,0.003,0.274,6,6,0.002,59.96
177,6,21,28.57,0.003,0.226,6,6,0.0013,59.85
178,6,21,28.57,0.003,0.202,6,6,0.0027,59.98
179,6,21,28.57,0.003,0.226,6,6,0.0014,60.34
180,6,21,28.57,0.003,0.155,6,6,0.0023,59.95
181,6,21,28.57,0.003,0.131,6,6,0.0018,60.11
182,6,21,28.57,0.003,0.083,6,6,0.0024,59.91
183,6,21,28.57,0.003,0.06,6,6,0.0028,60.17
184,6,21,28.57,0.003,0.048,6,6,0.0022,60.04
185,6,21,28.57,0.002,0.048,6,6,0.0024,59.79
186,6,21,28.57,0.002,0.048,6,6,0.0018,59.68
187,6,21,28.57,0.002,0.048,6,6,0.0018,60.09
188,6,21,28.57,0.002,0.06,6,6,0.0019,59.87
189,6,21,28.57,0.002,0.06,6,6,0.0018,60.08
190,6,21,28.57,0.002,0.06,6,6,0.0013,59.8
191,6,21,28.57,0.002,0.095,6,6,0.0019,59.88
192,6,21,28.57,0.002,0.179,6,6,0.0017,59.92
193,6,21,28.57,0.002,0.226,6,6,0.0012,59.91
194,6,21,28.57,0.002,0.226,6,6,0.0009,59.98
195,6,21,28.57,0.002,0.226,6,6,0.0012,60.18
196,6,21,28.57,0.002,0.226,6,6,0.0018,60.07
197,6,21,28.57,0.002,0.226,6,6,0.0018,60.0
198,6,21,28.57,0.002,0.214,6,6,0.0022,60.12
199,6,21,28.57,0.002,0.19,6,6,0.0022,59.89
200,6,21,28.57,0.002,0.19,6,6,0.0011,59.85
