epoch,val_acc,loss
1,19.06,1.7877
2,22.35,1.3212
3,25.45,1.206
4,26.64,1.1489
5,25.21,1.1048
6,27.57,1.0748
7,28.26,1.0407
8,27.5,1.0309
9,28.83,1.0461
10,20.64,1.0155
11,29.44,0.9494
12,30.64,0.9366
13,26.43,0.9044
14,33.0,0.8832
15,31.5,0.8937
16,28.92,0.8785
17,32.31,0.8837
18,31.4,0.8522
19,32.66,0.8194
20,32.65,0.8373
21,35.2,0.8466
22,36.09,0.8396
23,20.83,0.7739
24,10.0,0.816
25,36.17,0.781
26,32.17,0.7973
27,33.42,0.8293
28,34.97,0.8026
29,37.84,0.7539
30,35.42,0.7509
31,30.94,0.7905
32,35.24,0.7619
33,31.01,0.7371
34,35.77,0.7067
35,29.86,0.7202
36,36.69,0.7376
37,37.36,0.6947
38,21.77,0.7054
39,34.61,0.6879
40,34.26,0.651
41,38.64,0.6837
42,35.63,0.6632
43,36.42,0.7535
44,37.83,0.6491
45,37.24,0.7638
46,35.68,0.7266
47,35.29,0.7397
48,38.67,0.6444
49,31.3,0.6322
50,39.19,0.6754
51,33.82,0.656
52,39.48,0.659
53,36.59,0.6118
54,38.1,0.6796
55,37.6,0.6111
56,38.01,0.6575
57,39.08,0.6157
58,14.72,0.6777
59,37.85,0.633
60,38.88,0.6361
61,39.11,0.6464
62,37.55,0.5789
63,37.71,0.6154
64,37.34,0.6402
65,30.37,0.6641
66,31.71,0.5942
67,26.62,0.6094
68,38.68,0.6177
69,38.65,0.6159
70,39.28,0.6995
71,35.45,0.7665
72,37.71,0.6017
73,37.39,0.6607
74,37.37,0.695
75,38.59,0.6789
76,38.94,0.6022
77,11.13,0.6371
78,34.39,0.7415
79,32.66,0.8017
80,10.0,0.6445
81,36.06,0.6273
82,37.96,0.6685
83,36.6,0.6279
84,21.75,0.7952
85,38.06,0.6582
86,39.15,0.6691
87,34.37,0.6578
88,40.37,0.6109
89,40.6,0.59
90,39.76,0.6048
91,40.11,0.5961
92,39.64,0.5982
93,39.88,0.5726
94,40.06,0.5655
95,39.43,0.5478
96,39.76,0.5336
97,39.73,0.5309
98,40.8,0.5146
99,40.35,0.5043
100,40.87,0.4996
101,40.07,0.4937
102,40.25,0.4931
103,37.62,0.4877
104,39.67,0.4712
105,40.61,0.4744
106,40.65,0.4707
107,40.44,0.4684
108,41.45,0.4617
109,40.76,0.4586
110,40.38,0.4595
111,40.47,0.4542
112,40.18,0.4487
113,40.74,0.4475
114,40.95,0.4454
115,40.81,0.4355
116,40.43,0.4378
117,40.32,0.4341
118,39.95,0.4334
119,40.57,0.4319
120,41.58,0.4211
121,41.26,0.4179
122,40.84,0.421
123,40.81,0.4226
124,40.82,0.4148
125,41.02,0.4157
126,40.9,0.409
127,40.9,0.4095
128,40.63,0.3996
129,40.72,0.4006
130,41.05,0.4057
131,39.67,0.3929
132,41.35,0.3923
133,40.92,0.3755
134,40.65,0.3877
135,41.33,0.3817
136,41.68,0.3799
137,41.21,0.3781
138,41.53,0.3783
139,41.57,0.3746
140,41.81,0.373
141,41.59,0.3627
142,41.39,0.3648
143,41.03,0.3601
144,41.57,0.3626
145,40.83,0.3544
146,41.31,0.3572
147,41.02,0.3526
148,41.87,0.3472
149,40.95,0.3442
150,41.21,0.3433
151,41.56,0.333
152,41.24,0.3382
153,41.71,0.3296
154,41.16,0.3312
155,41.51,0.3286
156,41.46,0.3256
157,41.54,0.3277
158,41.65,0.3172
159,41.34,0.3144
160,41.86,0.3075
161,41.54,0.3097
162,41.32,0.3068
163,41.91,0.2973
164,41.8,0.2994
165,41.7,0.2968
166,41.55,0.2901
167,41.6,0.2902
168,41.35,0.2877
169,41.49,0.2894
170,41.96,0.2852
171,41.74,0.2824
172,41.46,0.2823
173,41.8,0.2791
174,41.89,0.2742
175,41.65,0.2714
176,41.94,0.2704
177,42.01,0.2695
178,41.98,0.2694
179,41.91,0.2676
180,41.66,0.2681
181,41.87,0.2694
182,41.9,0.2655
183,41.88,0.2653
184,41.86,0.2626
185,41.74,0.2602
186,41.79,0.2623
187,41.88,0.2614
188,42.05,0.2583
189,41.68,0.259
190,41.56,0.2627
191,41.89,0.2595
192,41.8,0.2584
193,41.75,0.2575
194,42.07,0.258
195,41.8,0.2561
196,42.03,0.2574
197,41.77,0.2562
198,41.82,0.2559
199,41.8,0.2586
200,41.77,0.2578
