epoch,val_acc,loss
1,21.25,1.4657
2,23.37,1.2765
3,22.86,1.1823
4,25.58,1.1557
5,26.19,1.1159
6,26.28,1.0825
7,26.02,1.0556
8,27.47,1.0527
9,27.93,1.0229
10,30.8,1.0203
11,27.68,1.0033
12,30.02,0.9867
13,30.05,0.9803
14,29.41,0.9647
15,28.25,0.9564
16,28.35,0.9574
17,29.4,0.9634
18,29.1,0.9425
19,30.61,0.9381
20,31.41,0.9341
21,32.43,0.9275
22,32.81,0.9176
23,29.12,0.9133
24,31.91,0.9214
25,34.06,0.9014
26,32.32,0.9031
27,34.36,0.8931
28,32.47,0.8831
29,31.02,0.8956
30,33.9,0.8932
31,31.82,0.8669
32,34.83,0.8817
33,37.29,0.8688
34,33.12,0.8678
35,34.04,0.8532
36,35.87,0.8614
37,33.78,0.849
38,36.17,0.8462
39,33.53,0.841
40,35.33,0.8448
41,35.83,0.8357
42,36.55,0.827
43,35.0,0.8151
44,34.55,0.8137
45,33.34,0.8134
46,36.61,0.817
47,35.79,0.8097
48,33.48,0.8003
49,36.31,0.8015
50,35.83,0.8065
51,37.7,0.8026
52,37.65,0.788
53,35.55,0.7883
54,34.39,0.7936
55,39.61,0.785
56,38.52,0.7768
57,35.71,0.778
58,37.95,0.7657
59,38.28,0.7635
60,38.51,0.7576
61,40.88,0.767
62,38.06,0.7579
63,35.8,0.759
64,40.3,0.7504
65,37.89,0.7488
66,37.75,0.737
67,38.96,0.7316
68,40.5,0.7418
69,40.36,0.7292
70,39.17,0.736
71,40.97,0.7203
72,43.37,0.7197
73,39.22,0.7152
74,41.88,0.7023
75,38.46,0.6978
76,40.78,0.7026
77,41.1,0.695
78,40.11,0.6895
79,41.52,0.6935
80,39.5,0.68
81,41.99,0.6772
82,43.88,0.6727
83,39.44,0.6776
84,43.28,0.6584
85,41.93,0.6682
