epoch,val_acc,loss
1,18.58,1.5085
2,22.64,1.2803
3,25.04,1.1896
4,23.73,1.1352
5,22.76,1.1056
6,26.01,1.0748
7,24.33,1.0533
8,26.82,1.0351
9,27.52,1.0197
10,28.68,0.9995
11,26.98,0.9983
12,28.29,0.9809
13,30.06,0.9603
14,29.33,0.9499
15,27.66,0.9471
16,30.14,0.929
17,30.57,0.921
18,31.4,0.9202
19,32.36,0.9049
20,30.85,0.9062
21,33.43,0.8878
22,32.09,0.8803
23,33.2,0.8839
24,35.47,0.8745
25,31.79,0.8665
26,34.37,0.8566
27,33.98,0.8595
28,33.4,0.8536
29,34.13,0.8439
30,35.9,0.8312
31,34.11,0.819
32,34.84,0.8244
33,34.67,0.8151
34,36.61,0.8105
35,37.29,0.8054
36,37.04,0.798
37,37.48,0.7835
38,38.4,0.7827
39,39.86,0.7792
40,38.55,0.7639
41,36.19,0.7587
42,37.44,0.7547
43,38.56,0.7391
44,39.46,0.7455
45,36.55,0.734
46,38.44,0.7123
47,40.71,0.7162
48,39.25,0.7091
49,35.98,0.6998
50,39.16,0.6941
51,36.79,0.6819
52,39.78,0.6855
53,40.02,0.6814
54,40.48,0.6604
55,38.55,0.6656
56,40.86,0.6715
57,40.8,0.6514
58,38.19,0.6424
59,40.12,0.6426
60,41.67,0.6467
61,42.48,0.63
62,38.82,0.6265
63,41.33,0.6164
64,41.53,0.6021
65,38.67,0.6099
66,42.15,0.6046
67,40.86,0.5986
68,41.16,0.5841
69,42.02,0.5889
70,41.01,0.5766
71,41.0,0.5631
72,41.2,0.565
73,41.93,0.5528
74,42.22,0.543
75,40.65,0.5442
76,39.43,0.5346
77,42.09,0.5296
78,42.04,0.5179
79,41.68,0.5262
80,41.41,0.5098
81,42.91,0.4918
82,43.69,0.4864
83,41.99,0.4844
84,42.92,0.4771
85,41.46,0.4664
