epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,3.6129,15.89,5.0778,9.85,23.34,4.80,0.00,28.1
2,3.0085,25.96,4.6461,13.17,32.17,5.23,0.27,30.7
3,2.6758,33.00,4.3510,15.67,35.43,9.11,0.27,27.7
4,2.4419,37.11,4.2210,18.32,40.49,11.66,0.23,29.9
5,2.2442,41.33,4.1478,19.85,43.89,11.69,1.33,27.4
6,2.0982,43.91,4.0377,21.20,46.23,13.37,1.13,30.4
7,1.9802,46.57,4.0810,21.79,45.40,14.94,2.23,27.9
8,1.8714,49.04,3.8977,24.16,46.80,19.29,3.43,30.0
9,1.7757,51.34,3.9399,24.09,48.09,18.14,3.03,26.8
10,1.6418,54.15,3.9944,24.39,47.31,18.51,4.50,30.1
11,1.5643,55.53,3.9711,25.81,50.97,20.06,3.17,27.4
12,1.4478,59.09,4.0520,24.91,49.43,18.54,3.73,30.3
13,1.3560,60.60,3.9427,26.53,49.86,21.89,4.73,27.2
14,1.3068,62.17,4.0444,27.26,51.23,21.63,5.87,29.6
15,1.1868,64.98,4.1847,27.11,51.09,21.69,5.47,26.8
16,1.1169,66.99,4.1871,26.98,50.03,21.94,5.97,29.8
17,1.0359,68.84,4.1809,28.31,50.94,24.97,5.80,26.9
18,0.9711,70.70,4.1991,28.26,51.17,24.63,5.77,29.5
19,0.8925,72.91,4.3859,27.20,50.17,23.11,5.17,26.2
20,0.8246,74.68,4.3547,28.56,51.11,23.94,7.63,29.8
21,0.7678,76.24,4.5650,28.19,51.69,23.86,5.83,27.2
22,0.7029,77.84,4.6242,27.49,50.86,22.14,6.47,29.9
23,0.6321,80.66,4.7465,27.55,51.03,22.94,5.53,26.6
24,0.6046,81.08,4.6100,29.34,52.00,25.91,6.90,29.6
25,0.5447,83.14,4.7308,28.59,51.06,24.74,6.87,27.5
26,0.5051,83.96,4.9031,28.69,53.31,23.23,6.33,29.8
27,0.4697,85.49,4.9614,28.95,52.63,25.91,4.87,26.9
28,0.4191,86.95,4.9938,27.89,51.60,22.66,6.33,30.3
29,0.3914,87.49,5.0845,27.91,51.97,21.86,6.90,26.8
30,0.3585,88.60,5.1123,28.42,50.89,24.40,6.90,29.6
31,0.3405,89.53,5.1950,28.25,52.40,22.89,6.33,27.6
32,0.3213,89.94,5.4571,28.12,52.06,24.26,4.70,30.4
33,0.2861,91.00,5.3378,28.23,51.57,23.71,6.27,27.4
34,0.2642,91.89,5.3431,28.86,51.83,25.31,6.20,30.6
35,0.2408,92.64,5.4456,28.41,50.74,24.46,6.97,27.3
36,0.2299,92.62,5.3998,28.50,52.49,23.51,6.33,30.4
37,0.2141,93.57,5.5017,28.10,51.66,22.94,6.63,27.4
38,0.2003,93.88,5.5410,28.53,52.26,23.57,6.63,30.3
39,0.1893,94.19,5.6191,28.66,51.23,24.97,6.63,27.0
40,0.1819,94.38,5.7079,28.43,52.11,23.94,6.03,29.5
41,0.1612,95.16,5.6560,28.51,51.80,23.40,7.30,26.8
42,0.1426,95.66,5.7308,28.99,52.31,24.77,6.70,30.1
43,0.1348,96.09,5.8546,28.83,52.37,24.49,6.43,27.4
44,0.1450,95.54,5.7525,28.88,52.66,24.34,6.43,30.0
45,0.1210,96.49,5.7755,29.17,52.29,25.14,6.90,27.3
46,0.1142,96.55,5.8137,29.82,53.26,26.09,6.83,30.3
47,0.1136,96.30,5.8304,28.73,53.03,24.23,5.63,27.2
48,0.1052,96.86,5.8662,29.24,52.26,25.51,6.73,30.3
49,0.0893,97.15,5.9014,29.42,53.26,24.09,7.83,27.1
50,0.0921,97.33,5.9428,28.86,52.63,23.97,6.83,30.0
51,0.0805,97.66,6.0618,28.52,52.31,23.71,6.37,26.9
52,0.0877,97.33,5.9727,29.08,52.51,24.91,6.60,29.5
53,0.0678,98.06,5.9611,29.66,53.91,24.77,7.07,26.8
54,0.0663,98.00,6.0289,29.34,53.06,25.11,6.60,30.4
55,0.0624,98.17,6.1074,29.21,52.54,24.97,6.93,27.5
56,0.0548,98.41,6.0199,29.34,53.26,25.20,6.27,30.5
57,0.0531,98.52,6.1924,29.09,53.23,24.11,6.73,27.4
58,0.0528,98.37,6.2432,28.94,53.06,24.14,6.40,30.0
59,0.0423,98.82,6.1671,29.11,53.80,24.03,6.23,27.5
60,0.0405,98.91,6.1085,29.34,53.91,24.34,6.50,30.5
61,0.0319,99.10,6.1864,29.15,52.97,24.40,6.90,27.1
62,0.0336,99.01,6.2502,29.38,53.54,25.09,6.20,29.5
63,0.0291,99.23,6.1928,29.68,54.00,24.91,6.87,27.3
64,0.0281,99.25,6.2883,29.77,54.37,24.63,7.07,29.3
65,0.0273,99.26,6.3070,29.73,53.91,25.11,6.90,26.8
66,0.0266,99.23,6.3022,29.63,53.69,25.69,6.17,29.5
67,0.0185,99.54,6.2777,29.50,54.37,24.46,6.37,26.9
68,0.0180,99.43,6.2965,30.20,55.63,25.26,6.30,29.8
69,0.0190,99.52,6.2777,30.06,54.91,25.23,6.70,26.7
70,0.0174,99.52,6.4149,29.90,55.03,24.66,6.70,29.7
71,0.0125,99.71,6.3408,30.04,54.51,25.40,6.90,27.0
72,0.0129,99.70,6.3942,29.35,54.09,24.00,6.73,30.0
73,0.0100,99.79,6.2916,29.70,54.34,24.80,6.67,26.8
74,0.0097,99.78,6.3327,29.78,54.37,25.23,6.40,29.6
75,0.0093,99.75,6.3916,29.80,54.69,25.03,6.33,26.7
76,0.0093,99.81,6.3645,29.62,54.34,25.11,6.03,30.0
77,0.0097,99.79,6.3333,29.91,54.80,25.11,6.47,27.5
78,0.0060,99.88,6.3647,30.26,54.91,25.69,6.83,30.5
79,0.0057,99.89,6.3883,30.17,55.03,25.51,6.60,27.2
80,0.0055,99.93,6.4051,29.95,54.66,25.00,6.90,30.4
81,0.0050,99.89,6.3799,30.30,55.20,25.40,6.97,27.5
82,0.0043,99.92,6.3945,30.24,55.20,25.40,6.77,29.6
83,0.0046,99.93,6.3831,30.38,55.03,25.74,7.03,26.9
84,0.0042,99.93,6.3810,30.35,55.17,25.91,6.57,29.8
85,0.0045,99.92,6.3859,30.26,54.97,25.57,6.90,27.3
86,0.0056,99.92,6.3685,30.35,54.89,25.77,7.07,29.8
87,0.0045,99.91,6.3701,30.63,55.11,26.23,7.20,27.1
88,0.0028,99.98,6.3647,30.50,55.06,26.34,6.70,29.6
89,0.0036,99.92,6.3605,30.47,55.11,25.91,7.03,26.9
90,0.0029,99.95,6.3518,30.62,55.37,26.14,6.97,29.3
91,0.0038,99.91,6.3635,30.62,55.54,25.97,6.97,26.9
92,0.0045,99.90,6.3644,30.42,55.26,25.83,6.80,29.7
93,0.0035,99.94,6.3929,30.47,55.23,25.80,7.03,27.0
94,0.0029,99.97,6.3489,30.34,55.11,25.69,6.87,29.9
95,0.0028,99.97,6.3751,30.43,55.29,25.74,6.90,26.6
96,0.0039,99.93,6.3710,30.46,54.83,26.14,7.07,29.8
97,0.0027,99.98,6.3663,30.55,55.31,25.91,7.07,26.7
98,0.0027,99.97,6.3592,30.63,55.54,26.00,6.97,29.7
99,0.0030,99.95,6.3766,30.42,55.29,25.77,6.83,26.4
100,0.0032,99.95,6.3850,30.39,55.11,25.80,6.90,29.4
