epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,3.5905,15.47,5.6752,6.23,20.07,0.68,0.00,3.7
2,3.1251,23.49,5.1531,8.39,23.70,4.10,0.03,3.3
3,2.8695,28.00,4.8558,11.19,31.53,5.26,0.26,3.0
4,2.6983,31.31,4.8008,12.97,34.20,8.39,0.28,3.1
5,2.5231,34.87,4.7098,13.89,37.43,8.32,0.21,3.1
6,2.4041,37.43,4.5862,15.54,39.53,11.61,0.21,2.9
7,2.2686,39.85,4.5082,16.20,39.67,13.32,0.44,3.3
8,2.1779,42.08,4.6565,15.69,38.70,12.48,0.54,3.0
9,2.0824,43.76,4.3720,18.14,42.90,16.13,0.69,3.0
10,2.0066,45.86,4.6328,16.36,39.03,13.19,1.44,2.8
11,1.9330,46.90,4.5152,17.86,40.80,14.97,2.51,3.1
12,1.8516,48.16,4.5320,18.76,43.13,16.23,2.03,3.2
13,1.7950,50.49,4.3629,19.15,46.13,15.35,1.41,3.1
14,1.7090,51.62,4.4077,20.21,45.73,18.32,2.08,3.0
15,1.6666,52.97,4.3247,20.87,45.17,21.29,1.85,3.1
16,1.5950,54.59,4.2002,22.41,48.63,21.84,2.69,3.1
17,1.5307,56.47,4.4679,21.65,47.57,21.00,2.23,3.4
18,1.5072,56.65,4.3418,22.21,48.37,20.03,3.82,3.0
19,1.4400,58.29,4.5408,20.67,48.37,17.00,2.28,3.1
20,1.3606,59.77,4.4603,22.76,49.40,21.58,3.21,3.0
21,1.3143,61.29,4.5549,22.64,48.77,21.90,3.13,3.2
22,1.2598,62.43,4.5021,22.31,48.63,22.19,2.15,3.1
23,1.2285,64.21,4.3676,24.07,50.93,24.19,3.31,3.3
24,1.1635,65.39,4.4457,23.58,48.47,24.26,3.90,3.1
25,1.0901,67.46,4.5433,23.03,51.07,19.87,3.97,3.0
26,1.0530,68.30,4.7458,21.99,47.77,20.52,3.33,3.2
27,1.0169,68.99,4.6401,23.33,48.73,23.10,3.97,3.1
28,0.9801,70.04,4.6944,23.74,49.20,25.13,3.05,3.0
29,0.9043,72.33,4.7539,23.15,49.60,21.45,4.15,3.2
30,0.8571,74.08,4.6607,23.93,51.23,21.74,4.67,3.1
31,0.8356,73.98,4.6873,23.90,50.63,23.52,3.64,3.3
32,0.7757,75.83,4.5947,25.21,51.17,25.19,5.26,3.1
33,0.7332,77.08,4.8228,24.09,49.60,24.32,4.28,3.2
34,0.7003,78.37,4.7618,24.40,50.07,24.45,4.62,3.1
35,0.6527,79.40,4.8312,25.18,51.43,25.32,4.87,3.1
36,0.6070,81.10,4.9599,24.06,50.13,24.03,4.03,2.9
37,0.5666,82.21,4.9333,24.65,50.57,24.74,4.64,2.9
38,0.5422,82.87,4.9420,24.95,51.40,23.90,5.44,3.3
39,0.5080,84.60,5.0266,24.93,51.87,24.84,4.28,2.9
40,0.4751,85.50,5.0960,24.91,50.90,25.52,4.44,3.2
41,0.4433,86.14,5.1839,24.92,50.10,26.29,4.46,3.2
42,0.4039,87.29,4.9879,25.59,52.43,24.87,5.51,3.2
43,0.3788,88.27,5.0848,25.41,52.50,25.06,4.85,3.1
44,0.3674,88.78,5.0478,25.19,51.23,24.55,5.67,2.9
45,0.3414,89.08,5.1446,25.06,50.00,25.90,5.21,2.8
46,0.3112,90.53,5.1653,25.34,51.83,25.06,5.18,3.1
47,0.2817,91.43,5.1416,26.04,51.83,26.90,5.51,3.2
48,0.2677,91.79,5.2539,24.83,50.67,24.94,4.87,3.0
49,0.2619,92.22,5.1969,25.69,51.77,26.10,5.31,3.0
50,0.2512,92.26,5.2439,25.97,52.53,26.00,5.51,3.0
51,0.2354,93.03,5.3339,25.24,51.20,25.13,5.36,3.0
52,0.2094,93.66,5.2793,26.22,51.73,27.52,5.56,3.0
53,0.2020,94.00,5.2524,26.07,51.93,26.71,5.67,2.8
54,0.1811,94.78,5.3311,25.56,50.70,26.68,5.33,2.9
55,0.1771,94.78,5.3492,25.96,52.77,26.45,4.95,2.9
56,0.1604,95.38,5.2913,26.11,52.50,27.42,4.77,3.0
57,0.1580,95.11,5.3869,26.13,53.10,26.29,5.26,2.9
58,0.1354,96.18,5.3016,26.23,52.03,27.29,5.54,2.9
59,0.1359,96.07,5.3516,26.41,53.10,27.19,5.26,3.0
60,0.1272,96.28,5.4291,25.88,52.33,26.42,5.10,2.8
61,0.1126,96.76,5.3725,26.72,52.90,28.13,5.46,3.3
62,0.1141,96.73,5.3714,26.33,52.53,26.74,5.85,2.9
63,0.0907,97.61,5.4447,26.14,53.87,25.45,5.36,3.3
64,0.0961,97.46,5.4564,25.89,52.53,25.16,5.97,3.0
65,0.0852,97.68,5.4030,26.42,53.10,26.52,5.82,3.0
66,0.0756,98.01,5.4661,25.78,51.90,26.58,5.05,3.0
67,0.0689,98.18,5.3675,26.56,53.37,26.94,5.64,3.0
68,0.0613,98.55,5.4951,26.63,52.03,28.13,5.90,3.2
69,0.0583,98.48,5.4197,26.40,52.77,27.55,5.21,2.8
70,0.0515,98.76,5.3733,26.99,53.97,26.97,6.26,3.1
71,0.0413,99.13,5.5857,26.35,52.50,26.97,5.74,3.0
72,0.0422,98.94,5.5051,26.69,53.63,27.42,5.38,2.9
73,0.0320,99.40,5.4465,27.03,54.17,27.26,5.97,3.2
74,0.0339,99.17,5.4891,26.77,53.60,26.77,6.13,2.9
75,0.0264,99.49,5.5672,26.57,54.70,25.71,5.62,3.1
76,0.0289,99.35,5.5150,26.56,54.20,26.19,5.59,3.0
77,0.0253,99.51,5.4361,26.83,53.90,27.23,5.69,3.1
78,0.0240,99.41,5.5031,26.50,54.43,25.26,6.00,2.7
79,0.0206,99.56,5.4237,27.18,53.63,27.61,6.49,3.0
80,0.0183,99.69,5.4681,26.81,53.80,26.61,6.21,3.3
81,0.0180,99.68,5.4589,27.25,54.73,27.26,6.10,3.2
82,0.0137,99.85,5.5039,27.18,55.17,27.03,5.77,3.0
83,0.0142,99.67,5.4491,27.34,54.97,27.19,6.21,2.9
84,0.0115,99.79,5.5332,26.97,55.07,26.35,5.85,3.1
85,0.0102,99.86,5.4881,26.95,54.97,26.29,5.92,3.0
86,0.0100,99.87,5.5245,26.92,54.97,26.55,5.64,3.0
87,0.0090,99.89,5.4943,26.86,55.13,26.23,5.62,2.7
88,0.0089,99.91,5.4915,27.01,54.83,27.00,5.62,3.2
89,0.0085,99.88,5.4575,27.31,55.30,27.26,5.82,3.1
90,0.0083,99.89,5.4317,27.10,54.43,27.19,6.00,3.1
91,0.0066,99.96,5.4308,27.23,54.77,27.00,6.23,3.1
92,0.0077,99.88,5.5288,26.91,54.60,26.84,5.67,3.2
93,0.0068,99.94,5.4545,27.27,55.17,26.84,6.15,3.1
94,0.0059,99.98,5.4446,27.38,55.47,26.84,6.21,3.3
95,0.0067,99.92,5.4454,27.25,55.13,26.84,6.13,3.3
96,0.0056,99.97,5.4607,27.17,55.10,26.65,6.10,3.0
97,0.0060,99.95,5.4379,27.29,54.93,27.13,6.15,3.2
98,0.0073,99.92,5.4568,27.41,55.23,27.16,6.21,3.2
99,0.0054,99.95,5.4378,27.23,55.17,26.71,6.15,3.7
100,0.0060,99.96,5.4486,27.37,55.00,27.55,5.97,3.0
