epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,3.6774,14.75,5.0478,7.47,20.00,1.34,0.00,3.6
2,3.1958,22.25,4.6582,9.59,25.29,2.11,0.00,3.4
3,2.9626,26.86,4.5898,10.49,25.34,4.26,0.43,3.1
4,2.8066,29.67,4.2512,14.34,31.74,9.23,0.00,3.4
5,2.6121,33.28,4.2149,14.72,32.54,9.43,0.10,3.5
6,2.4788,36.07,4.0140,17.40,37.34,12.14,0.27,3.0
7,2.3624,38.03,4.1319,16.98,38.31,10.09,0.13,3.2
8,2.2709,40.26,4.1110,17.90,39.51,11.37,0.30,3.0
9,2.1689,42.56,3.9484,20.38,42.06,15.06,1.30,3.0
10,2.0838,44.17,3.8967,21.27,42.37,17.09,1.53,3.3
11,1.9896,46.45,3.8950,20.80,43.57,14.57,1.50,3.4
12,1.9471,47.15,3.8552,21.83,44.66,16.34,1.60,3.0
13,1.8634,48.90,3.8230,22.82,47.43,16.09,1.97,3.5
14,1.7758,50.51,3.8081,22.04,46.86,14.94,1.37,2.7
15,1.7292,51.28,3.8319,23.17,47.40,17.34,1.70,3.1
16,1.6553,53.23,3.9887,23.35,47.14,16.71,3.33,3.4
17,1.5815,54.54,4.0977,22.80,45.83,16.94,2.77,2.9
18,1.5380,56.23,3.8567,24.26,48.11,17.94,3.80,2.8
19,1.5103,56.85,3.8613,25.01,48.51,19.83,3.63,2.8
20,1.4363,58.18,3.8689,24.65,49.40,18.94,2.43,2.9
21,1.3734,60.30,3.7370,26.33,49.49,23.00,3.20,2.9
22,1.3157,61.71,3.9076,25.73,49.74,20.71,3.57,3.4
23,1.2625,62.39,3.8674,26.24,50.89,21.31,3.23,2.9
24,1.2168,63.82,3.8740,27.21,50.80,22.89,4.73,3.3
25,1.1514,65.58,4.0001,25.99,47.17,23.91,3.70,3.1
26,1.1172,65.81,3.9314,26.54,49.69,22.69,4.03,3.3
27,1.0565,67.83,4.0566,27.54,51.20,22.57,5.73,3.4
28,0.9983,69.83,4.0704,27.13,50.89,23.00,4.23,3.4
29,0.9342,71.29,4.1150,26.75,51.11,21.83,4.07,2.9
30,0.9040,72.21,4.1294,27.39,50.80,23.29,4.87,3.0
31,0.8456,73.44,4.2060,26.90,49.26,23.57,4.70,3.5
32,0.7954,75.21,4.0483,27.90,50.06,25.03,5.40,3.3
33,0.7426,76.98,4.1443,28.37,51.51,25.31,4.93,3.3
34,0.7053,77.60,4.2377,28.47,52.00,25.03,5.03,3.3
35,0.6629,79.71,4.2664,27.67,50.11,24.77,4.87,2.9
36,0.6236,80.52,4.2457,27.55,50.20,24.17,5.07,3.0
37,0.5950,81.36,4.3442,28.15,51.60,24.71,4.80,3.3
38,0.5505,82.58,4.3409,28.71,51.69,24.51,6.80,2.7
39,0.5285,83.64,4.3904,28.53,51.71,25.11,5.47,3.3
40,0.4804,85.02,4.4052,28.82,52.06,24.80,6.40,3.1
41,0.4372,86.13,4.4200,28.56,51.91,24.63,5.90,3.0
42,0.4243,87.14,4.5587,28.24,52.09,24.66,4.60,3.4
43,0.3947,88.03,4.4329,29.42,50.97,27.14,6.93,3.4
44,0.3681,88.25,4.6040,28.89,52.51,25.34,5.47,2.8
45,0.3716,88.91,4.5345,28.96,52.57,25.11,5.90,3.0
46,0.3333,89.85,4.6282,28.55,52.94,23.74,5.70,2.9
47,0.3074,90.61,4.6446,28.64,53.03,24.46,5.07,3.1
48,0.2884,91.26,4.6547,28.42,51.89,24.20,5.97,2.9
49,0.2642,92.30,4.6530,29.00,52.66,24.77,6.33,2.9
50,0.2544,92.15,4.6102,29.01,52.14,25.31,6.33,3.2
51,0.2248,93.32,4.6833,28.92,51.94,25.06,6.57,2.9
52,0.2055,93.97,4.7648,28.55,51.60,24.57,6.30,3.1
53,0.1962,94.18,4.7736,28.79,52.66,24.09,6.43,3.0
54,0.1868,94.73,4.8534,28.79,52.29,25.06,5.73,2.9
55,0.1814,94.63,4.8133,29.33,53.71,25.94,4.83,2.9
56,0.1628,95.41,4.8282,28.70,53.31,25.00,4.30,3.1
57,0.1601,95.33,4.8885,28.76,52.20,24.66,6.20,3.4
58,0.1386,95.98,4.8813,29.28,53.60,25.00,5.90,3.4
59,0.1306,96.43,4.9519,28.80,53.23,24.40,5.43,3.2
60,0.1293,96.18,4.8716,29.35,54.14,24.46,6.13,3.0
61,0.1087,96.86,4.7959,29.74,54.46,24.91,6.53,3.2
62,0.0987,97.43,4.9235,29.04,53.71,23.97,6.17,3.3
63,0.0975,97.41,4.8780,29.82,53.89,26.57,5.53,3.3
64,0.0864,97.81,4.8642,30.11,54.31,26.69,5.87,3.5
65,0.0810,97.84,4.9052,29.48,54.69,24.20,6.23,3.5
66,0.0761,97.99,4.9313,29.46,53.51,25.40,6.13,3.3
67,0.0691,98.29,4.9209,29.83,53.83,25.40,7.00,3.4
68,0.0649,98.36,4.9164,29.75,53.66,25.71,6.57,3.4
69,0.0581,98.57,4.9492,29.51,53.34,25.89,5.93,2.9
70,0.0570,98.54,4.9714,29.78,53.89,25.89,6.20,3.4
71,0.0500,98.77,4.9691,29.89,53.86,26.63,5.73,3.4
72,0.0390,99.15,5.0409,29.47,53.89,25.63,5.47,3.0
73,0.0399,98.98,5.0364,29.53,53.80,25.06,6.43,3.3
74,0.0364,99.01,4.9951,29.68,54.94,24.34,6.43,3.1
75,0.0337,99.23,4.9676,30.13,54.60,26.06,6.33,3.4
76,0.0271,99.36,5.0104,30.17,54.63,26.17,6.30,3.0
77,0.0282,99.35,4.9416,30.85,54.40,27.63,7.13,3.4
78,0.0236,99.54,4.9849,30.44,55.11,26.43,6.33,3.0
79,0.0189,99.70,5.0041,30.28,55.00,26.46,5.90,3.1
80,0.0191,99.59,4.9584,30.69,55.20,26.69,6.77,3.4
81,0.0186,99.60,4.9618,30.66,55.54,26.31,6.70,3.5
82,0.0140,99.79,4.9726,30.61,55.37,26.29,6.77,3.5
83,0.0118,99.84,4.9534,30.80,55.31,26.94,6.70,3.3
84,0.0123,99.81,4.9655,30.76,55.46,27.14,6.17,3.1
85,0.0112,99.81,5.0043,30.69,55.60,26.66,6.33,2.9
86,0.0106,99.86,5.0022,30.52,55.74,25.89,6.50,2.8
87,0.0084,99.91,5.0056,30.62,56.00,26.11,6.27,2.7
88,0.0090,99.91,4.9501,30.96,55.89,26.97,6.53,3.4
89,0.0097,99.83,4.9534,30.62,55.31,26.74,6.33,3.4
90,0.0080,99.92,4.9680,30.82,55.89,26.57,6.53,3.1
91,0.0075,99.92,4.9611,30.89,55.57,27.06,6.57,2.9
92,0.0073,99.94,4.9369,30.94,55.69,27.20,6.43,3.4
93,0.0070,99.91,4.9507,30.98,55.69,27.40,6.33,3.2
94,0.0068,99.95,4.9128,31.02,55.66,27.49,6.40,3.4
95,0.0066,99.94,4.9513,30.91,55.46,27.40,6.37,3.0
96,0.0064,99.94,4.9440,30.81,55.66,27.03,6.23,3.3
97,0.0071,99.93,4.9283,30.98,55.77,27.40,6.23,2.7
98,0.0062,99.94,4.9391,30.98,55.71,27.37,6.33,3.1
99,0.0069,99.93,4.9248,30.95,55.74,27.20,6.40,2.8
100,0.0062,99.93,4.9508,30.87,55.54,27.26,6.30,3.0
