epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
194,0.0009,99.98,3.4795,61.02,70.16,24.45,0.00,35.0
1,1.1844,59.41,2.6758,27.16,33.95,0.00,0.00,33.9
195,0.0010,99.98,3.5255,60.57,69.67,24.15,0.00,36.7
2,0.9226,68.69,2.3322,32.89,41.11,0.00,0.00,35.9
196,0.0017,99.94,3.5411,60.72,69.95,23.80,0.00,38.1
3,0.8270,71.69,2.1589,37.61,47.01,0.00,0.00,35.7
197,0.0010,99.98,3.4839,61.21,70.45,24.25,0.00,36.3
4,0.7574,74.38,2.0157,41.97,52.46,0.00,0.00,33.2
198,0.0011,99.97,3.5180,61.02,70.17,24.40,0.00,37.3
5,0.7076,76.16,1.9559,41.83,51.94,1.40,0.00,36.6
199,0.0007,99.98,3.5340,60.54,69.85,23.30,0.00,33.6
6,0.6504,77.95,1.8293,45.19,55.75,2.95,0.00,35.9
200,0.0015,99.96,3.5085,61.15,70.20,24.95,0.00,33.4
7,0.6193,79.10,1.9205,44.28,53.25,8.40,0.00,33.5
8,0.5881,80.15,1.7577,50.30,60.56,9.25,0.00,36.4
9,0.5598,81.13,1.7954,47.97,59.02,3.75,0.00,36.9
10,0.5324,82.00,1.9759,47.58,58.84,2.55,0.00,36.6
11,0.5026,82.86,1.7265,50.81,62.24,5.10,0.00,33.6
12,0.4783,83.60,1.8679,48.56,60.11,2.35,0.00,35.4
13,0.4617,84.25,1.6299,53.05,63.55,11.05,0.00,36.8
14,0.4399,85.04,1.8814,51.06,62.02,7.20,0.00,33.9
15,0.4230,85.50,1.8228,50.64,61.98,5.30,0.00,37.3
16,0.4047,86.44,1.5483,56.47,64.35,24.95,0.00,37.4
17,0.3914,86.52,1.5606,56.59,66.71,16.10,0.00,34.5
18,0.3644,87.84,1.6140,55.62,64.16,21.45,0.00,37.1
19,0.3550,87.89,1.6284,57.52,67.74,16.65,0.00,37.2
20,0.3472,88.07,1.5898,57.68,66.83,21.10,0.00,35.9
21,0.3393,88.25,1.5734,58.40,66.06,27.75,0.00,33.8
22,0.3215,88.94,1.9027,54.95,65.69,12.00,0.00,36.1
23,0.3099,89.27,1.8612,55.74,66.84,11.35,0.00,34.8
24,0.2937,90.13,1.7675,55.75,65.30,17.55,0.00,33.2
25,0.2900,89.88,1.7838,56.98,66.46,19.05,0.00,35.8
26,0.2727,90.60,1.7320,58.15,67.71,19.90,0.00,35.0
27,0.2679,90.60,1.7186,58.26,67.05,23.10,0.00,31.7
28,0.2483,91.19,1.9149,55.70,65.49,16.55,0.00,35.0
29,0.2372,91.73,1.8350,58.82,69.21,17.25,0.00,35.6
30,0.2352,92.01,1.8642,57.26,66.72,19.40,0.00,35.6
31,0.2227,92.09,1.7914,58.73,67.92,21.95,0.00,33.6
32,0.2184,92.54,1.9345,57.64,67.30,19.00,0.00,35.1
33,0.2034,92.83,1.7412,60.29,68.40,27.85,0.00,35.2
34,0.1983,93.11,1.8743,58.37,68.01,19.80,0.00,31.4
35,0.1809,93.70,1.9269,58.85,67.38,24.75,0.00,35.0
36,0.1688,94.17,2.0900,57.56,66.88,20.30,0.00,35.0
37,0.1686,94.16,2.0445,58.80,67.78,22.90,0.00,31.9
38,0.1543,94.61,2.2048,56.52,65.69,19.85,0.00,34.8
39,0.1512,94.88,2.1305,57.25,64.81,27.00,0.00,36.3
