epoch,train_loss,train_acc,val_loss,val_acc,head_acc,med_acc,tail_acc,time_s
1,3.5950,16.47,5.5327,9.83,24.57,3.51,0.00,27.1
2,3.0297,25.56,4.6966,12.68,29.86,6.37,0.00,29.7
3,2.6962,31.97,4.4325,14.96,34.51,8.03,0.23,27.6
4,2.4685,36.68,4.2614,17.29,39.71,9.57,0.13,29.9
5,2.2650,41.20,4.1489,18.99,42.03,11.77,0.53,27.0
6,2.0974,44.28,4.0563,20.16,43.40,13.14,1.23,30.2
7,1.9841,45.75,4.0229,21.42,45.23,14.51,1.70,27.5
8,1.8547,49.17,3.8495,23.47,48.37,17.00,1.97,29.4
9,1.7275,51.50,3.8292,24.75,49.20,19.29,2.60,27.3
10,1.6424,54.28,3.9153,24.14,47.09,19.71,2.53,30.0
11,1.5316,57.03,3.9303,26.01,48.66,22.09,4.17,27.1
12,1.4369,58.69,3.8576,26.40,49.71,21.89,4.47,29.2
13,1.3673,60.35,3.8317,26.98,50.14,23.54,3.97,26.6
14,1.2541,63.46,4.0184,26.92,50.46,23.26,3.73,29.4
15,1.1793,65.51,3.9908,27.75,50.97,24.11,4.90,27.6
16,1.0954,67.27,4.1665,26.94,50.43,23.40,3.67,30.4
17,1.0262,69.19,4.1736,27.30,51.74,22.83,4.00,27.5
18,0.9453,71.47,4.2395,27.77,52.91,22.60,4.47,30.4
19,0.8710,73.53,4.1922,29.26,51.86,26.71,5.87,27.2
20,0.8050,75.41,4.4053,27.83,52.31,24.03,3.70,30.3
21,0.7632,77.05,4.4591,28.20,50.34,26.71,4.10,27.4
22,0.6925,79.17,4.5099,28.32,52.77,23.94,4.90,30.3
23,0.6160,81.25,4.6212,28.51,51.54,25.43,5.23,26.5
24,0.5872,82.04,4.7448,28.11,51.20,25.31,4.43,29.6
25,0.5427,83.18,4.7742,28.25,51.74,25.23,4.37,27.5
26,0.4970,84.55,4.8234,28.15,51.29,25.66,4.07,30.7
27,0.4421,86.29,4.8145,28.58,52.37,24.26,5.87,27.3
28,0.4099,87.25,5.0283,28.06,52.71,23.11,5.07,29.7
29,0.3919,87.56,5.0348,28.34,51.94,24.66,5.10,27.2
30,0.3647,88.48,5.0342,28.91,52.23,25.43,5.77,30.4
